filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
PSY109 25C 01 m-25.csv,171000000,587.25,346.94,PSY109 25C,2810848.68,748.3358718344174,4.4739,534.67,15320488.11623416,802821.6544889562,0.052401832656901876,213.66587183441743,-25,25
PSY109 25C 01 m-35.csv,171000000,587.25,346.94,PSY109 25C,3339249.2199999997,743.1016579400105,5.3476,534.67,15320488.11623416,936095.6865709248,0.06110090484512716,208.4316579400105,-35,25
PSY109 25C 01 m-50.csv,171000000,587.25,346.94,PSY109 25C,4465315.41,732.41338423442,7.269,534.67,15320488.11623416,1207186.2433862432,0.07879554712797067,197.7433842344201,-50,25
PSY109 25C 02 m-25.csv,140000000,623.89,267.18,PSY109 25C,3607520.97,853.4883955520255,5.036,534.67,20019987.906273626,1348424.8257327627,0.06735392808655041,318.81839555202555,-25,25
PSY109 25C 02 m-35.csv,140000000,623.89,267.18,PSY109 25C,4047816.63,847.0414089950806,5.692,534.67,20019987.906273626,1493254.4385655487,0.07458817885187685,312.37140899508063,-35,25
PSY109 25C 02 m-50.csv,140000000,623.89,267.18,PSY109 25C,4975439.9799999995,835.6377320169254,7.09,534.67,20019987.906273626,1792106.508776351,0.08951586370413152,300.9677320169254,-50,25
PSY109 25C 03 m-25.csv,154000000,628.67,290.88,PSY109 25C,3223898.09,830.0347642733565,4.624,534.67,22963567.649281934,1147028.3614680443,0.049949919759263176,295.3647642733565,-25,25
PSY109 25C 03 m-35.csv,154000000,628.67,290.88,PSY109 25C,3625811.01,828.5717258590902,5.209,534.67,22963567.649281934,1285742.9159318055,0.05599055580425067,293.9017258590902,-35,25
PSY109 25C 03 m-50.csv,154000000,628.67,290.88,PSY109 25C,4450248.1899999995,827.6273448976403,6.399,534.67,22963567.649281934,1574396.6154362985,0.0685606278380498,292.9573448976404,-50,25
PSY109 25C 04 m-25.csv,123000000,604.76,241.3,PSY109 25C,1663916.58,892.1941150223104,2.2187,534.67,14204011.925757963,666195.3086419754,0.04690191138419686,357.5241150223104,-25,25
PSY109 25C 04 m-35.csv,123000000,604.76,241.3,PSY109 25C,2070719.29,882.3038114343029,2.7916000000000003,534.67,14204011.925757963,815028.5949441508,0.05738016830767049,347.63381143430297,-35,25
PSY109 25C 04 m-50.csv,123000000,604.76,241.3,PSY109 25C,2909955.13,864.2591929168225,4.0095,534.67,14204011.925757963,1109841.1598219534,0.07813575246366385,329.5891929168225,-50,25
PSY109 25C 05 m-25.csv,87946120,585.97,178.71,PSY109 25C,2044150.5899999999,716.252965253239,3.396,534.67,7699523.80952382,517893.4660283866,0.06726305143543883,181.58296525323908,-25,25
PSY109 25C 05 m-35.csv,87946120,585.97,178.71,PSY109 25C,2392203.48,713.2556201453268,3.991,534.67,7699523.80952382,598585.0424120261,0.07774312505815159,178.58562014532686,-35,25
PSY109 25C 05 m-50.csv,87946120,585.97,178.71,PSY109 25C,3089100.08,708.0094913294797,5.19,534.67,7699523.80952382,755548.8032249936,0.0981292897997702,173.33949132947976,-50,25
PSY109 25C 06 m-25.csv,102000000,630.69,192.29,PSY109 25C,2430838.13,740.4308184143222,3.91,534.67,15506580.83480307,675673.8053245989,0.04357335846778757,205.76081841432222,-25,25
PSY109 25C 06 m-35.csv,102000000,630.69,192.29,PSY109 25C,2804498.13,736.1258810572688,4.539999999999999,534.67,15506580.83480307,768127.739984883,0.04953559705830779,201.4558810572688,-35,25
PSY109 25C 06 m-50.csv,102000000,630.69,192.29,PSY109 25C,3596042.51,726.9568251273345,5.890000000000001,534.67,15506580.83480307,951179.4742588395,0.06134037441213385,192.2868251273345,-50,25
PSY109 25C 10 01 m-25.csv,102000000,595.24,204.71,PSY109 25C 10,1568367.85,768.071840092128,2.4314,542.22,9115414.630049547,461187.6744771983,0.05059426182950182,225.851840092128,-25,25
PSY109 25C 10 01 m-35.csv,102000000,595.24,204.71,PSY109 25C 10,1854094.19,768.465913829048,2.878,542.22,9115414.630049547,546851.2135718485,0.059991918718553784,226.24591382904794,-35,25
PSY109 25C 10 01 m-50.csv,102000000,595.24,204.71,PSY109 25C 10,2499983.64,757.5457739307535,3.928,542.22,9115414.630049547,710338.1540270426,0.07792713583048295,215.32577393075348,-50,25
PSY109 25C 10 02 m-25.csv,113000000,585.59,230.27,PSY109 25C 10,2190500.14,714.8929414668935,3.6458,542.22,8387343.495422862,528706.6515495088,0.06303624643941606,172.67294146689346,-25,25
