filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
PSY109 25C 01 m-25.csv,PSY109 25C,283.66,587.25,107.35,534.67,748.3358718344174,4.4739,156.5298037506426,213.66587183441743,52.58000000000004,4.063633926101508,-25,25
PSY109 25C 01 m-35.csv,PSY109 25C,283.66,587.25,107.35,534.67,743.1016579400105,5.3476,154.57423404891912,208.4316579400105,52.58000000000004,3.964086305439527,-35,25
PSY109 25C 01 m-50.csv,PSY109 25C,283.66,587.25,107.35,534.67,732.41338423442,7.269,150.56458522492778,197.7433842344201,52.58000000000004,3.760809894150246,-50,25
PSY109 25C 02 m-25.csv,PSY109 25C,298.09,623.89,220.14,534.67,853.4883955520255,5.036,204.02873907863386,318.81839555202555,89.22000000000003,3.573396049675246,-25,25
PSY109 25C 02 m-35.csv,PSY109 25C,298.09,623.89,220.14,534.67,847.0414089950806,5.692,213.841180604357,312.37140899508063,89.22000000000003,3.501136617295231,-35,25
PSY109 25C 02 m-50.csv,PSY109 25C,298.09,623.89,220.14,534.67,835.6377320169254,7.09,219.21529055007053,300.9677320169254,89.22000000000003,3.3733213631128147,-50,25
PSY109 25C 03 m-25.csv,PSY109 25C,273.39,628.67,259.66,534.67,830.0347642733565,4.624,182.39748702422148,295.3647642733565,94,3.14217834333358,-25,25
PSY109 25C 03 m-35.csv,PSY109 25C,273.39,628.67,259.66,534.67,828.5717258590902,5.209,198.38062008062968,293.9017258590902,94,3.1266141048839384,-35,25
PSY109 25C 03 m-50.csv,PSY109 25C,273.39,628.67,259.66,534.67,827.6273448976403,6.399,250.64856227535554,292.9573448976404,94,3.116567498911068,-50,25
PSY109 25C 04 m-25.csv,PSY109 25C,241.49,604.76,121.92,534.67,892.1941150223104,2.2187,257.7203912200838,357.5241150223104,70.09000000000003,5.1009290201499535,-25,25
PSY109 25C 04 m-35.csv,PSY109 25C,241.49,604.76,121.92,534.67,882.3038114343029,2.7916000000000003,250.48244304341594,347.63381143430297,70.09000000000003,4.959820394268838,-35,25
PSY109 25C 04 m-50.csv,PSY109 25C,241.49,604.76,121.92,534.67,864.2591929168225,4.0095,235.87330639730638,329.5891929168225,70.09000000000003,4.7023711359227045,-50,25
PSY109 25C 05 m-25.csv,PSY109 25C,289.28,585.97,97.71,534.67,716.252965253239,3.396,112.11493816254416,181.58296525323908,51.30000000000007,3.5396289523048505,-25,25
PSY109 25C 05 m-35.csv,PSY109 25C,289.28,585.97,97.71,534.67,713.2556201453268,3.991,111.55181909295915,178.58562014532686,51.30000000000007,3.481201172423521,-35,25
PSY109 25C 05 m-50.csv,PSY109 25C,289.28,585.97,97.71,534.67,708.0094913294797,5.19,113.68718689788054,173.33949132947976,51.30000000000007,3.378937452816365,-50,25
PSY109 25C 06 m-25.csv,PSY109 25C,196.42,630.69,304.09,534.67,740.4308184143222,3.91,132.48485933503835,205.76081841432222,96.0200000000001,2.1428954219362844,-25,25
PSY109 25C 06 m-35.csv,PSY109 25C,196.42,630.69,304.09,534.67,736.1258810572688,4.539999999999999,130.9161233480176,201.4558810572688,96.0200000000001,2.098061664833041,-35,25
PSY109 25C 06 m-50.csv,PSY109 25C,196.42,630.69,304.09,534.67,726.9568251273345,5.890000000000001,127.93831918505943,192.2868251273345,96.0200000000001,2.002570559543161,-50,25
PSY109 25C 10 01 m-25.csv,PSY109 25C 10,336.91,595.24,189.95,542.22,768.071840092128,2.4314,260.5154084066793,225.851840092128,53.01999999999998,4.259748021352849,-25,25
PSY109 25C 10 01 m-35.csv,PSY109 25C 10,336.91,595.24,189.95,542.22,768.465913829048,2.878,268.4253717859625,226.24591382904794,53.01999999999998,4.267180570144248,-35,25
