ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C,534.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 2,534.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 3,534.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 4,536.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 5,537.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 6,541.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 7,542.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 8,536.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 9,532.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 10,542.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 11,535.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 12,534.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 13,542.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 14,539.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 15,553.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 16,542.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 17,536.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 18,535.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 4,516.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 6,520.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 7,514.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 8,510.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 9,527.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 10,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 11,514.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 12,507.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 13,511.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 14,517.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 16,509.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 17,514.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 19,513.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 21,510.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
