
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Number of contained Mito","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Compartment ROIs ID"
"1","PSY109 25C","ROIs 1","ROIs","Object","291375","346.94","215","1969","375.57","1.09e+08","113.37","1304","2870","2147.28","29793458","159.67","1659","3679","2716.15","37686588","202.71","4.93","18598.6","387.65","1.13e+08","569.53","283.66","4735.27","587.25","1.71e+08","107.35","9","N/A","N/A","N/A","N/A"
"3","PSY109 25C","Mito 2","Mito","Object","255","0.304","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","591.4","1064.98","761.17","194097.09","100.2","N/A","7.95","7.87","1.1","1"
"4","PSY109 25C","Mito 3","Mito","Object","31","0.0369","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","565.06","700.68","612.63","18991.47","35.21","N/A","3.78","9.47","1.08","1"
"5","PSY109 25C","Mito 4","Mito","Object","529","0.63","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","480.43","1073.06","736.35","389528","103.45","N/A","3.89","10.94","2.32","1"
"8","PSY109 25C","Mito 7","Mito","Object","290","0.345","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","524.27","960.8","730.25","211772.59","86.3","N/A","3.8","8.25","1.57","1"
"15","PSY109 25C","Mito 14","Mito","Object","230","0.274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","599.41","1182.48","827.98","190434.56","140.3","N/A","9.37","9.84","2.23","1"
"16","PSY109 25C","Mito 15","Mito","Object","126","0.15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","617.82","1405","880.29","110916.59","176.68","N/A","5.57","10.06","2","1"
"26","PSY109 25C","Mito 25","Mito","Object","637","0.758","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","441.32","4324.84","848.28","540356.31","323.76","N/A","10.66","7.01","2.07","1"
"40","PSY109 25C","Mito 39","Mito","Object","1107","1.32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","418.35","1130.07","698.59","773337.44","125.17","N/A","8.7","8.11","3.66","1"
"41","PSY109 25C","Mito 40","Mito","Object","551","0.656","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","428.6","1213.4","692.22","381414.63","149.41","N/A","4.71","9.31","3.43","1"
