
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Number of contained Mito","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Compartment ROIs ID"
"1","PSY109 25C 17","ROIs 1","ROIs","Object","229782","273.6","227","2433","455.97","1.05e+08","190.45","1644","2960","2066.25","22608910","202.93","2148","3919","2725.42","29821561","260.24","10.14","32171.51","487.17","1.12e+08","1050.3","33.69","72690.55","639.86","1.47e+08","718.67","9","N/A","N/A","N/A","N/A"
"3","PSY109 25C 17","Mito 2","Mito","Object","47","0.056","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","620.14","822.97","704.05","33090.43","42.95","N/A","69.86","57.52","0.67","1"
"19","PSY109 25C 17","Mito 18","Mito","Object","324","0.386","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","552.81","1205.98","860.7","278866.88","117.2","N/A","68.63","59.08","1.66","1"
"25","PSY109 25C 17","Mito 24","Mito","Object","1169","1.39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","403.39","1446.38","823.3","962436.94","207.1","N/A","64.77","58.96","2.74","1"
"26","PSY109 25C 17","Mito 25","Mito","Object","125","0.149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","527.96","1061.92","788.69","98585.83","96.06","N/A","71.96","59.18","2.18","1"
"33","PSY109 25C 17","Mito 32","Mito","Object","165","0.196","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","197.17","4037.25","974.47","160788.19","496.75","N/A","68.07","58.3","2.07","1"
"41","PSY109 25C 17","Mito 40","Mito","Object","198","0.236","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","337.29","1561.25","661.52","130980.3","253.26","N/A","69.41","56.04","3.34","1"
"42","PSY109 25C 17","Mito 41","Mito","Object","2268","2.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","361.96","1080.63","675.87","1532873.88","140.93","N/A","71.21","57.24","3.41","1"
"43","PSY109 25C 17","Mito 42","Mito","Object","337","0.401","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","432.69","1199.06","719.24","242383.95","153.51","N/A","68.77","59.52","3.52","1"
"49","PSY109 25C 17","Mito 48","Mito","Object","209","0.249","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","448.02","1105.23","647.62","135352.34","103.58","N/A","65.98","59.19","3.89","1"
