
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Number of contained Mito","Compartment ROIs ID"
"1","PSY109 36C 17","ROIs 1","ROIs","Object","274785","327.19","205","865","323.36","88855414","53.64","1330","3262","2040.88","26704855","243.11","1696","4117","2587.35","33855467","295.26","34.43","6313.85","326.11","89611296","214.25","309.47","1709.04","575.54","1.58e+08","78.6","N/A","N/A","N/A","9","N/A"
"3","PSY109 36C 17","Mito 2","Mito","Object","248","0.295","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","516.9","787.59","626.38","155342.47","43.03","39.81","31.67","0.399","N/A","1"
"12","PSY109 36C 17","Mito 11","Mito","Object","44","0.0524","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","570.68","721.91","655.25","28830.99","30.11","36.51","34.38","0.845","N/A","1"
"17","PSY109 36C 17","Mito 16","Mito","Object","3760","4.48","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","345.32","1070.52","638.88","2402177.75","104.1","38.87","30.34","2.51","N/A","1"
"20","PSY109 36C 17","Mito 19","Mito","Object","66","0.0786","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","646.02","877.94","765.5","50523.3","54.19","33.45","32.76","1.27","N/A","1"
"24","PSY109 36C 17","Mito 23","Mito","Object","21","0.025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","498.1","718.21","620.62","13033.04","63.3","37.55","30.55","1.57","N/A","1"
"27","PSY109 36C 17","Mito 26","Mito","Object","434","0.517","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","466.57","944.39","701.03","304247.34","83.75","37.2","32.91","1.85","N/A","1"
"32","PSY109 36C 17","Mito 31","Mito","Object","2909","3.46","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","438.37","963.14","641.77","1866905","75.85","40.54","32.81","1.94","N/A","1"
"35","PSY109 36C 17","Mito 34","Mito","Object","1029","1.23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","414.17","1024","654.93","673919.06","98.29","35.19","34.29","2.33","N/A","1"
"51","PSY109 36C 17","Mito 50","Mito","Object","10","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","543.32","593.53","573.62","5736.23","15.5","39.15","30.06","5.19","N/A","1"
