filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 I 25C 01 m-25.csv,116000000,597.26,231.39,GTY030 I 25C,1372256.6199999999,759.4269186424918,2.1510000000000002,536.95,11720106.575963706,401904.6376081296,0.03429189274032538,222.4769186424918,-25,25
GTY030 I 25C 01 m-35.csv,116000000,597.26,231.39,GTY030 I 25C,1675632.36,755.1357281039824,2.6466000000000003,536.95,11720106.575963706,484967.1185017215,0.04137907069004995,218.18572810398234,-35,25
GTY030 I 25C 02 m-25.csv,116000000,605.46,228.52,GTY030 I 25C,2055509.02,783.3478142076502,3.1293,536.95,13148488.45217099,647562.5094482235,0.04924995841185854,246.39781420765019,-25,25
GTY030 I 25C 02 m-35.csv,116000000,605.46,228.52,GTY030 I 25C,2376115.92,779.5664187327824,3.63,536.95,13148488.45217099,739646.930377089,0.05625338099262379,242.61641873278234,-35,25
GTY030 I 25C 02 m-50.csv,116000000,605.46,228.52,GTY030 I 25C,3048723.25,774.18,4.69,536.95,13148488.45217099,934415.637860082,0.0710663922517875,237.2299999999999,-50,25
GTY030 I 25C 03 m-25.csv,83414168,600.65,165.36,GTY030 I 25C,1687438.5799999998,716.5219658119657,2.8080000000000003,536.95,8846419.75308641,423480.3728898964,0.04787025539254444,179.5719658119657,-25,25
GTY030 I 25C 03 m-35.csv,83414168,600.65,165.36,GTY030 I 25C,1933507.83,715.0557009636307,3.217,536.95,8846419.75308641,481201.0078105314,0.05439500060379185,178.10570096363062,-35,25
GTY030 I 25C 03 m-50.csv,83414168,600.65,165.36,GTY030 I 25C,2468418.25,712.39,4.13,536.95,8846419.75308641,608522.045855379,0.06878738097896303,175.43999999999994,-50,25
GTY030 I 25C 04 m-25.csv,103000000,609.54,200.56,GTY030 I 25C,2882871.48,761.6543663973005,4.5043999999999995,536.95,12226967.666078763,850053.202317964,0.06952281428503847,224.70436639730042,-25,25
GTY030 I 25C 04 m-35.csv,103000000,609.54,200.56,GTY030 I 25C,3205841.94,758.2415510041758,5.029,536.95,12226967.666078763,934639.4641807339,0.07644082242678217,221.29155100417574,-35,25
GTY030 I 25C 04 m-50.csv,103000000,609.54,200.56,GTY030 I 25C,3830877.7,750.4159631518343,6.079,536.95,12226967.666078763,1089829.1677164694,0.08913323380579298,213.46596315183422,-50,25
GTY030 I 25C 05 m-25.csv,101000000,588.27,203.89,GTY030 I 25C,2033290.37,725.4045170965808,3.334,536.95,8787801.125388416,527678.9787519947,0.060046759277187396,188.45451709658073,-25,25
GTY030 I 25C 05 m-35.csv,101000000,588.27,203.89,GTY030 I 25C,2268407.44,723.5706909480449,3.734,536.95,8787801.125388416,585236.9698496677,0.06659651959565717,186.62069094804485,-35,25
GTY030 I 25C 05 m-50.csv,101000000,588.27,203.89,GTY030 I 25C,2731361.7600000002,717.8469227373068,4.529999999999999,536.95,8787801.125388416,688219.5851179975,0.07831533455276943,180.8969227373068,-50,25
GTY030 I 25C 10 01 m-25.csv,135000000,614.67,261.82,GTY030 I 25C 10,2855407.42,792.9557779332868,4.287,535.66,17373308.30603846,926368.5227177294,0.05332136553380282,257.2957779332868,-25,25
GTY030 I 25C 10 01 m-35.csv,135000000,614.67,261.82,GTY030 I 25C 10,3266787.61,790.9876281529699,4.916,535.66,17373308.30603846,1054161.9383555895,0.06067709844239587,255.32762815296996,-35,25
GTY030 I 25C 10 01 m-50.csv,135000000,614.67,261.82,GTY030 I 25C 10,4015307.37,784.8672946384653,6.099,535.66,17373308.30603846,1276488.8636936257,0.07347413867340136,249.20729463846533,-50,25
GTY030 I 25C 10 02 m-25.csv,126000000,615.98,243.3,GTY030 I 25C 10,2790056.26,877.0947893276976,3.7855000000000003,535.66,16412073.570168817,1085497.0983455107,0.06614015552054006,341.4347893276977,-25,25
GTY030 I 25C 10 02 m-35.csv,126000000,615.98,243.3,GTY030 I 25C 10,3136409.1,870.7142191180242,4.2881,535.66,16412073.570168817,1206639.78919963,0.07352147088792378,335.0542191180242,-35,25
GTY030 I 25C 10 02 m-50.csv,126000000,615.98,243.3,GTY030 I 25C 10,3828013.02,853.9015770743586,5.3389999999999995,535.66,16412073.570168817,1426968.8250608887,0.08694628493833949,318.2415770743586,-50,25
GTY030 I 25C 10 03 m-25.csv,145000000,617.47,278.75,GTY030 I 25C 10,1473677.99,808.8236215717908,2.1694999999999998,535.66,19152210.884353753,497714.3503821282,0.02598730524572137,273.1636215717908,-25,25
GTY030 I 25C 10 03 m-35.csv,145000000,617.47,278.75,GTY030 I 25C 10,1822969.93,806.3953360284845,2.6962,535.66,19152210.884353753,613048.3018392543,0.03200927065501766,270.73533602848454,-35,25
GTY030 I 25C 10 03 m-50.csv,145000000,617.47,278.75,GTY030 I 25C 10,2509673.56,794.9637825323327,3.7578,535.66,19152210.884353753,818352.0231796423,0.042728854027405706,259.3037825323328,-50,25
GTY030 I 25C 11 01 m-25.csv,171000000,592.98,343.99,GTY030 I 25C 11,2875665.21,778.1469190541156,4.398,540.64,15120884.017804662,877261.6360124301,0.058016557430072536,237.50691905411566,-25,25
GTY030 I 25C 11 01 m-35.csv,171000000,592.98,343.99,GTY030 I 25C 11,3324746.26,772.6279851909587,5.132,540.64,15120884.017804662,999884.387335181,0.06612605361947284,231.98798519095874,-35,25
GTY030 I 25C 11 01 m-50.csv,171000000,592.98,343.99,GTY030 I 25C 11,4228481.07,766.1757833891087,6.574,540.64,15120884.017804662,1245210.5820105826,0.08235038246073191,225.5357833891087,-50,25
