ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C,536.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 2,547.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 3,546.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 4,535.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 5,527.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 6,534.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 7,542.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 8,542.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 9,534.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 10,535.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 11,540.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 12,538.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 13,524.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 14,518.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 15,527.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 16,529.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 17,517.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 25C 18,484.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C,509.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 2,503.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 3,489.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 4,483.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 I 36C 5,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
