
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","448.58","412","1060","581.35","2.19e+08","53.66","192","1700","325.31","1.23e+08","117.83","177.56","5143.06","580.07","2.19e+08","125.73","25.85","10409.78","332.89","1.25e+08","379.55","N/A","N/A","N/A","GTY030 I 36C 3 lens not at 36C","ROIs","Object","1340","4095","2065.47","37054451","359.65","1717","5225","2662.19","47759715","461.94","9","N/A"
"Mito 1","2","0.119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","572.99","836.35","695.28","69528.31","61.78","N/A","N/A","N/A","N/A","N/A","56.38","16.94","1.9","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 2","3","0.114","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","546.79","817.8","677.06","64997.78","61.32","N/A","N/A","N/A","N/A","N/A","56.31","17.82","1.92","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 5","6","0.214","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","450.39","770.51","631.83","113729.01","61.61","N/A","N/A","N/A","N/A","N/A","53.72","15.62","2.57","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","0.342","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","446.83","1372.51","668.4","191829.63","131.42","N/A","N/A","N/A","N/A","N/A","54.73","16.02","2.39","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 8","9","4.39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","417.82","1563.13","839.94","3096870","221.11","N/A","N/A","N/A","N/A","N/A","54.13","18.41","2.75","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","0.47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","454.96","949.11","659.97","260687.86","95.25","N/A","N/A","N/A","N/A","N/A","53.67","20.19","3.42","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 13","14","0.653","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","333.27","1480.41","613.53","336216.53","188.79","N/A","N/A","N/A","N/A","N/A","56.76","15.89","3.34","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","17","0.0714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","425.29","826.7","557.93","33475.73","92.15","N/A","N/A","N/A","N/A","N/A","54.85","15.52","3.91","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.812","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","416.92","1595.21","719.34","490591.94","184.01","N/A","N/A","N/A","N/A","N/A","53.63","22.27","3.14","GTY030 I 36C 3 lens not at 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
