filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 II 25C 10 01 m-25.csv,157000000,612.71,305.26,GTY030 II 25C 10,2361792.85,768.5837585359192,3.661,513.53,25426796.67422526,784204.0900310742,0.030841639239047737,255.0537585359192,-25,25
GTY030 II 25C 10 01 m-35.csv,157000000,612.71,305.26,GTY030 II 25C 10,2787599.96,767.0408487511563,4.324,513.53,25426796.67422526,920618.8880490467,0.03620664057074337,253.51084875115635,-35,25
GTY030 II 25C 10 01 m-50.csv,157000000,612.71,305.26,GTY030 II 25C 10,3676311.9899999998,773.4478908320084,5.6610000000000005,513.53,25426796.67422526,1235739.6321491557,0.04859989435483257,259.9178908320084,-50,25
GTY030 II 25C 10 02 m-25.csv,138000000,626.76,261.5,GTY030 II 25C 10,5271499.67,869.071975650249,7.228,513.53,24867426.723775934,2158274.460401444,0.08679122630480707,355.541975650249,-25,25
GTY030 II 25C 10 02 m-35.csv,138000000,626.76,261.5,GTY030 II 25C 10,5853405.95,864.6059337386773,8.059,513.53,24867426.723775934,2376182.875619384,0.095554031465085107,351.07593373867735,-35,25
GTY030 II 25C 10 02 m-50.csv,138000000,626.76,261.5,GTY030 II 25C 10,7127410.07,859.5046370355371,9.877,513.53,24867426.723775934,2869901.310153692,0.11540805335558736,345.97463703553717,-50,25
GTY030 II 25C 10 03 m-25.csv,137000000,593.2,275.53,GTY030 II 25C 10,2608703.21,882.4056472261735,3.5149999999999997,513.53,18435773.15864619,1088937.5157470393,0.05906654992857399,368.87564722617356,-25,25
GTY030 II 25C 10 03 m-35.csv,137000000,593.2,275.53,GTY030 II 25C 10,2979018.78,876.4676550531258,4.047,513.53,18435773.15864619,1233567.388930881,0.06691161679608487,362.9376550531258,-35,25
GTY030 II 25C 10 03 m-50.csv,137000000,593.2,275.53,GTY030 II 25C 10,3638437.84,872.4927670294236,4.962000000000001,513.53,18435773.15864619,1495904.2999916018,0.08114139217915241,358.9627670294236,-50,25
GTY030 II 25C 10 04 m-25.csv,89633000,577.1,184.93,GTY030 II 25C 10,1109198.62,806.0978593272172,1.635,513.53,9873183.925422028,401737.17141177465,0.04068972830308157,292.5678593272172,-25,25
GTY030 II 25C 10 04 m-35.csv,89633000,577.1,184.93,GTY030 II 25C 10,1312255.79,802.5977720607152,1.9435,513.53,9873183.925422028,471825.9973125053,0.047788636459776795,289.06777206071524,-35,25
GTY030 II 25C 10 04 m-50.csv,89633000,577.1,184.93,GTY030 II 25C 10,1621610.88,793.74315681445,2.436,513.53,9873183.925422028,573275.5941882929,0.058063903044709896,280.21315681445003,-50,25
GTY030 II 25C 10 05 m-25.csv,163000000,614.03,316.11,GTY030 II 25C 10,2177767.07,783.3845292697647,3.314,513.53,26680990.173847318,751069.0434198373,0.02814996889268504,269.8545292697647,-25,25
GTY030 II 25C 10 05 m-35.csv,163000000,614.03,316.11,GTY030 II 25C 10,2577117.9,784.2626462324394,3.915,513.53,26680990.173847318,890164.0295624424,0.03336323066581616,270.7326462324394,-35,25
GTY030 II 25C 10 05 m-50.csv,163000000,614.03,316.11,GTY030 II 25C 10,3346698.73,785.0461688695996,5.069,513.53,26680990.173847318,1155887.6795162512,0.043322518091897924,271.5161688695996,-50,25
GTY030 II 25C 11 01 m-25.csv,116000000,569.09,243.02,GTY030 II 25C 11,1554549.6,798.3956761412576,2.322,520.41,9935511.54782902,542103.5861258085,0.054562221936550616,277.9856761412576,-25,25
GTY030 II 25C 11 01 m-35.csv,116000000,569.09,243.02,GTY030 II 25C 11,1769373.1300000001,792.3473966942148,2.662,520.41,9935511.54782902,607959.4776182076,0.06119055618742157,271.93739669421484,-35,25
GTY030 II 25C 11 01 m-50.csv,116000000,569.09,243.02,GTY030 II 25C 11,2159887.9699999997,781.4625531914894,3.29,520.41,9935511.54782902,721309.2298647857,0.07259910336699239,261.05255319148944,-50,25
GTY030 II 25C 11 02 m-25.csv,96923056,568.26,203.09,GTY030 II 25C 11,1779544.13,755.9684005712245,2.801,520.41,8161465.104560347,554127.0513143528,0.0678955364282236,235.55840057122452,-25,25
GTY030 II 25C 11 02 m-35.csv,96923056,568.26,203.09,GTY030 II 25C 11,2039373.8199999998,752.5513622291021,3.23,520.41,8161465.104560347,629727.5552196186,0.07715864089987329,232.14136222910213,-35,25
GTY030 II 25C 11 02 m-50.csv,96923056,568.26,203.09,GTY030 II 25C 11,2569906.82,744.2581508515814,4.11,520.41,8161465.104560347,772668.0943982528,0.09467271923597545,223.8481508515814,-50,25
GTY030 II 25C 11 03 m-25.csv,135000000,580.12,277.3,GTY030 II 25C 11,1917509.91,717.364300973924,3.1830000000000003,520.41,13905755.437977668,526501.6712857983,0.037862140869231925,196.95430097392398,-25,25
GTY030 II 25C 11 03 m-35.csv,135000000,580.12,277.3,GTY030 II 25C 11,2218693.07,716.9092493224932,3.69,520.41,13905755.437977668,608954.5897371294,0.04379155037302241,196.49924932249326,-35,25
GTY030 II 25C 11 03 m-50.csv,135000000,580.12,277.3,GTY030 II 25C 11,2883928.33,713.525090342679,4.815,520.41,13905755.437977668,780926.4802217182,0.056158508159071245,193.11509034267908,-50,25
GTY030 II 25C 11 04 m-25.csv,119000000,571.18,247.67,GTY030 II 25C 11,2550688.66,772.4669389312977,3.93,520.41,10560347.610649195,831933.9632149157,0.07877903208185898,252.05693893129774,-25,25
GTY030 II 25C 11 04 m-35.csv,119000000,571.18,247.67,GTY030 II 25C 11,2819596.03,763.0831697341514,4.401,520.41,10560347.610649195,896955.2532123963,0.08493614853244932,242.67316973415143,-35,25
GTY030 II 25C 11 04 m-50.csv,119000000,571.18,247.67,GTY030 II 25C 11,3382403.16,743.8779918714206,5.413,520.41,10560347.610649195,1015900.0923826318,0.09619949359983043,223.46799187142062,-50,25
GTY030 II 25C 11 05 m-25.csv,122000000,565.86,256.92,GTY030 II 25C 11,1533589.04,698.3626705936354,2.6144,520.41,9806848.072562369,390727.6912740407,0.039842331438499586,177.9526705936354,-25,25
GTY030 II 25C 11 05 m-35.csv,122000000,565.86,256.92,GTY030 II 25C 11,1836941.8900000001,695.2647916003818,3.143,520.41,9806848.072562369,461550.86083816254,0.04706413899991895,174.85479160038187,-35,25
GTY030 II 25C 11 05 m-50.csv,122000000,565.86,256.92,GTY030 II 25C 11,2545255.75,688.1191818181818,4.4,520.41,9806848.072562369,619736.6255144033,0.06319427209730152,167.70918181818183,-50,25
GTY030 II 25C 12 01 m-25.csv,143000000,591.7,287.98,GTY030 II 25C 12,2281855.42,866.6937894669767,3.1387,522.64,16702694.885361567,906930.0655076844,0.05429842739344585,344.0537894669767,-25,25
GTY030 II 25C 12 01 m-35.csv,143000000,591.7,287.98,GTY030 II 25C 12,2850964.94,866.0529863468164,3.9185,522.64,16702694.885361567,1130145.1137986057,0.06766244139375843,343.4129863468164,-35,25
GTY030 II 25C 12 01 m-50.csv,143000000,591.7,287.98,GTY030 II 25C 12,3942766.9299999997,845.7260432043205,5.555,522.64,16702694.885361567,1507300.7222642147,0.09024296573753678,323.0860432043205,-50,25
GTY030 II 25C 12 02 m-25.csv,96538616,567.12,202.69,GTY030 II 25C 12,1713501.95,780.356449026346,2.6189999999999998,522.64,7571723.523977495,566859.309649786,0.07486529425628179,257.716449026346,-25,25
GTY030 II 25C 12 02 m-35.csv,96538616,567.12,202.69,GTY030 II 25C 12,1912550.25,773.5907142857143,2.9400000000000004,522.64,7571723.523977495,619631.39329806,0.08183492058787721,250.9507142857143,-35,25
GTY030 II 25C 12 02 m-50.csv,96538616,567.12,202.69,GTY030 II 25C 12,2363552.75,761.8953658536585,3.69,522.64,7571723.523977495,741456.5381708238,0.09792440727964272,239.25536585365853,-50,25
GTY030 II 25C 12 03 m-25.csv,264000000,603.58,520.95,GTY030 II 25C 12,4405426.07,864.7369359758611,6.0649,522.64,35412524.565381736,1742490.7256235827,0.04920549288731003,342.09693597586113,-25,25
GTY030 II 25C 12 03 m-35.csv,264000000,603.58,520.95,GTY030 II 25C 12,4994169.08,855.7337451403887,6.945,522.64,35412524.565381736,1942837.0370370368,0.05486299157943397,333.0937451403887,-35,25
GTY030 II 25C 12 03 m-50.csv,264000000,603.58,520.95,GTY030 II 25C 12,6178119.42,845.538442170614,8.698,522.64,35412524.565381736,2358755.899890821,0.06660795661534599,322.898442170614,-50,25
