ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II II 25C,515.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 2,513.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 3,518.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 4,516.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 5,520.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 6,519.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 7,529.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 8,536.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 9,516.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 10,513.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 11,520.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 12,522.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 13,521.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 14,521.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 15,519.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 16,522.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 17,522.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 25C 18,522.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C,491.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 2,486.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 3,489.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 4,487.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 5,485.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 6,488.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 7,455.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 8,489.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 9,486.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 10,494.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 11,496.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 12,495.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 13,496.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 14,498.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 16,485.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 17,484.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY030 II 36C 18,486.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
