
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","309.61","441","1400","633.22","1.65e+08","67.33","228","1993","437.53","1.14e+08","154.58","212.6","10158.54","635.8","1.65e+08","221.76","2.66","24142.66","465.63","1.21e+08","834.11","N/A","N/A","N/A","GTY030 II 25C","ROIs","Object","1426","3443","2047.81","25356011","235.02","1793","4523","2650.72","32821265","302.86","9","N/A"
"Mito 28","29","0.0953","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","414.79","761.39","592.52","47401.3","87.44","N/A","N/A","N/A","N/A","N/A","55.94","21.39","4.15","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 27","28","0.148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","300.52","1816.16","582.95","72286.03","303.83","N/A","N/A","N/A","N/A","N/A","55.06","22.87","3.8","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 26","27","0.0976","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","479.42","949.84","711.72","58360.87","103.71","N/A","N/A","N/A","N/A","N/A","57.95","22.58","3.76","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","26","0.423","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","371.15","2026.53","803.19","285131.53","291.62","N/A","N/A","N/A","N/A","N/A","57.48","20.59","4.02","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.917","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","334.73","1621.72","728.67","561075","212.59","N/A","N/A","N/A","N/A","N/A","54.81","19.97","3.05","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","17","3.67","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","366.19","2704.94","833.07","2567512.5","254.99","N/A","N/A","N/A","N/A","N/A","61.22","23.11","2.93","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","2.66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","420","2841.46","934.6","2091637","273.37","N/A","N/A","N/A","N/A","N/A","58.06","20.58","2.3","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 6","7","0.523","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","533","1356.43","855.4","375520.06","151.05","N/A","N/A","N/A","N/A","N/A","55.8","23.63","1.96","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 1","2","0.0964","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","515.55","1089.94","750.62","60800.56","127.87","N/A","N/A","N/A","N/A","N/A","55.16","20.66","1.24","GTY030 II 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
