
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","520.95","430","3206","616.11","2.70e+08","89.59","223","2113","372.29","1.63e+08","107.12","151.51","41898.54","603.58","2.64e+08","397.7","2.14","25971.33","380.2","1.66e+08","634.96","N/A","N/A","N/A","GTY030 II 25C 12","ROIs","Object","1552","2980","2115.81","44080730","132.61","2164","3841","2680.1","55837136","165.81","9","N/A"
"Mito 21","22","0.383","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","373.14","1918.1","825.35","265761.69","312.41","N/A","N/A","N/A","N/A","N/A","79.48","47.49","3.21","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 20","21","0.36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","424.58","1436.84","755.3","228101.84","192.05","N/A","N/A","N/A","N/A","N/A","79.56","44.47","3.15","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","17","3.05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","363.03","1365.4","729.94","1870098.13","176.33","N/A","N/A","N/A","N/A","N/A","74.05","43.24","2.79","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","0.135","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","468.07","1432.42","823.49","93054.59","198.63","N/A","N/A","N/A","N/A","N/A","76.38","47.93","2.52","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","12","1.74","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","307.89","19151.79","1034.36","1510164.88","1526.96","N/A","N/A","N/A","N/A","N/A","77.27","43.86","2.4","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","11","0.352","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","476.71","1100.74","818.81","242367.22","136.65","N/A","N/A","N/A","N/A","N/A","72.39","42.18","2.21","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 6","7","0.389","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","475.72","1255.64","879.14","287477.41","160.47","N/A","N/A","N/A","N/A","N/A","81.04","44.32","2.09","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 5","6","1.77","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","410.15","2085.73","866.97","1290912.38","275.74","N/A","N/A","N/A","N/A","N/A","76.4","40.03","2.75","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 1","2","0.519","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","526.41","2054.04","894.91","390181.28","217.29","N/A","N/A","N/A","N/A","N/A","77.94","47.86","1.92","GTY030 II 25C 12","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
