filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
PSY106 clump 25C 01 m-25.csv,208000000,653.41,379.2,PSY106 clump 25C,3282364.58,1023.1866112974219,3.8168,536.74,37155676.49281934,1559309.1677164694,0.04196691636116004,486.4466112974219,-25,25
PSY106 clump 25C 01 m-35.csv,208000000,653.41,379.2,PSY106 clump 25C,3730011.32,1016.9466781135529,4.368,536.74,37155676.49281934,1761604.745107919,0.04741145664373422,480.2066781135529,-35,25
PSY106 clump 25C 01 m-50.csv,208000000,653.41,379.2,PSY106 clump 25C,4560719.1,1000.6169295982307,5.426,536.74,37155676.49281934,2113879.415469892,0.05689250243844753,463.87692959823073,-50,25
PSY106 clump 25C 02 m-25.csv,173000000,685.23,301.23,PSY106 clump 25C,2834612.64,994.9006395520188,3.393,536.74,37565837.49055178,1305567.355337196,0.03475411284695997,458.1606395520188,-25,25
PSY106 clump 25C 02 m-35.csv,173000000,685.23,301.23,PSY106 clump 25C,3234797.94,988.1919517205959,3.894,536.74,37565837.49055178,1476403.712102125,0.039301764867439914,451.45195172059584,-35,25
PSY106 clump 25C 02 m-50.csv,173000000,685.23,301.23,PSY106 clump 25C,4143325.41,974.8489011857707,5.06,536.74,37565837.49055178,1861788.0574451997,0.04956066952888938,438.1089011857707,-50,25
PSY106 clump 25C 03 m-25.csv,169000000,697.43,288.5,PSY106 clump 25C,3402747.97,1084.812752342704,3.735,536.74,38934294.952548906,1719200.2435542115,0.04415644987663147,548.072752342704,-25,25
PSY106 clump 25C 03 m-35.csv,169000000,697.43,288.5,PSY106 clump 25C,3827389.36,1072.3115522107246,4.252,536.74,38934294.952548906,1912530.645838583,0.0491220053726278,535.5715522107246,-35,25
PSY106 clump 25C 03 m-50.csv,169000000,697.43,288.5,PSY106 clump 25C,4629215.86,1051.7420290408866,5.234,536.74,38934294.952548906,2263811.724195851,0.058144412964325334,515.0020290408866,-50,25
PSY106 clump 25C 04 m-25.csv,183000000,707.97,307.81,PSY106 clump 25C,4048635.8499999996,1063.7229578087033,4.527,536.74,44264975.4766104,2003570.882674057,0.04526311968099346,526.9829578087033,-25,25
PSY106 clump 25C 04 m-35.csv,183000000,707.97,307.81,PSY106 clump 25C,4600507.54,1055.0936050759472,5.201,536.74,44264975.4766104,2264178.2984798867,0.051150560326782016,518.3536050759471,-35,25
PSY106 clump 25C 04 m-50.csv,183000000,707.97,307.81,PSY106 clump 25C,5793335.47,1042.7630411124546,6.616,536.74,44264975.4766104,2811664.0967498105,0.06351893492487064,506.0230411124546,-50,25
PSY106 clump 25C 10 01 m-25.csv,149000000,689.24,258.22,PSY106 clump 25C 10,2618696.27,1004.5082383252818,3.105,533.4,33796090.36701101,1228513.5466532293,0.036350759313047765,471.10823832528183,-25,25
PSY106 clump 25C 10 01 m-35.csv,149000000,689.24,258.22,PSY106 clump 25C 10,2955044.35,999.299406755606,3.523,533.4,33796090.36701101,1378486.276979928,0.04078833563320963,465.89940675560604,-35,25
PSY106 clump 25C 10 01 m-50.csv,149000000,689.24,258.22,PSY106 clump 25C 10,3566812.58,994.0899555139313,4.271,533.4,33796090.36701101,1652479.0459393638,0.04889556833332352,460.6899555139313,-50,25
PSY106 clump 25C 10 02 m-25.csv,147000000,669.2,261.17,PSY106 clump 25C 10,3266246.54,942.3339546928698,4.1318,533.4,29786584.362139933,1419025.2070210797,0.04763974243467551,408.93395469286986,-25,25
PSY106 clump 25C 10 02 m-35.csv,147000000,669.2,261.17,PSY106 clump 25C 10,3684745.6399999997,937.5917343015805,4.682,533.4,29786584.362139933,1589338.792307046,0.05335753750695786,404.1917343015805,-35,25
PSY106 clump 25C 10 02 m-50.csv,147000000,669.2,261.17,PSY106 clump 25C 10,4481232.2,924.7190694853579,5.771,533.4,29786584.362139933,1896617.409926934,0.06367354466924441,391.3190694853579,-50,25
PSY106 clump 25C 10 03 m-25.csv,110000000,685.52,190.56,PSY106 clump 25C 10,1782647.99,899.5500008457017,2.3649,533.4,24345332.325522803,727226.1165700848,0.029871274988006066,366.1500008457017,-25,25
PSY106 clump 25C 10 03 m-35.csv,110000000,685.52,190.56,PSY106 clump 25C 10,2039178.5599999998,895.5683228897899,2.713,533.4,24345332.325522803,825197.4972705132,0.03389551172424969,362.1683228897899,-35,25
PSY106 clump 25C 10 03 m-50.csv,110000000,685.52,190.56,PSY106 clump 25C 10,2559295.07,889.6530903790087,3.43,533.4,24345332.325522803,1026243.4702275974,0.04215360285518548,356.25309037900877,-50,25
PSY106 clump 25C 10 04 m-25.csv,144000000,671.69,254.65,PSY106 clump 25C 10,2481407.85,953.695992243051,3.0940000000000003,533.4,29575500.545897387,1092127.152095406,0.03692675126159115,420.29599224305105,-25,25
