
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Number of contained Mito","Compartment ROIs ID"
"1","PSY106 clump 25C","ROIs 1","ROIs","Object","318465","379.2","233","1788","391.97","1.25e+08","112.72","1666","2724","2098.13","31818142","122.56","2219","3357","2677.84","40609465","153.79","282.86","2790.36","653.41","2.08e+08","155.52","0.486","22581.23","405.11","1.29e+08","716.72","N/A","N/A","N/A","9","N/A"
"2","PSY106 clump 25C","Mito 1","Mito","Object","427","0.508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","598.69","1203.26","900.66","384580.13","141","N/A","N/A","N/A","N/A","N/A","14.94","41.06","2.25","N/A","1"
"7","PSY106 clump 25C","Mito 6","Mito","Object","842","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","583.79","1829.7","1037.67","873722.13","189.58","N/A","N/A","N/A","N/A","N/A","13.9","35.87","2.3","N/A","1"
"8","PSY106 clump 25C","Mito 7","Mito","Object","253","0.301","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","586.62","2102.12","1191.87","301542.91","355.23","N/A","N/A","N/A","N/A","N/A","17.19","36.99","2.52","N/A","1"
"9","PSY106 clump 25C","Mito 8","Mito","Object","250","0.298","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","660.94","1628.63","1061.73","265431.97","211.77","N/A","N/A","N/A","N/A","N/A","16.94","39","2.4","N/A","1"
"10","PSY106 clump 25C","Mito 9","Mito","Object","110","0.131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","500.32","1368.13","868.12","95493.08","208.71","N/A","N/A","N/A","N/A","N/A","15.26","39.67","2.36","N/A","1"
"19","PSY106 clump 25C","Mito 18","Mito","Object","83","0.0988","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","430.46","1239.02","753.96","62578.89","218.07","N/A","N/A","N/A","N/A","N/A","18.61","35.25","3.02","N/A","1"
"20","PSY106 clump 25C","Mito 19","Mito","Object","614","0.731","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","555.56","2105.84","999.99","613991.75","227.66","N/A","N/A","N/A","N/A","N/A","18.83","37.1","2.54","N/A","1"
"21","PSY106 clump 25C","Mito 20","Mito","Object","534","0.636","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","590.66","1909.7","1123.37","599882","309.11","N/A","N/A","N/A","N/A","N/A","14.49","43.1","2.84","N/A","1"
"25","PSY106 clump 25C","Mito 24","Mito","Object","95","0.113","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","526.77","1730.34","896.23","85141.72","281.7","N/A","N/A","N/A","N/A","N/A","15.39","37.89","3.1","N/A","1"
