
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Number of contained Mito","Compartment ROIs ID"
"1","PSY106 clump 25C 4","ROIs 1","ROIs","Object","299544","356.67","247","2571","434.89","1.30e+08","137.89","1837","2766","2209.43","31515342","138.32","2289","3490","2770.49","39518208","173.68","155.25","16467.83","717.67","2.15e+08","281.78","3.44","32625.23","456.27","1.37e+08","904.08","N/A","N/A","N/A","9","N/A"
"11","PSY106 clump 25C 4","Mito 10","Mito","Object","738","0.879","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","402.59","1423.69","848.16","625941.06","227.98","N/A","N/A","N/A","N/A","N/A","67.44","36.08","2.45","N/A","1"
"12","PSY106 clump 25C 4","Mito 11","Mito","Object","604","0.719","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","444.23","2548.22","1113.41","672500.81","352.33","N/A","N/A","N/A","N/A","N/A","65.69","37.8","2.83","N/A","1"
"13","PSY106 clump 25C 4","Mito 12","Mito","Object","486","0.579","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","528.21","2013.31","1122.59","545577.25","348.78","N/A","N/A","N/A","N/A","N/A","67.58","38.27","2.69","N/A","1"
"19","PSY106 clump 25C 4","Mito 18","Mito","Object","1154","1.37","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","374.85","3031.57","1001.15","1155325.38","276.67","N/A","N/A","N/A","N/A","N/A","68.7","31.3","2.88","N/A","1"
"20","PSY106 clump 25C 4","Mito 19","Mito","Object","244","0.291","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","551.26","1459.96","979.17","238917.67","212.29","N/A","N/A","N/A","N/A","N/A","71.19","33.07","2.94","N/A","1"
"21","PSY106 clump 25C 4","Mito 20","Mito","Object","579","0.689","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","567.86","1956.57","971.48","562485.88","196.78","N/A","N/A","N/A","N/A","N/A","66.07","33.75","2.41","N/A","1"
"31","PSY106 clump 25C 4","Mito 30","Mito","Object","552","0.657","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","475.12","1711.09","904.02","499017.53","219.85","N/A","N/A","N/A","N/A","N/A","71.61","31.39","2.91","N/A","1"
"32","PSY106 clump 25C 4","Mito 31","Mito","Object","609","0.725","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","416.97","1744.72","839","510952.75","197.68","N/A","N/A","N/A","N/A","N/A","66","35.21","3.41","N/A","1"
"33","PSY106 clump 25C 4","Mito 32","Mito","Object","77","0.0917","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","791.29","1294.05","1087.69","83751.77","120.54","N/A","N/A","N/A","N/A","N/A","68.77","35.23","3.31","N/A","1"
