
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","368.77","415","832","583.99","1.81e+08","48.12","253","2298","483.22","1.50e+08","143.3","261.88","1816.81","576.41","1.79e+08","115.16","5.3","24844.54","499.82","1.55e+08","755.27","N/A","N/A","N/A","PSY106 clump 36C 9","ROIs","Object","1589","2633","1998.49","29473690","141.95","2047","3504","2604.74","38414707","183.56","9","N/A"
"Mito 3","4","2.95","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","326.63","1544.72","732.97","1817039.88","192.23","N/A","N/A","N/A","N/A","N/A","9.32","49.92","2.86","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","3.57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","377.51","1399.57","782.36","2343157.75","167.32","N/A","N/A","N/A","N/A","N/A","12.5","43.23","2.16","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","12","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","778.47","994.44","865.79","10389.52","73.1","N/A","N/A","N/A","N/A","N/A","9.75","49.12","1.4","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","17","1.33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","347.69","1816.81","791.35","883144.81","255","N/A","N/A","N/A","N/A","N/A","11.57","47.69","2.6","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.235","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","475.77","1219.06","818.76","161294.91","151.73","N/A","N/A","N/A","N/A","N/A","12.7","48.66","2.15","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 20","21","0.978","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","365.89","1589.59","730.15","599453.63","226.47","N/A","N/A","N/A","N/A","N/A","13.47","47.46","2.73","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 21","22","2.08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","399.84","1412.08","765.69","1338417.63","164.77","N/A","N/A","N/A","N/A","N/A","7.19","48.22","2.1","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 30","31","0.854","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","423.86","1032.92","629.9","451638.66","107.17","N/A","N/A","N/A","N/A","N/A","12.43","44.67","3.41","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 31","32","2.53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","374.5","1501.66","792.53","1683328.38","239.15","N/A","N/A","N/A","N/A","N/A","9.34","46.48","2.61","PSY106 clump 36C 9","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
