
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Number of contained Mito","Compartment ROIs ID"
"1","PSY106 clump 25C 2","ROIs 1","ROIs","Object","295722","352.12","243","2216","419.14","1.24e+08","117.6","1580","2773","2016.52","28396670","183.07","2045","3627","2721.2","38319897","221.86","263.09","22649.64","698.27","2.06e+08","220.23","18.59","22722.01","435.96","1.29e+08","717.65","N/A","N/A","N/A","10","N/A"
"13","PSY106 clump 25C 2","Mito 12","Mito","Object","152","0.181","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","423.6","1202.92","784.99","119318.24","159.35","N/A","N/A","N/A","N/A","N/A","44.68","41.15","2.24","N/A","1"
"15","PSY106 clump 25C 2","Mito 14","Mito","Object","401","0.477","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","624.58","1787.7","1034.2","414715.59","245.29","N/A","N/A","N/A","N/A","N/A","43.09","46.02","2.57","N/A","1"
"25","PSY106 clump 25C 2","Mito 24","Mito","Object","382","0.455","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","555.39","1590.58","943.09","360259.22","219.82","N/A","N/A","N/A","N/A","N/A","44.82","42.01","2.42","N/A","1"
"29","PSY106 clump 25C 2","Mito 28","Mito","Object","420","0.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","523.97","2147.82","991.53","416441.63","304.05","N/A","N/A","N/A","N/A","N/A","40.92","45.47","3.01","N/A","1"
"36","PSY106 clump 25C 2","Mito 35","Mito","Object","403","0.48","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","398.69","1318.15","703.39","283466.31","169.8","N/A","N/A","N/A","N/A","N/A","42.42","40.5","3.17","N/A","1"
"41","PSY106 clump 25C 2","Mito 40","Mito","Object","221","0.263","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","554.77","1469.79","845.58","186873.64","149.57","N/A","N/A","N/A","N/A","N/A","45.84","42.03","3.46","N/A","1"
"42","PSY106 clump 25C 2","Mito 41","Mito","Object","664","0.791","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","435.73","1579.6","910.41","604514","245.71","N/A","N/A","N/A","N/A","N/A","42.64","43.44","2.83","N/A","1"
"43","PSY106 clump 25C 2","Mito 42","Mito","Object","208","0.248","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","543.38","1466.28","780.56","162357.28","151.7","N/A","N/A","N/A","N/A","N/A","43.95","43.54","3.43","N/A","1"
"48","PSY106 clump 25C 2","Mito 47","Mito","Object","52","0.0619","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","572.95","1175.79","800.24","41612.3","151.14","N/A","N/A","N/A","N/A","N/A","40.7","47","3.46","N/A","1"
"50","PSY106 clump 25C 2","Mito 49","Mito","Object","845","1.01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","502.71","4673.07","1123.72","949539.19","467.43","N/A","N/A","N/A","N/A","N/A","41.17","48.15","3.18","N/A","1"
