filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY029 I 25C 01 m-25.csv,138000000,717.6,228.89,GTY029 I 25C,2041570.4400000002,1036.8360017090367,2.3405,546.91,32811987.990257837,963023.2695053334,0.029349738570892545,489.92600170903677,-25,25
GTY029 I 25C 01 m-35.csv,138000000,717.6,228.89,GTY029 I 25C,2707302.96,1033.320891197025,3.1194,546.91,32811987.990257837,1274300.9439825313,0.0388364443008111,486.4108911970251,-35,25
GTY029 I 25C 01 m-50.csv,138000000,717.6,228.89,GTY029 I 25C,4095849.44,1029.3796716506042,4.7419,546.91,32811987.990257837,1921410.0411522638,0.05855817214497174,482.46967165060425,-50,25
GTY029 I 25C 02 m-25.csv,90926248,696.22,155.5,GTY029 I 25C,2437683.8000000003,1009.7305417174707,2.8705,546.91,19499206.349206354,1115752.3851515912,0.057220399906019966,462.82054171747075,-25,25
GTY029 I 25C 02 m-35.csv,90926248,696.22,155.5,GTY029 I 25C,2753431.92,999.3873024107414,3.277,546.91,19499206.349206354,1245291.1060720582,0.0638636816171107,452.47730241074146,-35,25
GTY029 I 25C 02 m-50.csv,90926248,696.22,155.5,GTY029 I 25C,3372581.4,985.9855219847705,4.071,546.91,19499206.349206354,1501197.9927773583,0.07698764585044043,439.0755219847705,-50,25
GTY029 I 25C 03 m-25.csv,156000000,771.81,240.62,GTY029 I 25C,3146851.39,1114.330544367433,3.3617,546.91,45448423.61636012,1601996.8455530356,0.035248677909619795,567.4205443674331,-25,25
GTY029 I 25C 03 m-35.csv,156000000,771.81,240.62,GTY029 I 25C,3725330.34,1106.736696457548,4.0057,546.91,45448423.61636012,1883344.0816326533,0.041439150838989795,559.8266964575481,-35,25
GTY029 I 25C 03 m-50.csv,156000000,771.81,240.62,GTY029 I 25C,5055066.1899999995,1097.7437921086746,5.4769000000000005,546.91,45448423.61636012,2533687.4074074076,0.055748631213148464,550.8337921086746,-50,25
GTY029 I 25C 04 m-25.csv,159000000,707.36,267.88,GTY029 I 25C,2739090.81,982.4217541003376,3.3168,546.91,36097544.3016713,1213156.4508272442,0.033607728012984964,435.5117541003376,-25,25
GTY029 I 25C 04 m-35.csv,159000000,707.36,267.88,GTY029 I 25C,3164352.28,971.488277906677,3.879,546.91,36097544.3016713,1383168.8418577309,0.03831753291299904,424.57827790667704,-35,25
GTY029 I 25C 04 m-50.csv,159000000,707.36,267.88,GTY029 I 25C,4049910.9499999997,955.4569294770205,5.048,546.91,36097544.3016713,1732044.091710758,0.047982324704303095,408.5469294770205,-50,25
GTY029 I 25C 05 m-25.csv,132000000,724.86,217.44,GTY029 I 25C,2415516.84,1147.5232029691117,2.5058,546.91,32496386.99924415,1263976.286218191,0.03889590206590014,600.6132029691117,-25,25
