filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,ExtracellularBackground
GTY029 I 25C 01 m-25.csv,ROIs 1,1,228.89,467,1652,701.84,135000000,87.15,214,1218,352.28,67719473,95.46,191.77,12427.39,717.6,138000000,314.32,6.98,8664.34,365.77,70314104,373.54,NA,NA,NA,GTY029 I 25C,ROIs,Object,14,NA,546.91
GTY029 I 25C 01 m-25.csv,Mito 12,13,0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.65,1688.59,1020.88,240926.94,245.86,NA,NA,NA,NA,NA,18.35,9.24,2.34,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 13,14,0.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.08,1197.86,784.36,49414.59,174.64,NA,NA,NA,NA,NA,18.21,10.44,1.73,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 20,21,0.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781.04,1243.2,971.68,21376.9,119.17,NA,NA,NA,NA,NA,19.4,11.17,1.66,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 21,22,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733.62,1333.79,1017.02,69157.61,142.93,NA,NA,NA,NA,NA,19.31,12.23,1.82,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 26,27,0.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649.38,831.75,750.34,10504.71,56.04,NA,NA,NA,NA,NA,18.97,7.93,2.1,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 27,28,0.0191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,774.62,945.52,855.82,13693.1,46.12,NA,NA,NA,NA,NA,19.1,8.53,2.33,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 28,29,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.2,2277.79,1097.19,100941.59,355.15,NA,NA,NA,NA,NA,16.45,10.9,2.71,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 34,35,0.0191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.13,994.05,776.34,12421.49,105.91,NA,NA,NA,NA,NA,17.61,8.82,3.36,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 35,36,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.86,1792.15,1048.21,1377347.12,146.56,NA,NA,NA,NA,NA,18.11,11.54,3.36,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 36,37,0.0512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710.88,1580.21,1063.4,45726.23,179.12,NA,NA,NA,NA,NA,18.06,13.8,2.94,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 45,46,0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.52,1068.43,929.28,9292.81,71.1,NA,NA,NA,NA,NA,18.84,12.3,3.84,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 47,48,0.0464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,818.82,1143.59,947.9,36968.17,77.5,NA,NA,NA,NA,NA,17.74,12.63,3.84,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 48,49,0.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1124.41,2694.14,1904.36,41895.87,550.38,NA,NA,NA,NA,NA,18.71,12.92,3.72,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-25.csv,Mito 49,50,0.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,708.25,937.44,850.24,11903.31,67.73,NA,NA,NA,NA,NA,17.75,13.3,3.56,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-35.csv,ROIs 1,1,228.89,467,1652,701.84,135000000,87.15,214,1218,352.28,67719473,95.46,191.77,12427.39,717.6,138000000,314.32,6.98,8664.34,365.77,70314104,373.54,NA,NA,NA,GTY029 I 25C,ROIs,Object,10,NA,546.91
GTY029 I 25C 01 m-35.csv,Mito 14,15,0.0869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.11,1197.86,785.49,57340.69,180.06,NA,NA,NA,NA,NA,18.22,10.44,1.73,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-35.csv,Mito 18,19,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506.65,1688.59,1017.86,300269.78,242.77,NA,NA,NA,NA,NA,18.35,9.23,2.33,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-35.csv,Mito 19,20,0.0369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718.4,1291.52,979.04,30350.35,138.19,NA,NA,NA,NA,NA,19.4,11.18,1.67,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-35.csv,Mito 24,25,0.0726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629.94,982.38,802.23,48936.04,85.92,NA,NA,NA,NA,NA,19.05,8.19,2.23,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-35.csv,Mito 29,30,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,632.93,2277.79,1088.99,132856.75,347.18,NA,NA,NA,NA,NA,16.45,10.91,2.7,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-35.csv,Mito 32,33,0.0286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.13,999.84,794.6,19070.5,109.31,NA,NA,NA,NA,NA,17.62,8.82,3.31,GTY029 I 25C,Mito,Object,NA,1,546.91
GTY029 I 25C 01 m-35.csv,Mito 39,40,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,844.52,1214.88,969.04,20349.94,87.96,NA,NA,NA,NA,NA,18.84,12.29,3.79,GTY029 I 25C,Mito,Object,NA,1,546.91
