
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","515.47","433","898","617.36","2.67e+08","56.29","190","2015","414.74","1.80e+08","198.7","112.17","4663.35","616.93","2.67e+08","256.54","4.67","18230.13","437.88","1.90e+08","711.02","N/A","N/A","N/A","GTY029 I 36C 2","ROIs","Object","1279","3143","1934.97","39889412","254.28","1720","3986","2618.28","53975894","327.99","9","N/A"
"Mito 1","2","0.0155","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","268.85","349.41","295.16","3837.05","23.42","N/A","N/A","N/A","N/A","N/A","41.26","43.9","0","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 2","3","1.83","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","257.39","2436.65","952.26","1463625.5","453.23","N/A","N/A","N/A","N/A","N/A","41.2","44.15","1.03","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 4","5","0.225","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","406.67","2570.98","1120.66","211804.47","451.13","N/A","N/A","N/A","N/A","N/A","36.26","41.52","1.45","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 6","7","0.579","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","223.91","2220.56","959.87","466496.59","435.22","N/A","N/A","N/A","N/A","N/A","40.11","42.96","2.31","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","10.07","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","235.84","2611.59","813.93","6885056","273.43","N/A","N/A","N/A","N/A","N/A","38.51","44.48","3.1","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","0.218","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","274.2","2000.31","821.1","150261.98","375.38","N/A","N/A","N/A","N/A","N/A","41.64","43.02","2.88","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","11","0.101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","349.95","1429.61","720.76","61264.89","262.48","N/A","N/A","N/A","N/A","N/A","38.5","42.94","2.58","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","12","0.162","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","321.47","1149.68","616.05","83783.39","211.79","N/A","N/A","N/A","N/A","N/A","39.69","47.03","3.06","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","8.02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","248.91","2794.53","882.37","5942757.5","358.99","N/A","N/A","N/A","N/A","N/A","42.58","45.55","2.9","GTY029 I 36C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
