filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 clump 25C 01 m-25.csv,124000000,608.94,242.55,GTY030 clump 25C,2450306.97,993.6151932893213,2.9386,523.99,17304629.629629638,1159016.2030738217,0.06697723256031499,469.62519328932126,-25,25
GTY030 clump 25C 01 m-35.csv,124000000,608.94,242.55,GTY030 clump 25C,2903766.82,1008.6031430235946,3.433,523.99,17304629.629629638,1397225.9343243472,0.0807428973765474,484.6131430235946,-35,25
GTY030 clump 25C 01 m-50.csv,124000000,608.94,242.55,GTY030 clump 25C,3638296.8,995.7087052341599,4.356,523.99,17304629.629629638,1725713.1771227012,0.09972551935858079,471.71870523415987,-50,25
GTY030 clump 25C 02 m-25.csv,132000000,640.05,244.65,GTY030 clump 25C,2645581.15,1045.4321070122965,3.009,523.99,23846543.209876534,1317728.4790459392,0.0552586791070068,521.4421070122964,-25,25
GTY030 clump 25C 02 m-35.csv,132000000,640.05,244.65,GTY030 clump 25C,2954457.15,1031.7697446433813,3.407,523.99,23846543.209876534,1452931.5444696394,0.060928392500422375,507.77974464338126,-35,25
GTY030 clump 25C 02 m-50.csv,132000000,640.05,244.65,GTY030 clump 25C,3657468.25,1032.8447429519072,4.221,523.99,23846543.209876534,1803876.6019988242,0.075645203001654,508.85474295190716,-50,25
GTY030 clump 25C 03 m-25.csv,134000000,609.86,261.27,GTY030 clump 25C,2272224.66,783.5219950774575,3.4535,523.99,18842071.80650038,752745.2296968165,0.03995023675884331,259.5319950774575,-25,25
GTY030 clump 25C 03 m-35.csv,134000000,609.86,261.27,GTY030 clump 25C,2636730.94,780.0896597963743,4.027,523.99,18842071.80650038,866140.362811791,0.0459684249007574,256.09965979637434,-35,25
GTY030 clump 25C 03 m-50.csv,134000000,609.86,261.27,GTY030 clump 25C,3372073.69,772.358369857747,5.202,523.99,18842071.80650038,1085086.302175191,0.05758848142171096,248.36836985774698,-50,25
GTY030 clump 25C 04 m-25.csv,156000000,602,308.91,GTY030 clump 25C,3614284.91,807.7677116575935,5.327,523.99,20238573.19223986,1269575.770555136,0.06273049777253732,283.7777116575935,-25,25
GTY030 clump 25C 04 m-35.csv,156000000,602,308.91,GTY030 clump 25C,4121443.89,803.8215113803832,6.107,523.99,20238573.19223986,1435232.2499370119,0.07091568344784936,279.8315113803832,-35,25
GTY030 clump 25C 04 m-50.csv,156000000,602,308.91,GTY030 clump 25C,5163220.86,798.1572232328482,7.696,523.99,20238573.19223986,1772059.2508608378,0.08755850691788412,274.1672232328482,-50,25
GTY030 clump 25C 10 01 m-25.csv,138000000,554.88,296.18,GTY030 clump 25C 10,1612250.68,662.3809768726269,2.897,525.28,7362835.306962296,333569.7740824726,0.045304527423973354,137.10097687262692,-25,25
GTY030 clump 25C 10 01 m-35.csv,138000000,554.88,296.18,GTY030 clump 25C 10,2111926.99,661.4308681925808,3.801,525.28,7362835.306962296,434626.22826908506,0.05902973652800607,136.1508681925808,-35,25
GTY030 clump 25C 10 01 m-50.csv,138000000,554.88,296.18,GTY030 clump 25C 10,3295481.19,646.9989665403,6.067,525.28,7362835.306962296,620197.3377005125,0.08423349319168581,121.71896654030002,-50,25
GTY030 clump 25C 10 02 m-25.csv,159000000,568.08,332.76,GTY030 clump 25C 10,3550080.55,655.1150154894672,6.4559999999999995,525.28,11961138.825900748,703968.1363903588,0.058854607963079605,129.8350154894672,-25,25
GTY030 clump 25C 10 02 m-35.csv,159000000,568.08,332.76,GTY030 clump 25C 10,4130412.85,652.5198527070064,7.536,525.28,11961138.825900748,805307.4074074076,0.0673269844225525,127.23985270700643,-35,25
GTY030 clump 25C 10 02 m-50.csv,159000000,568.08,332.76,GTY030 clump 25C 10,5692286.56,643.2232298684785,10.5382,525.28,11961138.825900748,1043847.6064499876,0.08726991816110614,117.94322986847851,-50,25
GTY030 clump 25C 10 03 m-25.csv,157000000,592.97,314.58,GTY030 clump 25C 10,2821199.39,702.2503592314118,4.788,525.28,17883530.864197545,711626.8413538254,0.03979230090286519,176.97035923141186,-25,25
GTY030 clump 25C 10 03 m-35.csv,157000000,592.97,314.58,GTY030 clump 25C 10,3411404.42,700.2755808341951,5.802,525.28,17883530.864197545,852712.1525153273,0.04768142035208714,174.99558083419515,-35,25
GTY030 clump 25C 10 03 m-50.csv,157000000,592.97,314.58,GTY030 clump 25C 10,4996742.58,688.6239630285562,8.639100000000001,525.28,17883530.864197545,1185138.8519358363,0.06626984687394476,163.34396302855623,-50,25
GTY030 clump 25C 10 04 m-25.csv,171000000,597.85,341.29,GTY030 clump 25C 10,1968852.94,649.9605964678441,3.6012,525.28,20800718.316956423,377088.9090450997,0.018128648410074506,124.68059646784411,-25,25
GTY030 clump 25C 10 04 m-35.csv,171000000,597.85,341.29,GTY030 clump 25C 10,2711111.38,653.7371467369275,4.934,525.28,20800718.316956423,532298.2800033595,0.025590379711523628,128.45714673692748,-35,25
GTY030 clump 25C 10 04 m-50.csv,171000000,597.85,341.29,GTY030 clump 25C 10,4790141.2,657.5104139179775,8.6708,525.28,20800718.316956423,962915.4892080287,0.046292415220251064,132.23041391797756,-50,25
GTY030 clump 25C 10 05 m-25.csv,117000000,566.91,245,GTY030 clump 25C 10,1547566.55,652.7015739099611,2.8209999999999997,525.28,8565843.621399175,301886.5037372976,0.03524305568492113,127.42157390996113,-25,25
GTY030 clump 25C 10 05 m-35.csv,117000000,566.91,245,GTY030 clump 25C 10,1870604.97,649.967646544182,3.429,525.28,8565843.621399175,359077.8029730412,0.04191972429615615,124.68764654418203,-35,25
GTY030 clump 25C 10 05 m-50.csv,117000000,566.91,245,GTY030 clump 25C 10,2694688.25,644.2,4.98,525.28,8565843.621399175,497372.63794406684,0.058064641374205264,118.92000000000007,-50,25
GTY030 clump 25C 10 08 m-25.csv,133000000,560.82,282.4,GTY030 clump 25C 10,1925841.18,679.0821601136902,3.3776,525.28,8429071.974468818,436283.00663475273,0.05175931679741605,153.8021601136902,-25,25
GTY030 clump 25C 10 08 m-35.csv,133000000,560.82,282.4,GTY030 clump 25C 10,2345434.02,672.229452166803,4.1582,525.28,8429071.974468818,513181.499958008,0.06088232506643741,146.94945216680298,-35,25
GTY030 clump 25C 10 08 m-50.csv,133000000,560.82,282.4,GTY030 clump 25C 10,3416223.6999999997,669.7175365544072,6.0663,525.28,8429071.974468818,735870.85579911,0.08730152714652588,144.4375365544072,-50,25
GTY030 clump 25C 11 01 m-25.csv,134000000,560.12,285.73,GTY030 clump 25C 11,2261918.92,672.002836454432,4.005,518,10107455.782312926,517998.95859578403,0.05124919364002881,154.00283645443199,-25,25
GTY030 clump 25C 11 01 m-35.csv,134000000,560.12,285.73,GTY030 clump 25C 11,2780826.45,670.0650243210376,4.934,518,10107455.782312926,630124.1538590742,0.06234250907748029,152.06502432103764,-35,25
GTY030 clump 25C 11 01 m-50.csv,134000000,560.12,285.73,GTY030 clump 25C 11,3853940.26,666.7791009440814,6.885,518,10107455.782312926,860287.318384144,0.08511413128213373,148.7791009440814,-50,25
