filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 clump 25C 01 m-25.csv,ROIs 1,1,242.55,424,2294,609.16,124000000,83.99,225,1681,390.79,79604017,121.54,199.75,24233.79,608.94,124000000,369.8,33.05,18472.37,411.85,83893296,704.97,NA,NA,NA,GTY030 clump 25C,ROIs,Object,5,NA
GTY030 clump 25C 01 m-25.csv,Mito 8,9,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572.31,1032.52,778,150153.14,101.8,NA,NA,NA,NA,NA,26.5,38.37,1.95,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-25.csv,Mito 9,10,0.0953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.59,942.5,761.52,60921.37,101.11,NA,NA,NA,NA,NA,28.08,38.42,2.04,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-25.csv,Mito 10,11,0.0953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.52,950.82,758.87,60709.9,93.41,NA,NA,NA,NA,NA,22.06,40.7,2.14,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-25.csv,Mito 17,18,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.07,1054.45,736.63,91342.19,143.18,NA,NA,NA,NA,NA,27.73,41.45,2.9,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-25.csv,Mito 21,22,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.14,15320.33,1049.36,2087180.37,1184.26,NA,NA,NA,NA,NA,25.48,41.14,2.5,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-35.csv,ROIs 1,1,242.55,424,2294,609.16,124000000,83.99,225,1681,390.79,79604017,121.54,199.75,24233.79,608.94,124000000,369.8,33.05,18472.37,411.85,83893296,704.97,NA,NA,NA,GTY030 clump 25C,ROIs,Object,5,NA
GTY030 clump 25C 01 m-35.csv,Mito 8,9,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.98,1032.52,773.55,172501.25,104.04,NA,NA,NA,NA,NA,26.5,38.38,1.95,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-35.csv,Mito 9,10,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.59,942.5,750.89,71334.7,101.5,NA,NA,NA,NA,NA,28.08,38.42,2.05,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-35.csv,Mito 10,11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.52,950.82,760.81,69994.73,90.07,NA,NA,NA,NA,NA,22.06,40.7,2.14,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-35.csv,Mito 16,17,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.07,1055.63,735.08,107321.64,142.92,NA,NA,NA,NA,NA,27.74,41.46,2.9,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-35.csv,Mito 20,21,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.14,22387.35,1068.71,2482614.5,1301.12,NA,NA,NA,NA,NA,25.48,41.16,2.51,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-50.csv,ROIs 1,1,242.55,424,2294,609.16,124000000,83.99,225,1681,390.79,79604017,121.54,199.75,24233.79,608.94,124000000,369.8,33.05,18472.37,411.85,83893296,704.97,NA,NA,NA,GTY030 clump 25C,ROIs,Object,5,NA
GTY030 clump 25C 01 m-50.csv,Mito 4,5,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.19,1040.16,768.36,205921.41,105.48,NA,NA,NA,NA,NA,26.49,38.38,1.95,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-50.csv,Mito 5,6,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.14,23220.74,1052.72,3117106.5,1306.2,NA,NA,NA,NA,NA,25.49,41.17,2.52,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-50.csv,Mito 8,9,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,475.24,1002.53,745.08,88664.21,105.75,NA,NA,NA,NA,NA,28.08,38.42,2.05,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-50.csv,Mito 9,10,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.52,957.44,756.34,90004.09,88.4,NA,NA,NA,NA,NA,22.07,40.69,2.13,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 01 m-50.csv,Mito 17,18,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.07,1086.96,730.48,136600.59,139.15,NA,NA,NA,NA,NA,27.74,41.46,2.89,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-25.csv,ROIs 1,1,244.65,436,3319,639.04,131000000,103.32,218,2068,385.56,79218733,125.78,161.88,55542.91,640.05,132000000,569.91,19.77,21670.55,403.49,82903680,720.62,NA,NA,NA,GTY030 clump 25C,ROIs,Object,4,NA
GTY030 clump 25C 02 m-25.csv,Mito 11,12,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.99,1524.77,853.7,812718.13,185.5,NA,NA,NA,NA,NA,63.45,45.02,2.17,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-25.csv,Mito 16,17,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,1324.58,779.86,273730.5,163.57,NA,NA,NA,NA,NA,61.76,49.71,2.48,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-25.csv,Mito 18,19,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.45,769.37,636.13,54070.77,70.19,NA,NA,NA,NA,NA,65.38,45.3,3.02,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-25.csv,Mito 22,23,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499.66,23765.67,1316.76,1505061.75,2451.32,NA,NA,NA,NA,NA,63.71,47.63,3.22,GTY030 clump 25C,Mito,Object,NA,1
GTY030 clump 25C 02 m-35.csv,ROIs 1,1,244.65,436,3319,639.04,131000000,103.32,218,2068,385.56,79218733,125.78,161.88,55542.91,640.05,132000000,569.91,19.77,21670.55,403.49,82903680,720.62,NA,NA,NA,GTY030 clump 25C,ROIs,Object,4,NA
