
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","526.02","399","1507","573.62","2.53e+08","62.18","183","3158","485.75","2.15e+08","284.97","250.64","9327.93","570.76","2.52e+08","161.28","0.000001","23361.2","507.53","2.24e+08","907.18","N/A","N/A","N/A","GTY030 clump 36C 5","ROIs","Object","1474","3054","2016.1","42412640","190.24","1918","3847","2579.96","54274655","232.75","9","N/A"
"Mito 9","10","1.62","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","371.25","1547.27","801.63","1091814.5","179.47","N/A","N/A","N/A","N/A","N/A","50.93","30.58","1.72","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","11","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","544.01","826.78","679.08","6790.83","87.68","N/A","N/A","N/A","N/A","N/A","57.6","31.04","1.68","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","12","4.86","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","322.2","1994.1","860.59","3515514.75","274.27","N/A","N/A","N/A","N/A","N/A","49.23","33.89","1.86","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 21","22","0.198","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","412.2","1310.49","662.37","109952.62","197.59","N/A","N/A","N/A","N/A","N/A","49.27","31.03","2.99","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 22","23","4.44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","290.84","2667.05","799.23","2982715","256.09","N/A","N/A","N/A","N/A","N/A","52.33","33.5","2.02","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","26","0.362","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","331.28","1179.69","644.28","195862.03","172.82","N/A","N/A","N/A","N/A","N/A","50.85","31.99","3.59","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 26","27","0.192","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","489.82","819.48","623.25","100343.65","64.21","N/A","N/A","N/A","N/A","N/A","55.7","32.2","4.61","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 27","28","14.11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","285.87","6394.27","874.01","10358713","311.95","N/A","N/A","N/A","N/A","N/A","55.35","31.44","2.63","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 28","29","0.0262","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","496.23","587.17","544.88","11987.4","24.11","N/A","N/A","N/A","N/A","N/A","49.48","34.35","4.8","GTY030 clump 36C 5","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
