filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,ExtracellularBackground
GTY030 colony 25C 01 m-25.csv,ROIs 1,1,174.38,424,857,562.07,82318129,41.93,216,1157,351.38,51461216,93.44,260.9,4319.65,564.05,82606688,124.09,102.9,8198.29,368.35,53945696,327.86,NA,NA,NA,GTY030 colony 25C,ROIs,Object,11,NA,509.37
GTY030 colony 25C 01 m-25.csv,Mito 1,2,0.0321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.58,1301.29,842.48,22747.09,176.97,NA,NA,NA,NA,NA,29.21,48.31,1.56,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 2,3,0.0202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597.96,1053.01,842.87,14328.84,108.11,NA,NA,NA,NA,NA,31.48,48.71,1.38,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 3,4,0.0822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.39,1176.21,801.67,55315.55,167.14,NA,NA,NA,NA,NA,29.14,50.54,1.47,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 5,6,0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.46,1015.14,862.39,8623.92,109.78,NA,NA,NA,NA,NA,29.64,50.46,1.5,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 8,9,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494.82,1357.96,751.6,35325.15,201.25,NA,NA,NA,NA,NA,31.05,48.02,2.16,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 9,10,0.0262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634.18,1268.86,830.5,18271.05,146.93,NA,NA,NA,NA,NA,29.34,51.44,1.85,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 16,17,0.0607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,1010.37,679.8,34669.93,136.56,NA,NA,NA,NA,NA,28.73,50.32,2.85,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 18,19,0.0286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.88,1097.4,638.46,15322.98,167.83,NA,NA,NA,NA,NA,30.85,48.42,3.28,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 19,20,0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567.38,766.59,659.23,6592.26,69.39,NA,NA,NA,NA,NA,28.72,49.52,3.15,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 20,21,0.0786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.72,1425.03,798.57,52705.79,244.5,NA,NA,NA,NA,NA,29.31,50.31,3.35,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-25.csv,Mito 22,23,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.12,4319.65,1030.43,919147.13,425.39,NA,NA,NA,NA,NA,31.31,51.42,2.33,GTY030 colony 25C,Mito,Object,NA,1,509.37
GTY030 colony 25C 01 m-35.csv,ROIs 1,1,174.38,424,857,562.07,82318129,41.93,216,1157,351.38,51461216,93.44,260.9,4319.65,564.05,82606688,124.09,102.9,8198.29,368.35,53945696,327.86,NA,NA,NA,GTY030 colony 25C,ROIs,Object,8,NA,509.37
GTY030 colony 25C 01 m-35.csv,Mito 1,2,0.0274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.9,1053.01,822.22,18911.16,115.01,NA,NA,NA,NA,NA,31.46,48.71,1.37,GTY030 colony 25C,Mito,Object,NA,1,509.37
