filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 colony 25C 01 m-25.csv,82606688,564.05,174.38,GTY030 colony 25C,1183049.69,957.8248787796241,1.4684000000000001,509.37,8007977.156294609,553045.3884269757,0.06906180894787625,448.4548787796241,-25,25
GTY030 colony 25C 01 m-35.csv,82606688,564.05,174.38,GTY030 colony 25C,1562610.9,921.4589174620444,2.0221,509.37,8007977.156294609,699827.8323675148,0.08739133725143315,412.0889174620444,-35,25
GTY030 colony 25C 01 m-50.csv,82606688,564.05,174.38,GTY030 colony 25C,2467637.63,868.6523963283255,3.3881,509.37,8007977.156294609,1022326.9396153521,0.12766356842211515,359.2823963283255,-50,25
GTY030 colony 25C 02 m-25.csv,157000000,571.86,327.49,GTY030 colony 25C,4291333,861.0954054965437,5.931,509.37,17187242.882338125,1751980.6668346354,0.10193494551909764,351.72540549654366,-25,25
GTY030 colony 25C 02 m-35.csv,157000000,571.86,327.49,GTY030 colony 25C,4890149.88,849.5617140773159,6.855,509.37,17187242.882338125,1958523.7255395988,0.11395217598002341,340.19171407731585,-35,25
GTY030 colony 25C 02 m-50.csv,157000000,571.86,327.49,GTY030 colony 25C,6077623.82,830.216969801355,8.709,509.37,17187242.882338125,2346734.0723943906,0.13653929769072679,320.84696980135504,-50,25
GTY030 colony 25C 03 m-25.csv,165000000,602.19,326.94,GTY030 colony 25C,4125055.1999999997,806.1475340890422,6.087,509.37,25486328.042328052,1517162.0475350632,0.0595284673812304,296.7775340890422,-25,25
GTY030 colony 25C 03 m-35.csv,165000000,602.19,326.94,GTY030 colony 25C,4749800.5,803.3085734583688,7.038,509.37,25486328.042328052,1737414.6972369188,0.06817045964218134,293.93857345836875,-35,25
GTY030 colony 25C 03 m-50.csv,165000000,602.19,326.94,GTY030 colony 25C,6025327.01,793.6061393805311,9.04,509.37,25486328.042328052,2157969.849668263,0.08467166576857507,284.2361393805311,-50,25
GTY030 colony 25C 10 01 m-25.csv,126000000,580.95,258.15,GTY030 colony 25C 10,2281063.31,752.8181168651344,3.611,511.57,15041947.593852365,731625.8923322416,0.048639040108825846,241.24811686513436,-25,25
GTY030 colony 25C 10 01 m-35.csv,126000000,580.95,258.15,GTY030 colony 25C 10,2563082.17,748.6182719685813,4.074,511.57,15041947.593852365,811064.6342487615,0.05392018747494128,237.04827196858133,-35,25
GTY030 colony 25C 10 01 m-50.csv,126000000,580.95,258.15,GTY030 colony 25C 10,3115219.35,744.411230676571,4.981,511.57,15041947.593852365,974033.904425968,0.06475450724373319,232.841230676571,-50,25
GTY030 colony 25C 10 02 m-25.csv,139000000,573.61,287.53,GTY030 colony 25C 10,1841523.26,751.6390133607399,2.919,511.57,14981406.903502144,588528.9745527839,0.039283958999552025,240.06901336073992,-25,25
GTY030 colony 25C 10 02 m-35.csv,139000000,573.61,287.53,GTY030 colony 25C 10,2139487.54,753.0727700503107,3.379,511.57,14981406.903502144,685342.9579239102,0.0457462348054708,241.50277005031074,-35,25
GTY030 colony 25C 10 02 m-50.csv,139000000,573.61,287.53,GTY030 colony 25C 10,2817483.1799999997,771.71082223243,4.354,511.57,14981406.903502144,951249.8026371044,0.06349535853102918,260.14082223243,-50,25
GTY030 colony 25C 10 03 m-25.csv,105000000,589.26,212.82,GTY030 colony 25C 10,1349923.54,717.2684618814088,2.2430000000000003,511.57,13885937.515747039,387487.73830519867,0.027905046948812552,205.69846188140883,-25,25
GTY030 colony 25C 10 03 m-35.csv,105000000,589.26,212.82,GTY030 colony 25C 10,1495679.96,717.410480032271,2.479,511.57,13885937.515747039,428553.4139581758,0.03086240403085383,205.84048003227105,-35,25
GTY030 colony 25C 10 03 m-50.csv,105000000,589.26,212.82,GTY030 colony 25C 10,1771652.88,716.929894736842,2.945,511.57,13885937.515747039,507923.8179222304,0.03657828773507231,205.35989473684202,-50,25
GTY030 colony 25C 11 01 m-25.csv,132000000,577.63,272.98,GTY030 colony 25C 11,2250450.08,733.7878575148708,3.6481,506.67,16268296.632233135,695850.0512303687,0.04277338107123327,227.11785751487076,-25,25
GTY030 colony 25C 11 01 m-35.csv,132000000,577.63,272.98,GTY030 colony 25C 11,2588298.25,728.7311168954094,4.226,506.67,16268296.632233135,788133.2661459646,0.04844596112074816,222.06111689540938,-35,25
GTY030 colony 25C 11 01 m-50.csv,132000000,577.63,272.98,GTY030 colony 25C 11,3325710.45,721.7958618804664,5.488,506.67,16268296.632233135,991526.6061980346,0.060948397279250284,215.1258618804664,-50,25
GTY030 colony 25C 11 02 m-25.csv,119000000,564.01,250.92,GTY030 colony 25C 11,1278654.22,780.0482438748779,1.9469,506.67,12083440.665154943,446997.65096161905,0.036992580453564655,273.3782438748779,-25,25
GTY030 colony 25C 11 02 m-35.csv,119000000,564.01,250.92,GTY030 colony 25C 11,1478548.87,774.0836860173407,2.2721,506.67,12083440.665154943,510280.2015621061,0.0422297105354771,267.4136860173407,-35,25
GTY030 colony 25C 11 02 m-50.csv,119000000,564.01,250.92,GTY030 colony 25C 11,1907231.0799999998,767.8790909090909,2.959,506.67,12083440.665154943,649128.8317796253,0.05372052958819255,261.2090909090909,-50,25
GTY030 colony 25C 11 03 m-25.csv,112000000,581.88,228.99,GTY030 colony 25C 11,2042308.1199999999,781.891026713872,3.1069999999999998,506.67,14464044.59561602,718158.8393382044,0.04965131534203612,275.22102671387194,-25,25
GTY030 colony 25C 11 03 m-35.csv,112000000,581.88,228.99,GTY030 colony 25C 11,2280941.87,772.6742279202278,3.51,506.67,14464044.59561602,784139.4473838914,0.054213013669880426,266.00422792022783,-35,25
GTY030 colony 25C 11 03 m-50.csv,112000000,581.88,228.99,GTY030 colony 25C 11,2755581.7600000002,759.1183244742315,4.327,506.67,14464044.59561602,917396.4054757701,0.0634259939819204,252.44832447423147,-50,25
GTY030 colony 25C 12 01 m-25.csv,116000000,560.08,247.52,GTY030 colony 25C 12,2010335.24,777.4474833576879,3.0795,506.01,11239948.265726054,702017.0739900899,0.062457322524405993,271.43748335768794,-25,25
GTY030 colony 25C 12 01 m-35.csv,116000000,560.08,247.52,GTY030 colony 25C 12,2398960.19,768.1613004894315,3.7186,506.01,11239948.265726054,818708.1767027798,0.07283914101270951,262.1513004894315,-35,25
GTY030 colony 25C 12 01 m-50.csv,116000000,560.08,247.52,GTY030 colony 25C 12,3179212.4699999997,767.9118931486822,4.9246,506.01,11239948.265726054,1083196.4919795082,0.09637023822275913,261.90189314868223,-50,25
GTY030 colony 25C 12 02 m-25.csv,119000000,579.33,244.57,GTY030 colony 25C 12,1397052.84,816.8016932750405,2.0357,506.01,15059941.546989176,531350.1721676325,0.0352823528902648,310.79169327504053,-25,25
GTY030 colony 25C 12 02 m-35.csv,119000000,579.33,244.57,GTY030 colony 25C 12,1762907.42,812.4359388308169,2.583,506.01,15059941.546989176,664733.5180985975,0.04413918314520237,306.4259388308169,-35,25
GTY030 colony 25C 12 02 m-50.csv,119000000,579.33,244.57,GTY030 colony 25C 12,2569314.02,811.3425655976677,3.773,506.01,15059941.546989176,967514.7140337618,0.06424425426984409,305.33256559766767,-50,25
GTY030 colony 25C 12 03 m-25.csv,98313688,603.84,193.86,GTY030 colony 25C 12,1957615.13,770.7330204890945,3.026,506.01,15927877.551020415,672757.0840681952,0.04223771070019905,264.72302048909455,-25,25
GTY030 colony 25C 12 03 m-35.csv,98313688,603.84,193.86,GTY030 colony 25C 12,2258183.0999999996,793.1845047169811,3.392,506.01,15927877.551020415,818086.7724867724,0.05136194510952665,287.1745047169811,-35,25
GTY030 colony 25C 12 03 m-50.csv,98313688,603.84,193.86,GTY030 colony 25C 12,2843520.06,819.1870048309178,4.140000000000001,506.01,15927877.551020415,1088899.6388678926,0.06836439038283117,313.1770048309178,-50,25
