ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C,509.37,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 2,509.43,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 3,503.4,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 4,501.92,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 5,511.28,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 6,510.42,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 8,511.35,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 9,509.85,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 10,511.57,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 11,506.67,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 12,506.01,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 13,519.5,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 14,510.12,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 15,508.01,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 16,505.72,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 25C 17,506.65,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C,478.04,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 2,477.46,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 3,477.28,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 4,479.44,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 5,482.8,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 7,493.36,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 8,492.8,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 10,477.45,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 11,477.94,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 12,483.08,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 13,486.46,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 14,485.79,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 16,491.19,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 17,486.54,,,,,,,,,,,,,,,,,,,,,
GTY030 colony 36C 18,484.36,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
