
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","276.13","419","3485","597.56","1.39e+08","103.72","227","1002","330.72","76695334","57.61","64.75","46544.42","599.66","1.39e+08","566.21","47.98","12021.73","340.85","79043376","349.38","N/A","N/A","N/A","GTY030 colony 25C 3","ROIs","Object","1543","2775","2093.36","23117016","163.43","1991","3546","2668.58","29469135","211.63","9","N/A"
"Mito 1","2","0.0881","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","550.11","1225.26","862.99","63861.36","143.66","N/A","N/A","N/A","N/A","N/A","48.61","19.99","1.57","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 2","3","0.0857","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","638.68","963.77","777.95","56012.47","82.58","N/A","N/A","N/A","N/A","N/A","46.05","24.19","1.48","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 3","4","0.75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","488.25","1256.86","763.12","480766.22","158.77","N/A","N/A","N/A","N/A","N/A","49.46","20.35","2.9","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","0.517","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","361.05","5523.66","979.44","425078.44","665.83","N/A","N/A","N/A","N/A","N/A","45.06","20.93","3.28","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 8","9","0.101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","527.35","1284.92","807.02","68596.49","209.03","N/A","N/A","N/A","N/A","N/A","43.16","22.27","2.72","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","0.286","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","429.97","1398.38","741.92","178060.75","161.49","N/A","N/A","N/A","N/A","N/A","45.53","24.99","2.58","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","11","0.194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","490.07","18738.04","1768.23","288220.78","2497.46","N/A","N/A","N/A","N/A","N/A","47.34","20.6","2.54","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","0.173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","508.42","1206.79","790.76","114660.88","184.26","N/A","N/A","N/A","N/A","N/A","46.79","24","2.78","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 15","16","0.0476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","505.07","1091.22","786.05","31441.9","153.93","N/A","N/A","N/A","N/A","N/A","46.65","22.63","3.48","GTY030 colony 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
