filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY029 II 25C 01 m-25.csv,118000000,674.95,207.79,GTY029 II 25C,2494363.24,912.3612252418241,3.2565,535.32,24366941.88292601,1031187.3267825647,0.04231911134918087,377.041225241824,-25,25
GTY029 II 25C 01 m-35.csv,118000000,674.95,207.79,GTY029 II 25C,2960172.05,901.6039098341749,3.9017,535.32,24366941.88292601,1200243.4962627026,0.04925704267812601,366.2839098341749,-35,25
GTY029 II 25C 01 m-50.csv,118000000,674.95,207.79,GTY029 II 25C,4002022.73,884.8424860853434,5.39,535.32,24366941.88292601,1582200.5542957925,0.06493225788848149,349.5224860853433,-50,25
GTY029 II 25C 02 m-25.csv,127000000,747.15,203.04,GTY029 II 25C,3950546.91,1163.9918566622136,4.0422,535.32,36121578.2312925,2134221.3647434283,0.05908438859115325,628.6718566622136,-25,25
GTY029 II 25C 02 m-35.csv,127000000,747.15,203.04,GTY029 II 25C,4882870.14,1149.4642417113146,5.0581000000000005,535.32,36121578.2312925,2608888.0398085164,0.07222519523104362,614.1442417113145,-35,25
GTY029 II 25C 02 m-50.csv,127000000,747.15,203.04,GTY029 II 25C,6759808.14,1116.9790980321459,7.2109000000000005,535.32,36121578.2312925,3522537.6585201984,0.0975189299859713,581.6590980321458,-50,25
GTY029 II 25C 03 m-25.csv,211000000,712.3,351.89,GTY029 II 25C,6845809.29,958.6797086522521,8.5053,535.32,52303260.43503818,3024104.585537918,0.05781866293582068,423.35970865225204,-25,25
GTY029 II 25C 03 m-35.csv,211000000,712.3,351.89,GTY029 II 25C,7852836.18,949.8090298211945,9.848700000000001,535.32,52303260.43503818,3428385.0743260244,0.06554820953435886,414.48902982119444,-35,25
GTY029 II 25C 03 m-50.csv,211000000,712.3,351.89,GTY029 II 25C,10115928.77,932.9328062026307,12.9171,535.32,52303260.43503818,4313432.753002435,0.08246967238992328,397.6128062026306,-50,25
GTY029 II 25C 04 m-25.csv,111000000,671.03,197.64,GTY029 II 25C,2184066.74,1044.0196732812185,2.4945,535.32,22526013.605442163,1065718.7662719404,0.047310579889486906,508.69967328121845,-25,25
GTY029 II 25C 04 m-35.csv,111000000,671.03,197.64,GTY029 II 25C,2545255.84,1027.9868543741954,2.9514,535.32,22526013.605442163,1221178.259847149,0.054211911669631546,492.6668543741954,-35,25
GTY029 II 25C 04 m-50.csv,111000000,671.03,197.64,GTY029 II 25C,3337334.09,1004.0069296407563,3.9611,535.32,22526013.605442163,1559180.1436130004,0.06921686947913017,468.68692964075626,-50,25
GTY029 II 25C 05 m-25.csv,109000000,744,173.78,GTY029 II 25C,4009419.6999999997,1065.7121882667857,4.483,535.32,30456378.93675988,1996933.0477870158,0.06556698850948367,530.3921882667856,-25,25
GTY029 II 25C 05 m-35.csv,109000000,744,173.78,GTY029 II 25C,4670333.47,1043.4889118198873,5.33,535.32,30456378.93675988,2274746.199714453,0.07468866224831826,508.1689118198873,-35,25
GTY029 II 25C 05 m-50.csv,109000000,744,173.78,GTY029 II 25C,6369954.47,971.7583842010771,7.798,535.32,30456378.93675988,2858273.7213403867,0.09384811396244289,436.43838420107704,-50,25
GTY029 II 25C 06 m-25.csv,129000000,714.23,215.54,GTY029 II 25C,2821939.9699999997,1003.8990262843488,3.348,535.32,32386210.968337946,1317546.4684639282,0.04068232834498652,468.57902628434874,-25,25
GTY029 II 25C 06 m-35.csv,129000000,714.23,215.54,GTY029 II 25C,3373814.51,985.9179345955249,4.067,535.32,32386210.968337946,1539079.3650793647,0.047522674590863075,450.59793459552486,-35,25
GTY029 II 25C 06 m-50.csv,129000000,714.23,215.54,GTY029 II 25C,4652783.5,956.3699655172413,5.8,535.32,32386210.968337946,2050969.8496682616,0.06332849037738227,421.0499655172413,-50,25
GTY029 II 25C 10 01 m-25.csv,86452856,656.06,156.9,GTY029 II 25C 10,1919961.2100000002,1078.6512452794564,2.1184,528.35,16828503.40136053,979052.7907953307,0.05817824481743144,550.3012452794563,-25,25
