filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,"Min (roGFP 470 (DCI: 30 its, roGFP 470))","Max (roGFP 470 (DCI: 30 its, roGFP 470))","Mean (roGFP 470 (DCI: 30 its, roGFP 470))","Sum (roGFP 470 (DCI: 30 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 30 its, roGFP 470))","Min (mCherry double (DCI: 30 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double))","Min (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))"
GTY029 II 25C 01 m-25.csv,ROIs 1,1,207.79,447,1043,664.88,116000000,64.68,211,1123,347.85,60703574,82.61,291.73,3128.07,674.95,118000000,153.98,1e-6,10140.61,364.09,63536728,405.16,NA,NA,NA,GTY029 II 25C,ROIs,Object,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 4,5,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.77,693.35,630.5,8196.49,37.8,NA,NA,NA,NA,NA,13.79,61.37,0.0692,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 7,8,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603.39,1114.62,837.25,378438.16,81.67,NA,NA,NA,NA,NA,13,60.04,0.773,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 26,27,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.81,1466.03,921.29,724133,175.09,NA,NA,NA,NA,NA,9.09,57.36,2.09,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 30,31,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.97,1837.98,895.72,523997.59,209.98,NA,NA,NA,NA,NA,8.25,59.08,3.39,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 37,38,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.73,1815.57,957.24,859598,171.65,NA,NA,NA,NA,NA,10.62,59,1.87,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,ROIs 1,1,207.79,447,1043,664.88,116000000,64.68,211,1123,347.85,60703574,82.61,291.73,3128.07,674.95,118000000,153.98,1e-6,10140.61,364.09,63536728,405.16,NA,NA,NA,GTY029 II 25C,ROIs,Object,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 5,6,0.0417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.44,757.55,634.85,22219.8,42.74,NA,NA,NA,NA,NA,13.79,61.36,0.137,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 8,9,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603.39,1114.62,833.88,476979.75,84.09,NA,NA,NA,NA,NA,13,60.04,0.786,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 24,25,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.81,1479.15,909.39,834820.5,177.81,NA,NA,NA,NA,NA,9.09,57.36,2.11,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
