
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","256.77","473","1251","721.7","1.56e+08","82.49","225","2087","440.73","95043189","147.85","312.01","7412.98","738.97","1.59e+08","219.15","0.000001","17701.83","472.79","1.02e+08","734.65","N/A","N/A","N/A","GTY029 II 25C 2","ROIs","Object","1386","2896","2106","21626552","229.19","1754","3656","2620.5","26909934","286.56","11","N/A"
"Mito 1","2","0.0298","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","709.03","843.47","772.75","19318.65","33.72","N/A","N/A","N/A","N/A","N/A","70.91","7.79","0.156","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 2","3","0.18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","711.89","1453.94","932.12","140750.86","164.88","N/A","N/A","N/A","N/A","N/A","68.43","8.28","0.608","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","11","0.101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","748.82","1089.75","924.79","78606.76","68.84","N/A","N/A","N/A","N/A","N/A","68.39","6.76","0.773","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","17","0.249","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","875.55","1617.13","1185.69","247809.78","119.44","N/A","N/A","N/A","N/A","N/A","71.63","8.38","1.7","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","19","0.426","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","893.68","1573.3","1182.29","423259.81","130.22","N/A","N/A","N/A","N/A","N/A","74.71","8.71","1.93","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 22","23","1.27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","601.22","3284.07","1100.61","1174353.5","338.99","N/A","N/A","N/A","N/A","N/A","72.95","9.62","2.46","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 24","25","0.0738","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","573.66","1731.95","992.36","61526.06","310.95","N/A","N/A","N/A","N/A","N/A","70.87","6.14","2.5","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","26","0.179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","444.4","2220.52","965.31","144796.77","357.85","N/A","N/A","N/A","N/A","N/A","70.64","9.94","2.51","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 30","31","4.67","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","445.37","7412.98","1165.65","4567030.5","495.51","N/A","N/A","N/A","N/A","N/A","69.42","7.52","2.83","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 31","32","0.0714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","518.84","927.1","749.36","44961.63","111.11","N/A","N/A","N/A","N/A","N/A","69.84","9.53","3.29","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 34","35","1.22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","513.64","1536.51","985.38","1007063.19","209.44","N/A","N/A","N/A","N/A","N/A","74.93","10.45","2.68","GTY029 II 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
