filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY027 25C 01 m-25.csv,GTY027 25C,350.1,798.69,267.02,676.88,1064.5375088652481,4.512,886.8390004432625,387.65750886524813,121.81000000000006,3.1824768809231423,-25,25
GTY027 25C 01 m-35.csv,GTY027 25C,350.1,798.69,267.02,676.88,1045.0246589205397,5.336,828.2301349325336,368.14465892053965,121.81000000000006,3.0222860103484073,-35,25
GTY027 25C 01 m-50.csv,GTY027 25C,350.1,798.69,267.02,676.88,1012.3036440084092,7.135,738.5750946040646,335.42364400840916,121.81000000000006,2.7536626221854443,-50,25
GTY027 25C 03 m-25.csv,GTY027 25C,276.1,787.04,300.02,676.88,1078.054064954362,4.711,820.4222988749735,401.17406495436205,110.15999999999997,3.641739877944464,-25,25
GTY027 25C 03 m-35.csv,GTY027 25C,276.1,787.04,300.02,676.88,1072.8668846082608,5.399,802.3169772180033,395.98688460826077,110.15999999999997,3.5946521841708505,-35,25
GTY027 25C 03 m-50.csv,GTY027 25C,276.1,787.04,300.02,676.88,1061.8516642335767,6.85,789.8376496350365,384.9716642335767,110.15999999999997,3.4946592613796006,-50,25
GTY027 25C 04 m-25.csv,GTY027 25C,368.26,786.6,177.45,676.88,961.3415933232169,3.295,156.76949924127464,284.4615933232169,109.72000000000003,2.5926138655050752,-25,25
GTY027 25C 04 m-35.csv,GTY027 25C,368.26,786.6,177.45,676.88,960.0311437565582,3.812,159.0729800629591,283.1511437565582,109.72000000000003,2.5806702857870776,-35,25
GTY027 25C 04 m-50.csv,GTY027 25C,368.26,786.6,177.45,676.88,948.49021361629,5.004300000000001,168.33414043922224,271.61021361629,109.72000000000003,2.475484994680003,-50,25
GTY027 25C 08 m-25.csv,GTY027 25C,321.09,774.67,171.28,676.88,963.4702386182539,2.3217,129.03561269759228,286.5902386182539,97.78999999999996,2.930670197548359,-25,25
GTY027 25C 08 m-35.csv,GTY027 25C,321.09,774.67,171.28,676.88,964.7059021862349,3.0875,132.5946889068826,287.8259021862349,97.78999999999996,2.943306086371152,-35,25
GTY027 25C 08 m-50.csv,GTY027 25C,321.09,774.67,171.28,676.88,955.046308623298,4.9575,152.07960060514372,278.16630862329805,97.78999999999996,2.8445271359371933,-50,25
GTY027 25C 09 m-25.csv,GTY027 25C,308.3,799.28,187.33,676.88,959.3834738942011,2.9074,169.3665099401527,282.5034738942011,122.39999999999998,2.308034917436284,-25,25
GTY027 25C 09 m-35.csv,GTY027 25C,308.3,799.28,187.33,676.88,956.0585230142331,3.4848000000000003,169.44018824609734,279.17852301423306,122.39999999999998,2.2808702860639962,-35,25
GTY027 25C 09 m-50.csv,GTY027 25C,308.3,799.28,187.33,676.88,950.135122366461,4.699,173.62371355607578,273.255122366461,122.39999999999998,2.2324764899220675,-50,25
GTY027 25C 10 01 m-25.csv,GTY027 25C 10,383.77,807.73,158.16,685.37,967.1654589896796,3.682,147.71473655621946,281.79545898967956,122.36000000000001,2.3030030973331117,-25,25
GTY027 25C 10 01 m-35.csv,GTY027 25C 10,383.77,807.73,158.16,685.37,962.5673764174165,4.9562,148.27748597715993,277.19737641741654,122.36000000000001,2.2654247827510336,-35,25
GTY027 25C 10 01 m-50.csv,GTY027 25C 10,383.77,807.73,158.16,685.37,953.4318849649475,8.373099999999999,153.95992643107095,268.06188496494747,122.36000000000001,2.190764015731836,-50,25
GTY027 25C 10 02 m-25.csv,GTY027 25C 10,343.93,814.91,164.61,685.37,923.2098174757281,5.15,129.98980194174757,237.83981747572807,129.53999999999996,1.836033792463549,-25,25
GTY027 25C 10 02 m-35.csv,GTY027 25C 10,343.93,814.91,164.61,685.37,920.8983185980424,6.3340000000000005,130.62745342595514,235.52831859804235,129.53999999999996,1.8181898919101622,-35,25
