
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","417.75","608","1527","1016.94","3.57e+08","154.79","206","1763","353.81","1.24e+08","103.15","194.96","4924.44","1034.62","3.63e+08","367.79","3.53","15220.73","368.19","1.29e+08","524.48","N/A","N/A","N/A","GTY027 25C 19","ROIs","Object","1614","2925","2119.17","35404900","176.69","2028","3692","2669.25","44595099","218.79","11","N/A"
"Mito 5","6","0.0655","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1122.26","1684.32","1485.81","81719.8","145.21","N/A","N/A","N/A","N/A","N/A","67.56","52.13","1.23","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 6","7","0.897","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1033.32","2504.24","1745.48","1314348.75","275.4","N/A","N/A","N/A","N/A","N/A","66.16","53.1","1.97","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 8","9","2.53","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","700.36","4924.44","1717.18","3645576.5","405.29","N/A","N/A","N/A","N/A","N/A","70.74","53.93","2.72","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","12","0.135","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1433.36","2373.43","1770.71","200089.81","209.16","N/A","N/A","N/A","N/A","N/A","68.18","49.99","1.98","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","0.0333","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1455.1","2276.83","1757.34","49205.62","172.04","N/A","N/A","N/A","N/A","N/A","62.73","52.54","1.6","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 13","14","0.0191","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1231.77","1747.83","1564.04","25024.69","143.91","N/A","N/A","N/A","N/A","N/A","61.86","53.59","1.58","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 14","15","0.567","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1061.34","3110.39","1850.74","880949.88","358.44","N/A","N/A","N/A","N/A","N/A","61.99","52.03","2.64","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 20","21","0.388","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1035.11","2218.3","1604.81","523169.25","238.42","N/A","N/A","N/A","N/A","N/A","64.3","51.34","2.05","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 28","29","0.778","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","876.05","2687.1","1692.66","1105310.13","345.05","N/A","N/A","N/A","N/A","N/A","65.08","49.46","2.9","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 29","30","0.0893","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","611.17","3440.79","1780.79","133559.39","719.22","N/A","N/A","N/A","N/A","N/A","62.95","51.35","2.74","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 36","37","0.706","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","784.99","2769.82","1262.95","748929.75","244.74","N/A","N/A","N/A","N/A","N/A","66.35","51.42","3.9","GTY027 25C 19","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
