filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY029 I 25C 01 m-25.csv,GTY029 I 25C,191.77,717.6,314.32,546.91,1036.8360017090367,2.3405,169.87313223670157,489.92600170903677,170.69000000000005,2.8702677468453723,-25,25
GTY029 I 25C 01 m-35.csv,GTY029 I 25C,191.77,717.6,314.32,546.91,1033.320891197025,3.1194,211.60865198435596,486.4108911970251,170.69000000000005,2.8496742117114353,-35,25
GTY029 I 25C 01 m-50.csv,GTY029 I 25C,191.77,717.6,314.32,546.91,1029.3796716506042,4.7419,254.6006001813619,482.46967165060425,170.69000000000005,2.8265842852575083,-50,25
GTY029 I 25C 02 m-25.csv,GTY029 I 25C,223.75,696.22,248.63,546.91,1009.7305417174707,2.8705,242.39854554955585,462.82054171747075,149.31000000000006,3.099729031662116,-25,25
GTY029 I 25C 02 m-35.csv,GTY029 I 25C,223.75,696.22,248.63,546.91,999.3873024107414,3.277,245.8614647543485,452.47730241074146,149.31000000000006,3.030455444449409,-35,25
GTY029 I 25C 02 m-50.csv,GTY029 I 25C,223.75,696.22,248.63,546.91,985.9855219847705,4.071,252.10292311471383,439.0755219847705,149.31000000000006,2.940697354395354,-50,25
GTY029 I 25C 03 m-25.csv,GTY029 I 25C,102.92,771.81,378.32,546.91,1114.330544367433,3.3617,292.0833111223488,567.4205443674331,224.89999999999998,2.522990415150881,-25,25
GTY029 I 25C 03 m-35.csv,GTY029 I 25C,102.92,771.81,378.32,546.91,1106.736696457548,4.0057,293.43070824075687,559.8266964575481,224.89999999999998,2.4892249731327176,-35,25
GTY029 I 25C 03 m-50.csv,GTY029 I 25C,102.92,771.81,378.32,546.91,1097.7437921086746,5.4769000000000005,296.9751061732002,550.8337921086746,224.89999999999998,2.449238737699754,-50,25
GTY029 I 25C 04 m-25.csv,GTY029 I 25C,165.61,707.36,266.1,546.91,982.4217541003376,3.3168,208.476344669561,435.5117541003376,160.45000000000005,2.714314453726005,-25,25
GTY029 I 25C 04 m-35.csv,GTY029 I 25C,165.61,707.36,266.1,546.91,971.488277906677,3.879,218.69339262696573,424.57827790667704,160.45000000000005,2.646171878508426,-35,25
GTY029 I 25C 04 m-50.csv,GTY029 I 25C,165.61,707.36,266.1,546.91,955.4569294770205,5.048,235.1099742472266,408.5469294770205,160.45000000000005,2.5462569615270825,-50,25
GTY029 I 25C 05 m-25.csv,GTY029 I 25C,248.53,724.86,269.64,546.91,1147.5232029691117,2.5058,353.526642190119,600.6132029691117,177.95000000000005,3.3751795615010485,-25,25
GTY029 I 25C 05 m-35.csv,GTY029 I 25C,248.53,724.86,269.64,546.91,1138.7709283931408,3.0849,360.7702800739084,591.8609283931409,177.95000000000005,3.3259956639120016,-35,25
GTY029 I 25C 05 m-50.csv,GTY029 I 25C,248.53,724.86,269.64,546.91,1136.7948469552393,4.3386,447.77113147098146,589.8848469552394,177.95000000000005,3.314890963502328,-50,25
GTY029 I 25C 06 m-25.csv,GTY029 I 25C,192.65,725.07,267.83,546.91,1052.7358371405537,1.1163,243.3346967661023,505.82583714055374,178.16000000000008,2.8391661267431156,-25,25
GTY029 I 25C 06 m-35.csv,GTY029 I 25C,192.65,725.07,267.83,546.91,1051.0173468941382,1.3716,245.66644211140277,504.10734689413823,178.16000000000008,2.829520357510878,-35,25
GTY029 I 25C 06 m-50.csv,GTY029 I 25C,192.65,725.07,267.83,546.91,1050.5885186894325,1.9503000000000001,258.2144690560427,503.6785186894325,178.16000000000008,2.827113373874227,-50,25
GTY029 I 25C 07 m-25.csv,GTY029 I 25C,249.78,717.28,246.06,546.91,1203.8795566962203,3.2145,305.84868875408307,656.9695566962204,170.37,3.8561340417692103,-25,25
GTY029 I 25C 07 m-35.csv,GTY029 I 25C,249.78,717.28,246.06,546.91,1188.4100000000003,3.56,310.04,641.5000000000003,170.37,3.7653342724658114,-35,25
GTY029 I 25C 07 m-50.csv,GTY029 I 25C,249.78,717.28,246.06,546.91,1164.304260452779,4.2979,307.1226903836758,617.3942604527791,170.37,3.6238437544918654,-50,25
GTY029 I 25C 10 01 m-25.csv,GTY029 I 25C 10,258.2,701.94,218.31,535.97,968.6965497303337,4.1162,201.27021087410716,432.72654973033366,165.97000000000003,2.6072576352975454,-25,25
GTY029 I 25C 10 01 m-35.csv,GTY029 I 25C 10,258.2,701.94,218.31,535.97,963.2981550916062,4.694,207.4336898167874,427.32815509160616,165.97000000000003,2.5747313074146296,-35,25
GTY029 I 25C 10 01 m-50.csv,GTY029 I 25C 10,258.2,701.94,218.31,535.97,950.94780725319,5.9559999999999995,215.8726997985225,414.97780725319,165.97000000000003,2.500318173484304,-50,25
GTY029 I 25C 10 02 m-25.csv,GTY029 I 25C 10,274.08,697.6,218.68,535.97,1028.0737282588113,3.6969000000000003,197.71867375368552,492.1037282588113,161.63,3.0446311220615687,-25,25
GTY029 I 25C 10 02 m-35.csv,GTY029 I 25C 10,274.08,697.6,218.68,535.97,1010.800725756851,4.3899,199.90448096767582,474.83072575685094,161.63,2.937763569614867,-35,25
GTY029 I 25C 10 02 m-50.csv,GTY029 I 25C 10,274.08,697.6,218.68,535.97,978.8359246252678,5.8374999999999995,209.56925567451822,442.8659246252678,161.63,2.739998296264727,-50,25
GTY029 I 25C 10 03 m-25.csv,GTY029 I 25C 10,198.14,740.37,254.83,535.97,1079.854675123578,5.0373,215.20498779107857,543.8846751235781,204.39999999999998,2.660883929176018,-25,25
GTY029 I 25C 10 03 m-35.csv,GTY029 I 25C 10,198.14,740.37,254.83,535.97,1072.6626645295116,5.8332999999999995,221.52543277390157,536.6926645295116,204.39999999999998,2.6256979673655167,-35,25
GTY029 I 25C 10 03 m-50.csv,GTY029 I 25C 10,198.14,740.37,254.83,535.97,1056.8645679012345,7.533,236.01932032390812,520.8945679012345,204.39999999999998,2.548407866444396,-50,25
