filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY029 II 25C 01 m-25.csv,GTY029 II 25C,291.73,674.95,153.98,535.32,912.3612252418241,3.2565,165.34013818516812,377.041225241824,139.63,2.700288084522123,-25,25
GTY029 II 25C 01 m-35.csv,GTY029 II 25C,291.73,674.95,153.98,535.32,901.6039098341749,3.9017,165.8916954148192,366.2839098341749,139.63,2.6232465074423468,-35,25
GTY029 II 25C 01 m-50.csv,GTY029 II 25C,291.73,674.95,153.98,535.32,884.8424860853434,5.39,171.08303821892395,349.5224860853433,139.63,2.5032047990069706,-50,25
GTY029 II 25C 02 m-25.csv,GTY029 II 25C,212.16,747.15,283.35,535.32,1163.9918566622136,4.0422,344.07966008609174,628.6718566622136,211.82999999999993,2.967813136298984,-25,25
GTY029 II 25C 02 m-35.csv,GTY029 II 25C,212.16,747.15,283.35,535.32,1149.4642417113146,5.0581000000000005,338.3935539036397,614.1442417113145,211.82999999999993,2.899231656098356,-35,25
GTY029 II 25C 02 m-50.csv,GTY029 II 25C,212.16,747.15,283.35,535.32,1116.9790980321459,7.2109000000000005,328.53401461676066,581.6590980321458,211.82999999999993,2.745876873115923,-50,25
GTY029 II 25C 03 m-25.csv,GTY029 II 25C,169.32,712.3,196.76,535.32,958.6797086522521,8.5053,210.93575629313486,423.35970865225204,176.9799999999999,2.392133058267896,-25,25
GTY029 II 25C 03 m-35.csv,GTY029 II 25C,169.32,712.3,196.76,535.32,949.8090298211945,9.848700000000001,213.7468563363693,414.48902982119444,176.9799999999999,2.3420105651553547,-35,25
GTY029 II 25C 03 m-50.csv,GTY029 II 25C,169.32,712.3,196.76,535.32,932.9328062026307,12.9171,218.14520798011938,397.6128062026306,176.9799999999999,2.2466538942402012,-50,25
GTY029 II 25C 04 m-25.csv,GTY029 II 25C,250.77,671.03,170.28,535.32,1044.0196732812185,2.4945,309.0080256564442,508.69967328121845,135.70999999999992,3.7484317536011993,-25,25
GTY029 II 25C 04 m-35.csv,GTY029 II 25C,250.77,671.03,170.28,535.32,1027.9868543741954,2.9514,306.11683065663755,492.6668543741954,135.70999999999992,3.6302914624876257,-35,25
GTY029 II 25C 04 m-50.csv,GTY029 II 25C,250.77,671.03,170.28,535.32,1004.0069296407563,3.9611,297.4305498472647,468.68692964075626,135.70999999999992,3.45359170024874,-50,25
GTY029 II 25C 05 m-25.csv,GTY029 II 25C,254.79,744,206.53,535.32,1065.7121882667857,4.483,217.22355565469553,530.3921882667856,208.67999999999995,2.541653192767806,-25,25
GTY029 II 25C 05 m-35.csv,GTY029 II 25C,254.79,744,206.53,535.32,1043.4889118198873,5.33,223.3416135084428,508.1689118198873,208.67999999999995,2.43515867270408,-35,25
GTY029 II 25C 05 m-50.csv,GTY029 II 25C,254.79,744,206.53,535.32,971.7583842010771,7.798,241.25073352141575,436.43838420107704,208.67999999999995,2.091424114438744,-50,25
GTY029 II 25C 06 m-25.csv,GTY029 II 25C,275.37,714.23,234.78,535.32,1003.8990262843488,3.348,207.76204898446835,468.57902628434874,178.90999999999997,2.619076777621982,-25,25
GTY029 II 25C 06 m-35.csv,GTY029 II 25C,275.37,714.23,234.78,535.32,985.9179345955249,4.067,213.03022866978114,450.59793459552486,178.90999999999997,2.518573218911883,-35,25
GTY029 II 25C 06 m-50.csv,GTY029 II 25C,275.37,714.23,234.78,535.32,956.3699655172413,5.8,217.76758620689654,421.0499655172413,178.90999999999997,2.353417726886375,-50,25
GTY029 II 25C 10 01 m-25.csv,GTY029 II 25C 10,287.82,656.06,176.72,528.35,1078.6512452794564,2.1184,371.8962386706949,550.3012452794563,127.70999999999992,4.3089910365629684,-25,25
GTY029 II 25C 10 01 m-35.csv,GTY029 II 25C 10,287.82,656.06,176.72,528.35,1064.9190373280944,2.545,363.6226326129665,536.5690373280944,127.70999999999992,4.201464547240582,-35,25
GTY029 II 25C 10 01 m-50.csv,GTY029 II 25C 10,287.82,656.06,176.72,528.35,1035.6637147887325,3.408,362.5338028169014,507.31371478873245,127.70999999999992,3.9723883391177885,-50,25
GTY029 II 25C 10 02 m-25.csv,GTY029 II 25C 10,270.45,696.36,186.33,528.35,942.7904173543976,4.241,194.36292148078283,414.4404173543976,168.01,2.4667604151800346,-25,25
GTY029 II 25C 10 02 m-35.csv,GTY029 II 25C 10,270.45,696.36,186.33,528.35,933.5548405443835,4.923,196.0169876091814,405.2048405443835,168.01,2.411790015739441,-35,25
GTY029 II 25C 10 02 m-50.csv,GTY029 II 25C 10,270.45,696.36,186.33,528.35,920.5105951250396,6.318,200.56558404558405,392.16059512503955,168.01,2.3341503191776654,-50,25
GTY029 II 25C 10 03 m-25.csv,GTY029 II 25C 10,277.4,699.03,218.41,528.35,1324.0041800878478,2.7319999999999998,700.1557906295754,795.6541800878477,170.67999999999995,4.6616720183258025,-25,25
GTY029 II 25C 10 03 m-35.csv,GTY029 II 25C 10,277.4,699.03,218.41,528.35,1284.8385540237257,3.1189999999999998,671.649519076627,756.4885540237257,170.67999999999995,4.4322038553065735,-35,25
GTY029 II 25C 10 03 m-50.csv,GTY029 II 25C 10,277.4,699.03,218.41,528.35,1227.4779502461777,3.859,631.9868152371081,699.1279502461776,170.67999999999995,4.096132823096894,-50,25
GTY029 II 25C 10 04 m-25.csv,GTY029 II 25C 10,287.8,749.35,223.2,528.35,1037.7354883318928,5.785,183.67713050993947,509.3854883318928,221,2.3049117119090172,-25,25
GTY029 II 25C 10 04 m-35.csv,GTY029 II 25C 10,287.8,749.35,223.2,528.35,1033.9265097623734,6.607,185.6603390343575,505.57650976237335,221,2.2876765147618703,-35,25
GTY029 II 25C 10 04 m-50.csv,GTY029 II 25C 10,287.8,749.35,223.2,528.35,1026.6846254458976,8.41,201.61259215219974,498.3346254458976,221,2.2549078074475,-50,25
GTY029 II 25C 10 05 m-25.csv,GTY029 II 25C 10,255.76,755.31,248.23,528.35,1100.3601340517523,4.6027000000000005,291.56446303256786,572.0101340517523,226.95999999999992,2.5203125398825894,-25,25
GTY029 II 25C 10 05 m-35.csv,GTY029 II 25C 10,255.76,755.31,248.23,528.35,1096.6058277613358,5.4738,292.481240089152,568.2558277613358,226.95999999999992,2.5037708308130773,-35,25
GTY029 II 25C 10 05 m-50.csv,GTY029 II 25C 10,255.76,755.31,248.23,528.35,1089.4106254567944,7.1148,292.38514561196376,561.0606254567944,226.95999999999992,2.472068318015485,-50,25
GTY029 II 25C 10 06 m-25.csv,GTY029 II 25C 10,253.68,729.98,225.76,528.35,1073.5945156783607,6.442,357.87062465072955,545.2445156783607,201.63,2.7041834830053104,-25,25
GTY029 II 25C 10 06 m-35.csv,GTY029 II 25C 10,253.68,729.98,225.76,528.35,1069.0716440964875,7.5616,353.1011418218366,540.7216440964875,201.63,2.681751942153883,-35,25
GTY029 II 25C 10 06 m-50.csv,GTY029 II 25C 10,253.68,729.98,225.76,528.35,1050.8494435118519,9.8888,350.17107657147477,522.4994435118518,201.63,2.5913774910075476,-50,25
GTY029 II 25C 10 07 m-25.csv,GTY029 II 25C 10,301.37,706.6,192.62,528.35,1118.598717583647,3.9332,247.14392301433946,590.2487175836469,178.25,3.31135325432621,-25,25
GTY029 II 25C 10 07 m-35.csv,GTY029 II 25C 10,301.37,706.6,192.62,528.35,1098.3800894581454,4.5049,246.28217696286262,570.0300894581454,178.25,3.197924765543593,-35,25
