filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY029 clump 25C 01 m-25.csv,GTY029 clump 25C,237.51,680.89,184.61,531.36,856.3261121471011,2.3059,210.29346502450238,324.96611214710106,149.52999999999997,2.1732502651447945,-25,25
GTY029 clump 25C 01 m-35.csv,GTY029 clump 25C,237.51,680.89,184.61,531.36,854.7442477876107,2.712,212.29948746312684,323.38424778761066,149.52999999999997,2.1626713554979653,-35,25
GTY029 clump 25C 01 m-50.csv,GTY029 clump 25C,237.51,680.89,184.61,531.36,845.7290729225551,3.538,213.13539287733184,314.3690729225551,149.52999999999997,2.102381280830303,-50,25
GTY029 clump 25C 02 m-25.csv,GTY029 clump 25C,240.19,740.47,253.12,531.36,1150.0235578192796,5.300999999999999,262.6969892473118,618.6635578192796,209.11,2.958555582321647,-25,25
GTY029 clump 25C 02 m-35.csv,GTY029 clump 25C,240.19,740.47,253.12,531.36,1142.49241498275,6.087,261.3835041892558,611.13241498275,209.11,2.922540361449715,-35,25
GTY029 clump 25C 02 m-50.csv,GTY029 clump 25C,240.19,740.47,253.12,531.36,1125.6452026143793,7.65,263.9943660130719,594.2852026143793,209.11,2.8419740931298323,-50,25
GTY029 clump 25C 03 m-25.csv,GTY029 clump 25C,246.54,652.24,163.98,531.36,977.262110302566,2.611,202.67633090769823,445.90211030256603,120.88,3.6887997212323467,-25,25
GTY029 clump 25C 03 m-35.csv,GTY029 clump 25C,246.54,652.24,163.98,531.36,962.7550659630608,3.032,201.61790237467022,431.3950659630608,120.88,3.568787772692429,-35,25
GTY029 clump 25C 03 m-50.csv,GTY029 clump 25C,246.54,652.24,163.98,531.36,940.9967598051782,3.901,207.3183875929249,409.63675980517814,120.88,3.3887885490170264,-50,25
GTY029 clump 25C 04 m-25.csv,GTY029 clump 25C,243.57,652.37,169.1,531.36,924.4830285714286,1.6275,201.95775975422424,393.12302857142856,121.00999999999999,3.2486821632214578,-25,25
GTY029 clump 25C 04 m-35.csv,GTY029 clump 25C,243.57,652.37,169.1,531.36,915.3902421764428,1.9077,198.58445929653507,384.0302421764428,121.00999999999999,3.1735413782038084,-35,25
GTY029 clump 25C 04 m-50.csv,GTY029 clump 25C,243.57,652.37,169.1,531.36,898.4856879323598,2.602,199.14970023059183,367.1256879323598,121.00999999999999,3.0338458634192205,-50,25
GTY029 clump 25C 05 m-25.csv,GTY029 clump 25C,230.13,691.74,225.28,531.36,909.5420071641792,4.1875,205.2416823880597,378.18200716417914,160.38,2.3580372064108936,-25,25
GTY029 clump 25C 05 m-35.csv,GTY029 clump 25C,230.13,691.74,225.28,531.36,906.7237481101009,4.8283,202.57049810492305,375.3637481101009,160.38,2.3404648217365067,-35,25
GTY029 clump 25C 05 m-50.csv,GTY029 clump 25C,230.13,691.74,225.28,531.36,904.1128789120105,6.103,211.6510224479764,372.7528789120105,160.38,2.3241855525128474,-50,25
GTY029 clump 25C 06 m-25.csv,GTY029 clump 25C,246.02,700.53,205.42,531.36,1106.1552698201199,2.2515,218.71436153675327,574.7952698201199,169.16999999999996,3.397737600166223,-25,25
GTY029 clump 25C 06 m-35.csv,GTY029 clump 25C,246.02,700.53,205.42,531.36,1091.4148211508552,2.572,223.5340940902022,560.0548211508552,169.16999999999996,3.3106036599329394,-35,25
GTY029 clump 25C 06 m-50.csv,GTY029 clump 25C,246.02,700.53,205.42,531.36,1071.8287330873309,3.2520000000000002,236.16468634686345,540.4687330873309,169.16999999999996,3.1948261103465803,-50,25
GTY029 clump 25C 10 03 m-25.csv,GTY029 clump 25C 10,309.34,673.33,165.44,542.58,947.5162866561362,2.9122,164.30736762584988,404.9362866561362,130.75,3.0970270489953053,-25,25
GTY029 clump 25C 10 03 m-35.csv,GTY029 clump 25C 10,309.34,673.33,165.44,542.58,943.1664014466546,3.318,166.821223628692,400.5864014466546,130.75,3.0637583284638974,-35,25
GTY029 clump 25C 10 03 m-50.csv,GTY029 clump 25C 10,309.34,673.33,165.44,542.58,935.6680521293927,4.297,167.76646264835932,393.0880521293926,130.75,3.006409576515431,-50,25
GTY029 clump 25C 10 04 m-25.csv,GTY029 clump 25C 10,259.35,699.93,197.13,542.58,1076.5346560342778,4.201,218.2024041894787,533.9546560342777,157.3499999999999,3.3934201209677664,-25,25
GTY029 clump 25C 10 04 m-35.csv,GTY029 clump 25C 10,259.35,699.93,197.13,542.58,1067.8175320910973,4.83,222.43239751552792,525.2375320910973,157.3499999999999,3.3380205407759616,-35,25
GTY029 clump 25C 10 04 m-50.csv,GTY029 clump 25C 10,259.35,699.93,197.13,542.58,1051.4045344943067,5.972,224.68278298727392,508.8245344943067,157.3499999999999,3.2337116904627075,-50,25
GTY029 clump 25C 10 05 m-25.csv,GTY029 clump 25C 10,281.54,681.01,220.03,542.58,931.6782138694639,3.4320000000000004,226.63893939393938,389.09821386946385,138.42999999999995,2.8107940032468686,-25,25
GTY029 clump 25C 10 05 m-35.csv,GTY029 clump 25C 10,281.54,681.01,220.03,542.58,927.1309171747969,3.936,224.1652616869919,384.55091717479684,138.42999999999995,2.7779449337195476,-35,25
GTY029 clump 25C 10 05 m-50.csv,GTY029 clump 25C 10,281.54,681.01,220.03,542.58,917.3495045944866,5.006,265.8079165001998,374.76950459448653,138.42999999999995,2.7072853037238076,-50,25
GTY029 clump 25C 10 06 m-25.csv,GTY029 clump 25C 10,301.95,689.11,172.32,542.58,957.9854013898873,4.173,217.80266954229572,415.4054013898873,146.52999999999997,2.8349512140168387,-25,25
GTY029 clump 25C 10 06 m-35.csv,GTY029 clump 25C 10,301.95,689.11,172.32,542.58,950.4157920269986,4.741,219.54643746045141,407.83579202699855,146.52999999999997,2.783292104190259,-35,25
GTY029 clump 25C 10 06 m-50.csv,GTY029 clump 25C 10,301.95,689.11,172.32,542.58,933.0616283302994,6.043,220.79916928677807,390.4816283302994,146.52999999999997,2.6648579016604073,-50,25
GTY029 clump 25C 10 07 m-25.csv,GTY029 clump 25C 10,276.06,669.22,179.45,542.58,925.2766338406445,3.351,196.0107311250373,382.6966338406445,126.63999999999999,3.0219254093544263,-25,25
GTY029 clump 25C 10 07 m-35.csv,GTY029 clump 25C 10,276.06,669.22,179.45,542.58,922.3667057291666,3.84,197.375078125,379.78670572916656,126.63999999999999,2.9989474552208355,-35,25
GTY029 clump 25C 10 07 m-50.csv,GTY029 clump 25C 10,276.06,669.22,179.45,542.58,912.079608740895,4.805,201.45366285119667,369.4996087408949,126.63999999999999,2.9177164303608256,-50,25
GTY029 clump 25C 10 09 m-25.csv,GTY029 clump 25C 10,270.43,707.51,207.17,542.58,959.6376030927836,6.984,218.43671678121422,417.05760309278355,164.92999999999995,2.5286946164602173,-25,25
GTY029 clump 25C 10 09 m-35.csv,GTY029 clump 25C 10,270.43,707.51,207.17,542.58,956.3909488601355,8.115,217.65556253850895,413.81094886013545,164.92999999999995,2.5090095729105415,-35,25
GTY029 clump 25C 10 09 m-50.csv,GTY029 clump 25C 10,270.43,707.51,207.17,542.58,947.4521712744437,10.381,217.93848569501975,404.87217127444364,164.92999999999995,2.454812170462886,-50,25
GTY029 clump 25C 10 10 m-25.csv,GTY029 clump 25C 10,299.52,699.91,195.92,542.58,1125.140817161674,3.1279,345.7179903449599,582.560817161674,157.32999999999993,3.702795507288338,-25,25
GTY029 clump 25C 10 10 m-35.csv,GTY029 clump 25C 10,299.52,699.91,195.92,542.58,1114.6926878741147,3.8257,343.5911111691978,572.1126878741146,157.32999999999993,3.6363864989138426,-35,25
GTY029 clump 25C 10 10 m-50.csv,GTY029 clump 25C 10,299.52,699.91,195.92,542.58,1092.7612731516338,5.3128,347.1707939316368,550.1812731516337,157.32999999999993,3.4969889604756497,-50,25
GTY029 clump 25C 11 01 m-25.csv,GTY029 clump 25C 11,282.9,643.95,167.8,534.66,866.2245831616536,2.1843,184.1932806848876,331.5645831616537,109.29000000000008,3.0338053176105175,-25,25
