filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY029 colony 25C 01 m-25.csv,GTY029 colony 25C,276.51,664.05,159.79,538.44,898.7849357646083,4.826,180.50189805221714,360.3449357646083,125.6099999999999,2.868759937621277,-25,25
GTY029 colony 25C 01 m-35.csv,GTY029 colony 25C,276.51,664.05,159.79,538.44,893.6577685950414,5.566,181.55835968379446,355.2177685950413,125.6099999999999,2.827941792811413,-35,25
GTY029 colony 25C 01 m-50.csv,GTY029 colony 25C,276.51,664.05,159.79,538.44,880.258747947738,7.2481,184.22416205626303,341.81874794773796,125.6099999999999,2.7212701850787218,-50,25
GTY029 colony 25C 02 m-25.csv,GTY029 colony 25C,236.68,722.15,222.76,538.44,1064.384412677305,4.5120000000000005,348.95291445035457,525.9444126773049,183.70999999999992,2.8629057355468133,-25,25
GTY029 colony 25C 02 m-35.csv,GTY029 colony 25C,236.68,722.15,222.76,538.44,1058.576185185185,5.13,350.1549220272905,520.136185185185,183.70999999999992,2.8312894517728227,-35,25
GTY029 colony 25C 02 m-50.csv,GTY029 colony 25C,236.68,722.15,222.76,538.44,1047.2280358799878,6.466,359.73623260129904,508.7880358799878,183.70999999999992,2.7695173691142996,-50,25
GTY029 colony 25C 03 m-25.csv,GTY029 colony 25C,225.6,723.5,201.04,538.44,987.9345524138782,8.099,186.9784467218175,449.4945524138782,185.05999999999995,2.428912527903806,-25,25
GTY029 colony 25C 03 m-35.csv,GTY029 colony 25C,225.6,723.5,201.04,538.44,981.8044058559519,9.358,190.7657287882026,443.3644058559519,185.05999999999995,2.3957873438665946,-35,25
GTY029 colony 25C 03 m-50.csv,GTY029 colony 25C,225.6,723.5,201.04,538.44,969.4818930244022,12.171,197.43714238764275,431.04189302440216,185.05999999999995,2.329200762046916,-50,25
GTY029 colony 25C 04 m-25.csv,GTY029 colony 25C,204.91,709.17,215.22,538.44,1229.8583984112022,1.4854,279.5477198061128,691.4183984112021,170.7299999999999,4.049776831319642,-25,25
GTY029 colony 25C 04 m-35.csv,GTY029 colony 25C,204.91,709.17,215.22,538.44,1186.0318430068521,1.9848000000000001,282.4860081620314,647.5918430068521,170.7299999999999,3.7930758683702477,-35,25
GTY029 colony 25C 04 m-50.csv,GTY029 colony 25C,204.91,709.17,215.22,538.44,1134.9087623977293,2.9945,284.4959148438805,596.4687623977293,170.7299999999999,3.4936376875635777,-50,25
GTY029 colony 25C 05 m-25.csv,GTY029 colony 25C,207.7,733.17,253.94,538.44,1046.7770046550734,9.7528,257.16952936592565,508.3370046550733,194.7299999999999,2.6104709323425954,-25,25
GTY029 colony 25C 05 m-35.csv,GTY029 colony 25C,207.7,733.17,253.94,538.44,1027.4932281714043,11.785,254.42660687314384,489.05322817140427,194.7299999999999,2.5114426548113005,-35,25
GTY029 colony 25C 05 m-50.csv,GTY029 colony 25C,207.7,733.17,253.94,538.44,995.5063956288202,16.197,265.27879422115205,457.06639562882015,194.7299999999999,2.347180175775794,-50,25
GTY029 colony 25C 10 01 m-25.csv,GTY029 colony 25C 10,298.49,633.83,161.23,509.94,872.717570878544,2.8569999999999998,178.1214315715786,362.77757087854405,123.89000000000004,2.928223188946194,-25,25
GTY029 colony 25C 10 01 m-35.csv,GTY029 colony 25C 10,298.49,633.83,161.23,509.94,868.8080597014925,3.35,177.4422656716418,358.86805970149254,123.89000000000004,2.8966668795019164,-35,25
GTY029 colony 25C 10 01 m-50.csv,GTY029 colony 25C 10,298.49,633.83,161.23,509.94,857.8986446548142,4.3309999999999995,179.1168090510275,347.95864465481424,123.89000000000004,2.8086096105804677,-50,25
GTY029 colony 25C 10 02 m-25.csv,GTY029 colony 25C 10,225.73,658.35,177.67,509.94,970.3206696679798,3.554,178.33476927405738,460.3806696679798,148.41000000000003,3.1020865822247807,-25,25
GTY029 colony 25C 10 02 m-35.csv,GTY029 colony 25C 10,225.73,658.35,177.67,509.94,962.4272080967662,4.051,180.62154282893113,452.4872080967662,148.41000000000003,3.0488997243903113,-35,25
GTY029 colony 25C 10 02 m-50.csv,GTY029 colony 25C 10,225.73,658.35,177.67,509.94,949.3587672311934,5.078,183.18127412367073,439.4187672311934,148.41000000000003,2.9608433881220493,-50,25
GTY029 colony 25C 10 03 m-25.csv,GTY029 colony 25C 10,281.92,673.8,161.17,509.94,942.57,3.48,168.62,432.63000000000005,163.85999999999996,2.640241669718053,-25,25
GTY029 colony 25C 10 03 m-35.csv,GTY029 colony 25C 10,281.92,673.8,161.17,509.94,934.89,4.01,170.44,424.95,163.85999999999996,2.5933723910655444,-35,25
GTY029 colony 25C 10 03 m-50.csv,GTY029 colony 25C 10,281.92,673.8,161.17,509.94,922.55,4.96,172.69,412.60999999999996,163.85999999999996,2.5180642011473213,-50,25
GTY029 colony 25C 10 04 m-25.csv,GTY029 colony 25C 10,273.13,650.9,209.46,509.94,886.1026178173443,3.2126,154.38633754591297,376.16261781734426,140.95999999999998,2.6685770276485834,-25,25
GTY029 colony 25C 10 04 m-35.csv,GTY029 colony 25C 10,273.13,650.9,209.46,509.94,883.0543294305481,3.758,156.15976317189995,373.11432943054814,140.95999999999998,2.6469518262666587,-35,25
GTY029 colony 25C 10 04 m-50.csv,GTY029 colony 25C 10,273.13,650.9,209.46,509.94,878.424337673073,4.839,160.79884893573052,368.48433767307296,140.95999999999998,2.614105687238032,-50,25
GTY029 colony 25C 11 01 m-25.csv,GTY029 colony 25C 11,260.07,639.42,168.96,506.45,891.37229143898,2.745,138.26340983606556,384.92229143898004,132.96999999999997,2.8948055308639553,-25,25
GTY029 colony 25C 11 01 m-35.csv,GTY029 colony 25C 11,260.07,639.42,168.96,506.45,886.4497619783616,3.235,141.26128284389492,379.9997619783616,132.96999999999997,2.857785680817942,-35,25
GTY029 colony 25C 11 01 m-50.csv,GTY029 colony 25C 11,260.07,639.42,168.96,506.45,875.4938580614432,4.199,142.9937104072398,369.04385806144325,132.96999999999997,2.7753918783292724,-50,25
GTY029 colony 25C 11 02 m-25.csv,GTY029 colony 25C 11,302.4,675.62,181.71,506.45,1018.9126284798325,3.0568999999999997,182.35066080015704,512.4626284798326,169.17000000000002,3.0292760446877844,-25,25
GTY029 colony 25C 11 02 m-35.csv,GTY029 colony 25C 11,302.4,675.62,181.71,506.45,1009.2153926850015,3.527,184.09867876382194,502.7653926850015,169.17000000000002,2.9719536128450756,-35,25
GTY029 colony 25C 11 02 m-50.csv,GTY029 colony 25C 11,302.4,675.62,181.71,506.45,991.8544252622378,4.576,187.1560402097902,485.4044252622378,169.17000000000002,2.869329226590044,-50,25
GTY029 colony 25C 11 03 m-25.csv,GTY029 colony 25C 11,267.22,653.19,226.28,506.45,913.1968732101016,3.841,171.33935954178597,406.74687321010157,146.74000000000007,2.7718881914277045,-25,25
GTY029 colony 25C 11 03 m-35.csv,GTY029 colony 25C 11,267.22,653.19,226.28,506.45,908.4694180739389,4.382,171.58119123687814,402.0194180739389,146.74000000000007,2.7396716510422428,-35,25
GTY029 colony 25C 11 03 m-50.csv,GTY029 colony 25C 11,267.22,653.19,226.28,506.45,897.2892536218595,5.453,172.9443627361086,390.83925362185954,146.74000000000007,2.663481352200214,-50,25
GTY029 colony 25C 11 04 m-25.csv,GTY029 colony 25C 11,189.97,700.8,230.82,506.45,1102.1700094129305,2.0185,219.17720881842953,595.7200094129305,194.34999999999997,3.06519171295565,-25,25
GTY029 colony 25C 11 04 m-35.csv,GTY029 colony 25C 11,189.97,700.8,230.82,506.45,1093.9961534560773,2.5636,224.35147995007023,587.5461534560773,194.34999999999997,3.023134311582595,-35,25
GTY029 colony 25C 11 04 m-50.csv,GTY029 colony 25C 11,189.97,700.8,230.82,506.45,1073.7919981047787,3.6935000000000002,232.93721267090834,567.3419981047787,194.34999999999997,2.9191767332378635,-50,25
GTY029 colony 25C 11 05 m-25.csv,GTY029 colony 25C 11,171.56,710.73,294.36,506.45,1123.5387107095803,5.313,301.87983248635425,617.0887107095803,204.28000000000003,3.0207984663676335,-25,25
GTY029 colony 25C 11 05 m-35.csv,GTY029 colony 25C 11,171.56,710.73,294.36,506.45,1114.6375591343733,5.961,305.3010417715148,608.1875591343733,204.28000000000003,2.977225176886495,-35,25
