filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,ExtracellularBackground
GTY030 II 25C 01 m-25.csv,ROIs 1,1,229.79,420,781,575.24,111000000,43.04,210,2464,473.03,91289482,196.82,245.88,2816.94,571.83,110000000,112.58,1e-6,32035.84,503.22,97116536,1138.13,NA,NA,NA,GTY030 II 25C,ROIs,Object,3,NA,NA
GTY030 II 25C 01 m-25.csv,Mito 8,9,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.51,1286.24,767.55,164256.3,176.74,NA,NA,NA,NA,NA,17.06,15.86,2.19,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-25.csv,Mito 23,24,0.246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392.93,908.28,579.34,119923.67,108.17,NA,NA,NA,NA,NA,16.5,15.7,3.71,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-25.csv,Mito 24,25,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.05,2635.59,683.65,2432441,166.4,NA,NA,NA,NA,NA,14.62,14.81,2.76,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-35.csv,ROIs 1,1,229.79,420,781,575.24,111000000,43.04,210,2464,473.03,91289482,196.82,245.88,2816.94,571.83,110000000,112.58,1e-6,32035.84,503.22,97116536,1138.13,NA,NA,NA,GTY030 II 25C,ROIs,Object,3,NA,NA
GTY030 II 25C 01 m-35.csv,Mito 6,7,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.05,2635.59,682.32,2686296.25,167.89,NA,NA,NA,NA,NA,14.61,14.8,2.75,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-35.csv,Mito 8,9,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.51,1286.24,760.12,177108.89,179.11,NA,NA,NA,NA,NA,17.06,15.87,2.2,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-35.csv,Mito 23,24,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392.93,908.28,576.75,140728,107.08,NA,NA,NA,NA,NA,16.5,15.69,3.72,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-50.csv,ROIs 1,1,229.79,420,781,575.24,111000000,43.04,210,2464,473.03,91289482,196.82,245.88,2816.94,571.83,110000000,112.58,1e-6,32035.84,503.22,97116536,1138.13,NA,NA,NA,GTY030 II 25C,ROIs,Object,3,NA,NA
GTY030 II 25C 01 m-50.csv,Mito 8,9,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.84,1350.93,763.37,221376.86,192.05,NA,NA,NA,NA,NA,17.06,15.87,2.19,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-50.csv,Mito 11,12,5.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321.05,2635.59,678.14,3285586,168.05,NA,NA,NA,NA,NA,14.61,14.79,2.74,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 01 m-50.csv,Mito 24,25,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.55,1137.59,579.57,181406.34,121.01,NA,NA,NA,NA,NA,16.5,15.68,3.71,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 02 m-25.csv,ROIs 1,1,222.74,442,3038,629.85,118000000,98.97,234,1843,429.93,80425417,140.02,26.66,54470.19,636.02,119000000,570.31,19.45,22880.91,461.78,86384088,824.93,NA,NA,NA,GTY030 II 25C,ROIs,Object,3,NA,NA
GTY030 II 25C 02 m-25.csv,Mito 12,13,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.57,1007.5,709.75,148338.23,106.52,NA,NA,NA,NA,NA,33.96,33.92,2.48,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 02 m-25.csv,Mito 14,15,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554.24,1038.23,773.69,92843.02,111.74,NA,NA,NA,NA,NA,37.44,39.18,2.39,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 02 m-25.csv,Mito 20,21,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.32,28963.29,980.72,2813688.25,1450.88,NA,NA,NA,NA,NA,36.86,36.19,2.38,GTY030 II 25C,Mito,Object,NA,1,NA
GTY030 II 25C 02 m-35.csv,ROIs 1,1,222.74,442,3038,629.85,118000000,98.97,234,1843,429.93,80425417,140.02,26.66,54470.19,636.02,119000000,570.31,19.45,22880.91,461.78,86384088,824.93,NA,NA,NA,GTY030 II 25C,ROIs,Object,3,NA,NA
GTY030 II 25C 02 m-35.csv,Mito 11,12,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.57,1007.5,708.68,170791.28,109.36,NA,NA,NA,NA,NA,33.97,33.92,2.48,GTY030 II 25C,Mito,Object,NA,1,NA
