filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 I 25C 01 m-25.csv,GTY030 I 25C,334.73,597.26,116.77,536.95,759.4269186424918,2.1510000000000002,157.35550255695023,222.4769186424918,60.309999999999945,3.6888893822333277,-25,25
GTY030 I 25C 01 m-35.csv,GTY030 I 25C,334.73,597.26,116.77,536.95,755.1357281039824,2.6466000000000003,168.28480767777526,218.18572810398234,60.309999999999945,3.617737159741047,-35,25
GTY030 I 25C 02 m-25.csv,GTY030 I 25C,294.23,605.46,157.49,536.95,783.3478142076502,3.1293,456.26384942319373,246.39781420765019,68.50999999999999,3.5965233426893914,-25,25
GTY030 I 25C 02 m-35.csv,GTY030 I 25C,294.23,605.46,157.49,536.95,779.5664187327824,3.63,441.24391184573,242.61641873278234,68.50999999999999,3.5413285466761404,-35,25
GTY030 I 25C 02 m-50.csv,GTY030 I 25C,294.23,605.46,157.49,536.95,774.18,4.69,422.21,237.2299999999999,68.50999999999999,3.462706174281126,-50,25
GTY030 I 25C 03 m-25.csv,GTY030 I 25C,342.6,600.65,87.89,536.95,716.5219658119657,2.8080000000000003,110.2223717948718,179.5719658119657,63.69999999999993,2.8190261508942838,-25,25
GTY030 I 25C 03 m-35.csv,GTY030 I 25C,342.6,600.65,87.89,536.95,715.0557009636307,3.217,110.57707491451663,178.10570096363062,63.69999999999993,2.796007864421206,-35,25
GTY030 I 25C 03 m-50.csv,GTY030 I 25C,342.6,600.65,87.89,536.95,712.39,4.13,116.66,175.43999999999994,63.69999999999993,2.754160125588699,-50,25
GTY030 I 25C 04 m-25.csv,GTY030 I 25C,332.61,609.54,103.71,536.95,761.6543663973005,4.5043999999999995,129.077474913418,224.70436639730042,72.58999999999992,3.0955278467736695,-25,25
GTY030 I 25C 04 m-35.csv,GTY030 I 25C,332.61,609.54,103.71,536.95,758.2415510041758,5.029,128.85501889043547,221.29155100417574,72.58999999999992,3.0485128943955915,-35,25
GTY030 I 25C 04 m-50.csv,GTY030 I 25C,332.61,609.54,103.71,536.95,750.4159631518343,6.079,129.71886329988487,213.46596315183422,72.58999999999992,2.940707578892884,-50,25
GTY030 I 25C 05 m-25.csv,GTY030 I 25C,345.27,588.27,82.25,536.95,725.4045170965808,3.334,138.68761847630472,188.45451709658073,51.319999999999936,3.672145695568608,-25,25
GTY030 I 25C 05 m-35.csv,GTY030 I 25C,345.27,588.27,82.25,536.95,723.5706909480449,3.734,139.15049276914834,186.62069094804485,51.319999999999936,3.6364125282159994,-35,25
GTY030 I 25C 05 m-50.csv,GTY030 I 25C,345.27,588.27,82.25,536.95,717.8469227373068,4.529999999999999,141.32271964679913,180.8969227373068,51.319999999999936,3.5248815810075413,-50,25
GTY030 I 25C 10 01 m-25.csv,GTY030 I 25C 10,258.51,614.67,206.15,535.66,792.9557779332868,4.287,227.12371588523442,257.2957779332868,79.00999999999999,3.256496366704048,-25,25
GTY030 I 25C 10 01 m-35.csv,GTY030 I 25C 10,258.51,614.67,206.15,535.66,790.9876281529699,4.916,244.4771541903987,255.32762815296996,79.00999999999999,3.2315862315272748,-35,25
GTY030 I 25C 10 01 m-50.csv,GTY030 I 25C 10,258.51,614.67,206.15,535.66,784.8672946384653,6.099,244.35737333989178,249.20729463846533,79.00999999999999,3.1541234608083197,-50,25
GTY030 I 25C 10 02 m-25.csv,GTY030 I 25C 10,260.59,615.98,274.72,535.66,877.0947893276976,3.7855000000000003,278.31504424778757,341.4347893276977,80.32000000000005,4.250931142028106,-25,25
GTY030 I 25C 10 02 m-35.csv,GTY030 I 25C 10,260.59,615.98,274.72,535.66,870.7142191180242,4.2881,279.16553695109724,335.0542191180242,80.32000000000005,4.171491771887749,-35,25
GTY030 I 25C 10 02 m-50.csv,GTY030 I 25C 10,260.59,615.98,274.72,535.66,853.9015770743586,5.3389999999999995,276.36227383405134,318.2415770743586,80.32000000000005,3.962171029312231,-50,25
GTY030 I 25C 10 03 m-25.csv,GTY030 I 25C 10,87.04,617.47,408.6,535.66,808.8236215717908,2.1694999999999998,637.7007402627333,273.1636215717908,81.81000000000006,3.3390003859160324,-25,25
GTY030 I 25C 10 03 m-35.csv,GTY030 I 25C 10,87.04,617.47,408.6,535.66,806.3953360284845,2.6962,668.0270688376232,270.73533602848454,81.81000000000006,3.3093183721853605,-35,25
GTY030 I 25C 10 03 m-50.csv,GTY030 I 25C 10,87.04,617.47,408.6,535.66,794.9637825323327,3.7578,891.8826084411091,259.3037825323328,81.81000000000006,3.169585411714125,-50,25
GTY030 I 25C 11 01 m-25.csv,GTY030 I 25C 11,324.08,592.98,114.6,540.64,778.1469190541156,4.398,166.63162801273307,237.50691905411566,52.34000000000003,4.537770711771408,-25,25
GTY030 I 25C 11 01 m-35.csv,GTY030 I 25C 11,324.08,592.98,114.6,540.64,772.6279851909587,5.132,173.38020654715513,231.98798519095874,52.34000000000003,4.43232680915091,-35,25
GTY030 I 25C 11 01 m-50.csv,GTY030 I 25C 11,324.08,592.98,114.6,540.64,766.1757833891087,6.574,173.71222391238211,225.5357833891087,52.34000000000003,4.309052032653966,-50,25
GTY030 I 25C 11 02 m-25.csv,GTY030 I 25C 11,308.57,597.94,199.48,540.64,816.718494623656,3.162,315.71309297912717,276.07849462365607,57.30000000000007,4.818123815421566,-25,25
