filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 II 25C 01 m-25.csv,GTY030 II 25C,245.88,571.83,112.58,NA,682.7502404556,4.7410000000000005,163.93472263235606,NA,NA,NA,-25,25
GTY030 II 25C 01 m-35.csv,GTY030 II 25C,245.88,571.83,112.58,NA,680.5759395207305,5.258,165.11560479269681,NA,NA,NA,-35,25
GTY030 II 25C 01 m-50.csv,GTY030 II 25C,245.88,571.83,112.58,NA,677.0052496917385,6.4879999999999995,166.62183723797781,NA,NA,NA,-50,25
GTY030 II 25C 02 m-25.csv,GTY030 II 25C,26.66,636.02,570.31,NA,955.25388772298,3.812,1312.8310335781744,NA,NA,NA,-25,25
GTY030 II 25C 02 m-35.csv,GTY030 II 25C,26.66,636.02,570.31,NA,959.336292682927,4.305,1406.2426480836236,NA,NA,NA,-35,25
GTY030 II 25C 02 m-50.csv,GTY030 II 25C,26.66,636.02,570.31,NA,943.6774547827708,5.3629999999999995,1408.308607122879,NA,NA,NA,-50,25
GTY030 II 25C 03 m-25.csv,GTY030 II 25C,235.84,593.9,120.55,NA,736.373086140377,2.6955999999999998,165.0207638373646,NA,NA,NA,-25,25
GTY030 II 25C 03 m-35.csv,GTY030 II 25C,235.84,593.9,120.55,NA,732.8604276953386,3.1471,163.51248800482983,NA,NA,NA,-35,25
GTY030 II 25C 03 m-50.csv,GTY030 II 25C,235.84,593.9,120.55,NA,728.0414224893564,3.993,163.6718407212622,NA,NA,NA,-50,25
GTY030 II 25C 04 m-25.csv,GTY030 II 25C,226.06,634.54,272.38,NA,856.4561014439096,2.701,269.73253609774156,NA,NA,NA,-25,25
GTY030 II 25C 04 m-35.csv,GTY030 II 25C,226.06,634.54,272.38,NA,847.3510418006431,3.11,270.0394147909968,NA,NA,NA,-35,25
GTY030 II 25C 04 m-50.csv,GTY030 II 25C,226.06,634.54,272.38,NA,837.8503544303798,3.95,272.10817721518987,NA,NA,NA,-50,25
GTY030 II 25C 05 m-25.csv,GTY030 II 25C,258.46,595.31,174.96,NA,719.9279060195506,3.4986,157.99725661693248,NA,NA,NA,-25,25
GTY030 II 25C 05 m-35.csv,GTY030 II 25C,258.46,595.31,174.96,NA,718.305435548842,3.972,158.90075528700908,NA,NA,NA,-35,25
GTY030 II 25C 05 m-50.csv,GTY030 II 25C,258.46,595.31,174.96,NA,714.4849897834083,4.894,158.19744176542707,NA,NA,NA,-50,25
GTY030 II 25C 06 m-25.csv,GTY030 II 25C,212.6,635.8,221.76,NA,851.8490161874121,5.9676,239.3893364166499,NA,NA,NA,-25,25
GTY030 II 25C 06 m-35.csv,GTY030 II 25C,212.6,635.8,221.76,NA,849.3227818836461,6.8601,242.78054663926181,NA,NA,NA,-35,25
GTY030 II 25C 06 m-50.csv,GTY030 II 25C,212.6,635.8,221.76,NA,843.9201714888243,8.6303,247.5030504153969,NA,NA,NA,-50,25
GTY030 II 25C 10 01 m-25.csv,GTY030 II 25C 10,8.59,612.71,752.92,513.53,768.5837585359192,3.661,230.69904670854956,255.0537585359192,99.18000000000006,2.5716249096180586,-25,25
GTY030 II 25C 10 01 m-35.csv,GTY030 II 25C 10,8.59,612.71,752.92,513.53,767.0408487511563,4.324,257.0848982423682,253.51084875115635,99.18000000000006,2.556068247138094,-35,25
GTY030 II 25C 10 01 m-50.csv,GTY030 II 25C 10,8.59,612.71,752.92,513.53,773.4478908320084,5.6610000000000005,405.77495142201025,259.9178908320084,99.18000000000006,2.620668389110791,-50,25
GTY030 II 25C 10 02 m-25.csv,GTY030 II 25C 10,133.24,626.76,518.21,513.53,869.071975650249,7.228,786.0789485334809,355.541975650249,113.23000000000002,3.1399980186368364,-25,25
GTY030 II 25C 10 02 m-35.csv,GTY030 II 25C 10,133.24,626.76,518.21,513.53,864.6059337386773,8.059,802.7842610745749,351.07593373867735,113.23000000000002,3.1005558044570987,-35,25
GTY030 II 25C 10 02 m-50.csv,GTY030 II 25C 10,133.24,626.76,518.21,513.53,859.5046370355371,9.877,782.4510256150654,345.97463703553717,113.23000000000002,3.055503285662255,-50,25
GTY030 II 25C 10 03 m-25.csv,GTY030 II 25C 10,200.56,593.2,277.74,513.53,882.4056472261735,3.5149999999999997,1012.149160739687,368.87564722617356,79.67000000000007,4.6300445239886185,-25,25
GTY030 II 25C 10 03 m-35.csv,GTY030 II 25C 10,200.56,593.2,277.74,513.53,876.4676550531258,4.047,985.7158463059056,362.9376550531258,79.67000000000007,4.555512175889613,-35,25
GTY030 II 25C 10 03 m-50.csv,GTY030 II 25C 10,200.56,593.2,277.74,513.53,872.4927670294236,4.962000000000001,1024.1631942765016,358.9627670294236,79.67000000000007,4.505620271487678,-50,25
GTY030 II 25C 10 04 m-25.csv,GTY030 II 25C 10,293.12,577.1,104.21,513.53,806.0978593272172,1.635,182.05247706422017,292.5678593272172,63.57000000000005,4.602294467944266,-25,25
GTY030 II 25C 10 04 m-35.csv,GTY030 II 25C 10,293.12,577.1,104.21,513.53,802.5977720607152,1.9435,190.03531772575252,289.06777206071524,63.57000000000005,4.547235678161319,-35,25
GTY030 II 25C 10 04 m-50.csv,GTY030 II 25C 10,293.12,577.1,104.21,513.53,793.74315681445,2.436,196.86010673234813,280.21315681445003,63.57000000000005,4.407946465541133,-50,25
GTY030 II 25C 10 05 m-25.csv,GTY030 II 25C 10,82.84,614.03,362.44,513.53,783.3845292697647,3.314,237.89853651176827,269.8545292697647,100.5,2.6851196942265148,-25,25
GTY030 II 25C 10 05 m-35.csv,GTY030 II 25C 10,82.84,614.03,362.44,513.53,784.2626462324394,3.915,239.5020459770115,270.7326462324394,100.5,2.693857176442183,-35,25
GTY030 II 25C 10 05 m-50.csv,GTY030 II 25C 10,82.84,614.03,362.44,513.53,785.0461688695996,5.069,241.745537581377,271.5161688695996,100.5,2.701653421588056,-50,25
GTY030 II 25C 11 01 m-25.csv,GTY030 II 25C 11,311.19,569.09,106.22,520.41,798.3956761412576,2.322,156.25632213608958,277.9856761412576,48.680000000000064,5.71046992894941,-25,25
GTY030 II 25C 11 01 m-35.csv,GTY030 II 25C 11,311.19,569.09,106.22,520.41,792.3473966942148,2.662,156.0301690458302,271.93739669421484,48.680000000000064,5.586224254195039,-35,25
