filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 clump 25C 01 m-25.csv,GTY030 clump 25C,199.75,608.94,369.8,523.99,993.6151932893213,2.9386,976.6006247873138,469.62519328932126,84.95000000000005,5.528254188220377,-25,25
GTY030 clump 25C 01 m-35.csv,GTY030 clump 25C,199.75,608.94,369.8,523.99,1008.6031430235946,3.433,1071.3726536556946,484.6131430235946,84.95000000000005,5.704686792508467,-35,25
GTY030 clump 25C 01 m-50.csv,GTY030 clump 25C,199.75,608.94,369.8,523.99,995.7087052341599,4.356,1079.69097107438,471.71870523415987,84.95000000000005,5.552898237011885,-50,25
GTY030 clump 25C 02 m-25.csv,GTY030 clump 25C,161.88,640.05,569.91,523.99,1045.4321070122965,3.009,1202.6825024925226,521.4421070122964,116.05999999999995,4.492866681133006,-25,25
GTY030 clump 25C 02 m-35.csv,GTY030 clump 25C,161.88,640.05,569.91,523.99,1031.7697446433813,3.407,1168.9562782506603,507.77974464338126,116.05999999999995,4.375148583865083,-35,25
GTY030 clump 25C 02 m-50.csv,GTY030 clump 25C,161.88,640.05,569.91,523.99,1032.8447429519072,4.221,1226.2226415541343,508.85474295190716,116.05999999999995,4.384411019747608,-50,25
GTY030 clump 25C 03 m-25.csv,GTY030 clump 25C,292.35,609.86,124.72,523.99,783.5219950774575,3.4535,157.2981583900391,259.5319950774575,85.87,3.022382614154623,-25,25
GTY030 clump 25C 03 m-35.csv,GTY030 clump 25C,292.35,609.86,124.72,523.99,780.0896597963743,4.027,156.12148745964734,256.09965979637434,85.87,2.9824113170650324,-35,25
GTY030 clump 25C 03 m-50.csv,GTY030 clump 25C,292.35,609.86,124.72,523.99,772.358369857747,5.202,157.16811226451367,248.36836985774698,85.87,2.892376497702888,-50,25
GTY030 clump 25C 04 m-25.csv,GTY030 clump 25C,311.73,602,127.94,523.99,807.7677116575935,5.327,228.46987610287218,283.7777116575935,78.00999999999999,3.6377094174797273,-25,25
GTY030 clump 25C 04 m-35.csv,GTY030 clump 25C,311.73,602,127.94,523.99,803.8215113803832,6.107,230.36750450302932,279.8315113803832,78.00999999999999,3.587123591595734,-35,25
GTY030 clump 25C 04 m-50.csv,GTY030 clump 25C,311.73,602,127.94,523.99,798.1572232328482,7.696,236.11758835758835,274.1672232328482,78.00999999999999,3.514513821726038,-50,25
GTY030 clump 25C 10 01 m-25.csv,GTY030 clump 25C 10,305.91,554.88,89.88,525.28,662.3809768726269,2.897,123.70986537797724,137.10097687262692,29.600000000000023,4.631789759210365,-25,25
GTY030 clump 25C 10 01 m-35.csv,GTY030 clump 25C 10,305.91,554.88,89.88,525.28,661.4308681925808,3.801,131.42622467771636,136.1508681925808,29.600000000000023,4.599691492992591,-35,25
GTY030 clump 25C 10 01 m-50.csv,GTY030 clump 25C 10,305.91,554.88,89.88,525.28,646.9989665403,6.067,129.68976265040382,121.71896654030002,29.600000000000023,4.112127247983105,-50,25
GTY030 clump 25C 10 02 m-25.csv,GTY030 clump 25C 10,320.11,568.08,108.47,525.28,655.1150154894672,6.4559999999999995,157.12684324659233,129.8350154894672,42.80000000000007,3.0335283992866118,-25,25
GTY030 clump 25C 10 02 m-35.csv,GTY030 clump 25C 10,320.11,568.08,108.47,525.28,652.5198527070064,7.536,155.46535828025478,127.23985270700643,42.80000000000007,2.972893754836594,-35,25
GTY030 clump 25C 10 02 m-50.csv,GTY030 clump 25C 10,320.11,568.08,108.47,525.28,643.2232298684785,10.5382,160.48713765159135,117.94322986847851,42.80000000000007,2.755682940852297,-50,25
GTY030 clump 25C 10 03 m-25.csv,GTY030 clump 25C 10,254.28,592.97,288.91,525.28,702.2503592314118,4.788,383.16484335839596,176.97035923141186,67.69000000000005,2.6144239803724587,-25,25
GTY030 clump 25C 10 03 m-35.csv,GTY030 clump 25C 10,254.28,592.97,288.91,525.28,700.2755808341951,5.802,384.2027783522924,174.99558083419515,67.69000000000005,2.585250123122987,-35,25
GTY030 clump 25C 10 03 m-50.csv,GTY030 clump 25C 10,254.28,592.97,288.91,525.28,688.6239630285562,8.639100000000001,419.1253026356912,163.34396302855623,67.69000000000005,2.4131180828564944,-50,25
GTY030 clump 25C 10 04 m-25.csv,GTY030 clump 25C 10,223.71,597.85,263.81,525.28,649.9605964678441,3.6012,224.35348411640564,124.68059646784411,72.57000000000005,1.718073535453273,-25,25
GTY030 clump 25C 10 04 m-35.csv,GTY030 clump 25C 10,223.71,597.85,263.81,525.28,653.7371467369275,4.934,293.7987359140657,128.45714673692748,72.57000000000005,1.7701136383757392,-35,25
GTY030 clump 25C 10 04 m-50.csv,GTY030 clump 25C 10,223.71,597.85,263.81,525.28,657.5104139179775,8.6708,339.0422378557918,132.23041391797756,72.57000000000005,1.8221085010056148,-50,25
GTY030 clump 25C 10 05 m-25.csv,GTY030 clump 25C 10,315.06,566.91,75.52,525.28,652.7015739099611,2.8209999999999997,99.0559553349876,127.42157390996113,41.629999999999995,3.060811287772307,-25,25
GTY030 clump 25C 10 05 m-35.csv,GTY030 clump 25C 10,315.06,566.91,75.52,525.28,649.967646544182,3.429,98.76805191017789,124.68764654418203,41.629999999999995,2.9951392395912095,-35,25
GTY030 clump 25C 10 05 m-50.csv,GTY030 clump 25C 10,315.06,566.91,75.52,525.28,644.2,4.98,100.57,118.92000000000007,41.629999999999995,2.856593802546243,-50,25
GTY030 clump 25C 10 08 m-25.csv,GTY030 clump 25C 10,327.55,560.82,105.96,525.28,679.0821601136902,3.3776,158.77677700142112,153.8021601136902,35.54000000000008,4.327579069040233,-25,25
GTY030 clump 25C 10 08 m-35.csv,GTY030 clump 25C 10,327.55,560.82,105.96,525.28,672.229452166803,4.1582,151.76536915011303,146.94945216680298,35.54000000000008,4.13476230069788,-35,25
GTY030 clump 25C 10 08 m-50.csv,GTY030 clump 25C 10,327.55,560.82,105.96,525.28,669.7175365544072,6.0663,188.9081698893889,144.4375365544072,35.54000000000008,4.064083752234295,-50,25
GTY030 clump 25C 11 01 m-25.csv,GTY030 clump 25C 11,287.23,560.12,134.58,518,672.002836454432,4.005,206.7094406991261,154.00283645443199,42.120000000000005,3.656287665109971,-25,25
GTY030 clump 25C 11 01 m-35.csv,GTY030 clump 25C 11,287.23,560.12,134.58,518,670.0650243210376,4.934,217.11880826915277,152.06502432103764,42.120000000000005,3.6102807293693644,-35,25
GTY030 clump 25C 11 01 m-50.csv,GTY030 clump 25C 11,287.23,560.12,134.58,518,666.7791009440814,6.885,221.59233115468413,148.7791009440814,42.120000000000005,3.532267353848086,-50,25
GTY030 clump 25C 11 02 m-25.csv,GTY030 clump 25C 11,326.34,550.52,70.27,518,657.7027280405405,2.1312,91.08031719219218,139.70272804054048,32.51999999999998,4.295901846265084,-25,25
GTY030 clump 25C 11 02 m-35.csv,GTY030 clump 25C 11,326.34,550.52,70.27,518,654.5446714501511,2.648,90.52212235649547,136.5446714501511,32.51999999999998,4.198790634998499,-35,25
GTY030 clump 25C 11 02 m-50.csv,GTY030 clump 25C 11,326.34,550.52,70.27,518,646.4153803921569,3.825,90.60515294117647,128.41538039215686,32.51999999999998,3.9488124351831777,-50,25
GTY030 clump 25C 11 03 m-25.csv,GTY030 clump 25C 11,302.03,565.97,162.26,518,679.2950074483933,4.699,289.0029197701638,161.29500744839333,47.97000000000003,3.3624141640273764,-25,25
GTY030 clump 25C 11 03 m-35.csv,GTY030 clump 25C 11,302.03,565.97,162.26,518,672.434913823426,5.686,274.18742173760114,154.43491382342597,47.97000000000003,3.2194061668423157,-35,25
GTY030 clump 25C 11 03 m-50.csv,GTY030 clump 25C 11,302.03,565.97,162.26,518,666.9171032046429,7.926,279.0296517789554,148.9171032046429,47.97000000000003,3.1043798875264295,-50,25
GTY030 clump 25C 11 04 m-25.csv,GTY030 clump 25C 11,329.1,565.35,70.51,518,665.723727148704,7.33,79.05909686221008,147.72372714870403,47.35000000000002,3.1198252829715725,-25,25
GTY030 clump 25C 11 04 m-35.csv,GTY030 clump 25C 11,329.1,565.35,70.51,518,664.0430404596601,8.354,79.67364615752935,146.04304045966012,47.35000000000002,3.08433031593791,-35,25
