filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 colony 25C 01 m-25.csv,GTY030 colony 25C,260.9,564.05,124.09,509.37,957.8248787796241,1.4684000000000001,355.5403064560065,448.4548787796241,54.67999999999995,8.201442552663213,-25,25
GTY030 colony 25C 01 m-35.csv,GTY030 colony 25C,260.9,564.05,124.09,509.37,921.4589174620444,2.0221,339.99548489194393,412.0889174620444,54.67999999999995,7.536373764850855,-35,25
GTY030 colony 25C 01 m-50.csv,GTY030 colony 25C,260.9,564.05,124.09,509.37,868.6523963283255,3.3881,312.5305935480062,359.2823963283255,54.67999999999995,6.570636362990596,-50,25
GTY030 colony 25C 02 m-25.csv,GTY030 colony 25C,229.86,571.86,165.29,509.37,861.0954054965437,5.931,319.67584555724164,351.72540549654366,62.49000000000001,5.6285070490725495,-25,25
GTY030 colony 25C 02 m-35.csv,GTY030 colony 25C,229.86,571.86,165.29,509.37,849.5617140773159,6.855,318.2132749817651,340.19171407731585,62.49000000000001,5.443938455389915,-35,25
GTY030 colony 25C 02 m-50.csv,GTY030 colony 25C,229.86,571.86,165.29,509.37,830.216969801355,8.709,313.2002813181766,320.84696980135504,62.49000000000001,5.134373016504321,-50,25
GTY030 colony 25C 03 m-25.csv,GTY030 colony 25C,241.29,602.19,149.03,509.37,806.1475340890422,6.087,180.72334976178743,296.7775340890422,92.82000000000005,3.1973446896039865,-25,25
GTY030 colony 25C 03 m-35.csv,GTY030 colony 25C,241.29,602.19,149.03,509.37,803.3085734583688,7.038,184.32851946575732,293.93857345836875,92.82000000000005,3.1667590331649276,-35,25
GTY030 colony 25C 03 m-50.csv,GTY030 colony 25C,241.29,602.19,149.03,509.37,793.6061393805311,9.04,187.53719026548674,284.2361393805311,92.82000000000005,3.062229469732072,-50,25
GTY030 colony 25C 10 01 m-25.csv,GTY030 colony 25C 10,169.97,580.95,399.55,511.57,752.8181168651344,3.611,165.2194904458599,241.24811686513436,69.38000000000005,3.477199724201992,-25,25
