filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 25C 01 m-50.csv,GTY030 25C,132.06,629.41,395.24,525.802991,755.0661596009976,5.614,357.0982401140007,229.26316860099757,103.60700899999995,2.2128152411097757,-50,25
GTY030 25C 02 m-50.csv,GTY030 25C,166.35,644.95,365.57,525.802991,751.4410758394758,3.0525,173.2430165438165,225.63808483947582,119.14700900000003,1.8937788429038598,-50,25
GTY030 25C 03 m-50.csv,GTY030 25C,258.02,589.39,122.15,525.802991,685.2770435327278,6.386,138.17785468211713,159.4740525327278,63.587008999999966,2.507965935820757,-50,25
GTY030 25C 04 m-50.csv,GTY030 25C,92.43,643.82,356.87,525.802991,745.0265500728711,4.803,480.40614199458673,219.22355907287113,118.01700900000003,1.857559015691298,-50,25
GTY030 25C 05 m-50.csv,GTY030 25C,87.77,619.42,482.56,525.802991,829.1114922048997,4.49,1179.275322939866,303.3085012048997,93.61700899999994,3.2398866877374806,-50,25
GTY030 25C 06 m-50.csv,GTY030 25C,11.3,624.48,675.11,525.802991,928.0018830515688,5.1697999999999995,2328.813718325661,402.1988920515688,98.677009,4.075912881100488,-50,25
GTY030 25C 10 01 m-50.csv,GTY030 25C 10,177.56,611.39,368.54,530.436226,887.1344184071547,3.7681,507.62354794193357,356.6981924071547,80.95377399999995,4.406195965702042,-50,25
GTY030 25C 10 02 m-50.csv,GTY030 25C 10,273.49,591.62,125.36,530.436226,718.339373301938,5.521,133.64242347400835,187.90314730193802,61.18377399999997,3.071127114550634,-50,25
GTY030 25C 10 03 m-50.csv,GTY030 25C 10,262.58,599.5,172.55,530.436226,784.4238656819756,4.333,166.45987768289868,253.98763968197557,69.06377399999997,3.6775812408104964,-50,25
GTY030 25C 10 04 m-50.csv,GTY030 25C 10,253.95,596.03,162,530.436226,728.8786677542142,3.678,196.69904839586732,198.4424417542142,65.59377399999994,3.025324350969871,-50,25
GTY030 25C 10 05 m-50.csv,GTY030 25C 10,262.79,592.99,155.05,530.436226,734.4184088036743,3.2441,167.83899972257328,203.98218280367428,62.553773999999976,3.2609092906796375,-50,25
GTY030 25C 10 06 m-50.csv,GTY030 25C 10,267.99,579.31,123.77,530.436226,714.4416429325298,6.5377,177.52901815623233,184.00541693252978,48.87377399999991,3.7649111552656054,-50,25
GTY030 25C 10 07 m-50.csv,GTY030 25C 10,240.65,591.72,128.15,530.436226,780.4502624331767,6.173,157.46701117770937,250.01403643317667,61.283773999999994,4.079612271156419,-50,25
GTY030 25C 10 08 m-50.csv,GTY030 25C 10,251.97,595.8,121.51,530.436226,804.5079924242424,5.28,147.26125,274.07176642424236,65.36377399999992,4.193022367775806,-50,25
GTY030 25C 13 01 m-50.csv,GTY030 25C 13,251.44,589.66,144,527.083758,763.2955172413795,6.322,267.331724137931,236.21175924137947,62.57624199999998,3.774783395292091,-50,25
GTY030 25C 13 02 m-50.csv,GTY030 25C 13,238.2,586.84,116.08,527.083758,737.7747404564734,4.9510000000000005,137.52315693799233,210.69098245647342,59.75624200000004,3.525840571709199,-50,25
