filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
PSY106 clump 25C 01 m-25.csv,PSY106 clump 25C,261.85,631.07,159.12,518.87,913.7973643496825,3.6067,249.06143455236088,394.92736434968253,112.20000000000005,3.519851732171857,-25,25
PSY106 clump 25C 01 m-35.csv,PSY106 clump 25C,261.85,631.07,159.12,518.87,905.9383349123638,4.222,250.55859071530082,387.06833491236375,112.20000000000005,3.449806906527305,-35,25
PSY106 clump 25C 01 m-50.csv,PSY106 clump 25C,261.85,631.07,159.12,518.87,896.3013134057971,5.5200000000000005,252.71072282608694,377.43131340579714,112.20000000000005,3.3639154492495273,-50,25
PSY106 clump 25C 02 m-25.csv,PSY106 clump 25C,202.44,696.12,282.25,518.87,1134.1795063520872,5.51,691.1097803992741,615.3095063520872,177.25,3.4714217565703085,-25,25
PSY106 clump 25C 02 m-35.csv,PSY106 clump 25C,202.44,696.12,282.25,518.87,1123.3443450072994,6.3703,686.807444704331,604.4743450072993,177.25,3.410292496515088,-35,25
PSY106 clump 25C 02 m-50.csv,PSY106 clump 25C,202.44,696.12,282.25,518.87,1100.772156814247,8.086,689.9052708384862,581.902156814247,177.25,3.282945877654426,-50,25
PSY106 clump 25C 03 m-25.csv,PSY106 clump 25C,263.7,687.52,197.21,518.87,1086.2700752338349,4.918,226.39097397315984,567.4000752338349,168.64999999999998,3.3643645136900973,-25,25
PSY106 clump 25C 03 m-35.csv,PSY106 clump 25C,263.7,687.52,197.21,518.87,1083.5148252516012,5.465,226.46837145471181,564.6448252516012,168.64999999999998,3.348027425150319,-35,25
PSY106 clump 25C 03 m-50.csv,PSY106 clump 25C,263.7,687.52,197.21,518.87,1075.2371861086376,6.7379999999999995,230.44646185811817,556.3671861086376,168.64999999999998,3.2989456632590435,-50,25
PSY106 clump 25C 04 m-25.csv,PSY106 clump 25C,237.77,667.63,209.98,518.87,989.5731260032103,4.984,245.670922953451,470.7031260032103,148.76,3.164178045195014,-25,25
PSY106 clump 25C 04 m-35.csv,PSY106 clump 25C,237.77,667.63,209.98,518.87,984.029160851673,5.5889999999999995,247.27533369117916,465.15916085167305,148.76,3.126910196636684,-35,25
PSY106 clump 25C 04 m-50.csv,PSY106 clump 25C,237.77,667.63,209.98,518.87,970.0685338235294,6.8,251.41817647058826,451.1985338235294,148.76,3.0330635508438384,-50,25
PSY106 clump 25C 05 m-25.csv,PSY106 clump 25C,239.18,665.73,168.25,518.87,925.1473587193792,4.123,207.97962648556876,406.2773587193792,146.86,2.7664262475785044,-25,25
PSY106 clump 25C 05 m-35.csv,PSY106 clump 25C,239.18,665.73,168.25,518.87,917.8317972636817,4.824,210.17629145936982,398.96179726368166,146.86,2.716613082280278,-35,25
PSY106 clump 25C 05 m-50.csv,PSY106 clump 25C,239.18,665.73,168.25,518.87,907.3187594936709,6.319999999999999,224.6854414556962,388.4487594936709,146.86,2.6450276419288494,-50,25
PSY106 clump 25C 10 01 m-25.csv,PSY106 clump 25C 10,274.74,642.38,170.24,527.99,930.809746835443,3.318,193.54647980711272,402.81974683544297,114.38999999999999,3.52145945305921,-25,25
PSY106 clump 25C 10 01 m-35.csv,PSY106 clump 25C 10,274.74,642.38,170.24,527.99,928.4770038910506,3.8549999999999995,211.98083009079122,400.48700389105056,114.38999999999999,3.501066560809954,-35,25
PSY106 clump 25C 10 01 m-50.csv,PSY106 clump 25C 10,274.74,642.38,170.24,527.99,920.4634517158819,5.0120000000000005,222.91205506783717,392.4734517158819,114.38999999999999,3.4310119041514286,-50,25
PSY106 clump 25C 10 02 m-25.csv,PSY106 clump 25C 10,256.59,672.27,204.47,527.99,978.0763317892298,3.454,356.1492964678633,450.0863317892298,144.27999999999997,3.1195337662131264,-25,25
PSY106 clump 25C 10 02 m-35.csv,PSY106 clump 25C 10,256.59,672.27,204.47,527.99,973.975684107099,4.071,351.83932940309506,445.985684107099,144.27999999999997,3.0911123101406925,-35,25
PSY106 clump 25C 10 02 m-50.csv,PSY106 clump 25C 10,256.59,672.27,204.47,527.99,960.2863491468215,5.333,341.06275829739354,432.2963491468215,144.27999999999997,2.996231973570984,-50,25
PSY106 clump 25C 10 03 m-25.csv,PSY106 clump 25C 10,266.93,681.75,197.38,527.99,1086.33,2.99,351.49,558.3399999999999,153.76,3.63124349635796,-25,25
PSY106 clump 25C 10 03 m-35.csv,PSY106 clump 25C 10,266.93,681.75,197.38,527.99,1080.05,3.34,356.9200000000001,552.06,153.76,3.590400624349636,-35,25
PSY106 clump 25C 10 03 m-50.csv,PSY106 clump 25C 10,266.93,681.75,197.38,527.99,1073.92,4.12,383.32,545.9300000000001,153.76,3.550533298647243,-50,25
