filename,ID,Item Name,Name,Population,Type,Voxel Count,Volume (µm³),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Number of contained Mito,Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Compartment ROIs ID,ExtracellularBackground
PSY109 25C 01 m-25.csv,1,PSY109 25C,ROIs 1,ROIs,Object,291375,346.94,215,1969,375.57,109000000,113.37,4.93,18598.6,387.65,113000000,569.53,283.66,4735.27,587.25,171000000,107.35,9,NA,NA,NA,NA,534.67
PSY109 25C 01 m-25.csv,3,PSY109 25C,Mito 2,Mito,Object,255,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591.4,1064.98,761.17,194097.09,100.2,NA,7.95,7.87,1.1,1,534.67
PSY109 25C 01 m-25.csv,4,PSY109 25C,Mito 3,Mito,Object,31,0.0369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565.06,700.68,612.63,18991.47,35.21,NA,3.78,9.47,1.08,1,534.67
PSY109 25C 01 m-25.csv,5,PSY109 25C,Mito 4,Mito,Object,529,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.43,1073.06,736.35,389528,103.45,NA,3.89,10.94,2.32,1,534.67
PSY109 25C 01 m-25.csv,8,PSY109 25C,Mito 7,Mito,Object,290,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.27,960.8,730.25,211772.59,86.3,NA,3.8,8.25,1.57,1,534.67
PSY109 25C 01 m-25.csv,15,PSY109 25C,Mito 14,Mito,Object,230,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.41,1182.48,827.98,190434.56,140.3,NA,9.37,9.84,2.23,1,534.67
PSY109 25C 01 m-25.csv,16,PSY109 25C,Mito 15,Mito,Object,126,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617.82,1405,880.29,110916.59,176.68,NA,5.57,10.06,2,1,534.67
PSY109 25C 01 m-25.csv,26,PSY109 25C,Mito 25,Mito,Object,637,0.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.32,4324.84,848.28,540356.31,323.76,NA,10.66,7.01,2.07,1,534.67
PSY109 25C 01 m-25.csv,40,PSY109 25C,Mito 39,Mito,Object,1107,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.35,1130.07,698.59,773337.44,125.17,NA,8.7,8.11,3.66,1,534.67
PSY109 25C 01 m-25.csv,41,PSY109 25C,Mito 40,Mito,Object,551,0.656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.6,1213.4,692.22,381414.63,149.41,NA,4.71,9.31,3.43,1,534.67
PSY109 25C 01 m-35.csv,1,PSY109 25C,ROIs 1,ROIs,Object,291375,346.94,215,1969,375.57,109000000,113.37,4.93,18598.6,387.65,113000000,569.53,283.66,4735.27,587.25,171000000,107.35,9,NA,NA,NA,NA,534.67
PSY109 25C 01 m-35.csv,2,PSY109 25C,Mito 1,Mito,Object,346,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591.4,1064.98,753.08,260566.73,96.5,NA,7.93,7.89,1.1,1,534.67
PSY109 25C 01 m-35.csv,3,PSY109 25C,Mito 2,Mito,Object,45,0.0536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.66,700.68,616.86,27758.85,37.89,NA,3.79,9.47,1.08,1,534.67
PSY109 25C 01 m-35.csv,4,PSY109 25C,Mito 3,Mito,Object,622,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480.43,1073.06,733.35,456141.13,104.1,NA,3.88,10.93,2.3,1,534.67
PSY109 25C 01 m-35.csv,11,PSY109 25C,Mito 10,Mito,Object,394,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.27,960.8,726.85,286378.78,80.56,NA,3.8,8.27,1.55,1,534.67
PSY109 25C 01 m-35.csv,15,PSY109 25C,Mito 14,Mito,Object,271,0.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.09,1182.48,818.78,221888.95,140.13,NA,9.38,9.83,2.23,1,534.67
PSY109 25C 01 m-35.csv,16,PSY109 25C,Mito 15,Mito,Object,152,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592.26,1405,870.18,132267.05,169.83,NA,5.57,10.06,1.98,1,534.67
PSY109 25C 01 m-35.csv,22,PSY109 25C,Mito 21,Mito,Object,716,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439.2,4324.84,848.05,607206.19,337.02,NA,10.65,7,2.08,1,534.67
PSY109 25C 01 m-35.csv,37,PSY109 25C,Mito 36,Mito,Object,1339,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.25,1130.07,692.19,926845.63,125.05,NA,8.7,8.11,3.66,1,534.67
