filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,ExtracellularBackground
GTY027 25C 01 m-25.csv,ROIs 1,1,251.9,575,2189,808.91,171000000,82.48,211,1359,346.96,73400680,83.22,350.1,30788.64,798.69,169000000,267.02,1.13,11930.79,361.21,76415112,441.64,NA,NA,NA,GTY027 25C,ROIs,Object,4,NA,676.88
GTY027 25C 01 m-25.csv,Mito 1,2,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543.1,1907.27,945.44,1659244.63,169.66,NA,NA,NA,NA,NA,4.6,9.23,2.37,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-25.csv,Mito 36,37,0.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523.66,1902.24,854.65,560652.06,180.08,NA,NA,NA,NA,NA,4.84,6.86,2.84,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-25.csv,Mito 37,38,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688.07,1071.98,882.39,90003.99,96.49,NA,NA,NA,NA,NA,2.38,7.37,2.38,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-25.csv,Mito 80,81,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.16,30788.64,1350.64,1728820.5,2299.02,NA,NA,NA,NA,NA,6.74,4.45,2.57,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-35.csv,ROIs 1,1,251.9,575,2189,808.91,171000000,82.48,211,1359,346.96,73400680,83.22,350.1,30788.64,798.69,169000000,267.02,1.13,11930.79,361.21,76415112,441.64,NA,NA,NA,GTY027 25C,ROIs,Object,4,NA,676.88
GTY027 25C 01 m-35.csv,Mito 2,3,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,541.78,1907.27,938.15,1952298,172.71,NA,NA,NA,NA,NA,4.58,9.2,2.36,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-35.csv,Mito 40,41,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523.66,1902.24,853.94,672049.38,175.93,NA,NA,NA,NA,NA,4.82,6.88,2.85,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-35.csv,Mito 41,42,0.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678.79,1071.98,876.2,102515.63,98.21,NA,NA,NA,NA,NA,2.39,7.37,2.4,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-35.csv,Mito 80,81,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.16,30788.64,1307.7,1958929.38,2141.92,NA,NA,NA,NA,NA,6.74,4.45,2.57,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-50.csv,ROIs 1,1,251.9,575,2189,808.91,171000000,82.48,211,1359,346.96,73400680,83.22,350.1,30788.64,798.69,169000000,267.02,1.13,11930.79,361.21,76415112,441.64,NA,NA,NA,GTY027 25C,ROIs,Object,3,NA,676.88
GTY027 25C 01 m-50.csv,Mito 32,33,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,678.79,1071.98,873.26,135354.64,95.48,NA,NA,NA,NA,NA,2.39,7.37,2.41,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-50.csv,Mito 63,64,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.16,30788.64,1250.86,2389133.5,1942.73,NA,NA,NA,NA,NA,6.75,4.44,2.58,GTY027 25C,Mito,Object,NA,1,676.88
GTY027 25C 01 m-50.csv,Mito 64,65,4.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459.01,1907.27,902.09,3542521.75,179.93,NA,NA,NA,NA,NA,4.63,8.55,2.51,GTY027 25C,Mito,Object,NA,1,676.88
