filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,ExtracellularBackground,RawMitoIntDen,RawMitoMean,MitoVolume_um3,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY027 25C 01 m-25.csv,169000000,798.69,251.9,GTY027 25C,676.88,4038721.18,1064.5375088652481,4.512,25769664.06315614,1468976.80356093,0.05700411149950463,387.65750886524813,-25,25
GTY027 25C 01 m-35.csv,169000000,798.69,251.9,GTY027 25C,676.88,4685792.39,1045.0246589205397,5.336,25769664.06315614,1649802.5531200129,0.06402111215251727,368.14465892053965,-35,25
GTY027 25C 01 m-50.csv,169000000,798.69,251.9,GTY027 25C,676.88,6067009.89,1012.3036440084092,7.135,25769664.06315614,2009950.1973628951,0.07799675589239041,335.42364400840916,-50,25
GTY027 25C 03 m-25.csv,193000000,787.04,292.55,GTY027 25C,676.88,4264066.51,1078.054064954362,4.711,27065850.340136047,1587243.6549928612,0.058643775645176456,401.17406495436205,-25,25
GTY027 25C 03 m-35.csv,193000000,787.04,292.55,GTY027 25C,676.88,4865399.07,1072.8668846082608,5.399,27065850.340136047,1795526.3206517175,0.06633918011395804,395.98688460826077,-35,25
GTY027 25C 03 m-50.csv,193000000,787.04,292.55,GTY027 25C,676.88,6113528.26,1061.8516642335767,6.85,27065850.340136047,2214710.590409003,0.08182675077918394,384.9716642335767,-50,25
GTY027 25C 04 m-25.csv,113000000,786.6,171.38,GTY027 25C,676.88,2663787.66,961.3415933232169,3.295,15792234.483917026,787184.8072562355,0.04984632213116596,284.4615933232169,-25,25
GTY027 25C 04 m-35.csv,113000000,786.6,171.38,GTY027 25C,676.88,3074024.09,960.0311437565582,3.812,15792234.483917026,906502.1919879061,0.05740176875609954,283.1511437565582,-35,25
GTY027 25C 04 m-50.csv,113000000,786.6,171.38,GTY027 25C,676.88,3988420.39,948.49021361629,5.004300000000001,15792234.483917026,1141529.3457629967,0.072284219622343,271.61021361629,-50,25
GTY027 25C 08 m-25.csv,227000000,774.67,348.24,GTY027 25C,676.88,1877755.82,963.4702386182539,2.3217,28600310.405643728,558811.2513647435,0.019538642883207055,286.5902386182539,-25,25
GTY027 25C 08 m-35.csv,227000000,774.67,348.24,GTY027 25C,676.88,2503377.16,964.7059021862349,3.0875,28600310.405643728,746336.1661207693,0.026095386921866907,287.8259021862349,-35,25
GTY027 25C 08 m-50.csv,227000000,774.67,348.24,GTY027 25C,676.88,3977881.3,955.046308623298,4.9575,28600310.405643728,1158150.2267573695,0.04049432367450217,278.16630862329805,-50,25
GTY027 25C 09 m-25.csv,179000000,799.28,266.6,GTY027 25C,676.88,2340852.82,959.3834738942011,2.9074,27405593.34845049,689804.8206937098,0.025170220251141226,282.5034738942011,-25,25
GTY027 25C 09 m-35.csv,179000000,799.28,266.6,GTY027 25C,676.88,2800232.4499999997,956.0585230142331,3.4848000000000003,27405593.34845049,817066.6977408242,0.029813866364875517,279.17852301423306,-35,25
GTY027 25C 09 m-50.csv,179000000,799.28,266.6,GTY027 25C,676.88,3751219.39,950.135122366461,4.699,27405593.34845049,1078378.9535567316,0.03934886356393021,273.255122366461,-50,25
GTY027 25C 10 01 m-25.csv,155000000,807.73,228.62,GTY027 25C 10,685.37,2992364.92,967.1654589896796,3.682,23493695.47325103,871395.7168052407,0.03709061938754491,281.79545898967956,-25,25
GTY027 25C 10 01 m-35.csv,155000000,807.73,228.62,GTY027 25C 10,685.37,4005207.05,962.5673764174165,4.9562,23493695.47325103,1153813.4181573864,0.049111618879672275,277.19737641741654,-35,25
GTY027 25C 10 01 m-50.csv,155000000,807.73,228.62,GTY027 25C 10,685.37,6709300.899999999,953.4318849649475,8.373099999999999,23493695.47325103,1885033.1477282282,0.08023570195137886,268.06188496494747,-50,25
GTY027 25C 10 02 m-25.csv,166000000,814.91,241.97,GTY027 25C 10,685.37,3991131.83,923.2098174757281,5.15,26324677.752582505,1028701.6544889556,0.03907746427733718,237.83981747572807,-25,25
GTY027 25C 10 02 m-35.csv,166000000,814.91,241.97,GTY027 25C 10,685.37,4898449.21,920.8983185980424,6.3340000000000005,26324677.752582505,1252907.0042831951,0.047594390938376537,235.52831859804235,-35,25
GTY027 25C 10 02 m-50.csv,166000000,814.91,241.97,GTY027 25C 10,685.37,7703698.17,914.2108725902594,10.0322,26324677.752582505,1928090.5366591082,0.07324270233355311,228.84087259025944,-50,25
GTY027 25C 10 03 m-25.csv,159000000,801.85,235.84,GTY027 25C 10,685.37,6182508.41,951.0281735985534,7.742,23071002.939447388,1727324.7501469725,0.07486994625593622,265.6581735985534,-25,25
GTY027 25C 10 03 m-35.csv,159000000,801.85,235.84,GTY027 25C 10,685.37,7378870.65,945.9017780647938,9.291,23071002.939447388,2032922.4405811701,0.08811591095180468,260.5317780647938,-35,25
GTY027 25C 10 03 m-50.csv,159000000,801.85,235.84,GTY027 25C 10,685.37,11488331.08,938.6692442614515,14.5725,23071002.939447388,3100027.9138322007,0.1343690138642258,253.29924426145146,-50,25
GTY027 25C 10 04 m-25.csv,177000000,810.25,260.75,GTY027 25C 10,685.37,2714377.2,1020.9192854205548,3.1613,27347325.102880657,890880.9574200051,0.032576530028750904,335.54928542055484,-25,25
GTY027 25C 10 04 m-35.csv,177000000,810.25,260.75,GTY027 25C 10,685.37,3469843.31,1012.8190361741264,4.0775,27347325.102880657,1121334.8828420257,0.041003457509045695,327.4490361741264,-35,25
GTY027 25C 10 04 m-50.csv,177000000,810.25,260.75,GTY027 25C 10,685.37,5421022.63,997.0290922001143,6.4783,27347325.102880657,1695658.9375997314,0.06200456283094091,311.6590922001143,-50,25
GTY027 25C 10 05 m-25.csv,202000000,803.74,299.01,GTY027 25C 10,685.37,3993263.65,942.2558321267778,5.0419,29725215.1675485,1087757.3502981449,0.03659375867144831,256.8858321267778,-25,25
GTY027 25C 10 05 m-35.csv,202000000,803.74,299.01,GTY027 25C 10,685.37,4850605.17,941.857925636008,6.132,29725215.1675485,1320890.1990425806,0.04443669092375883,256.48792563600796,-35,25
GTY027 25C 10 05 m-50.csv,202000000,803.74,299.01,GTY027 25C 10,685.37,7132314.23,940.9165875548465,9.0252,29725215.1675485,1936977.4603174606,0.06516277340296901,255.5465875548465,-50,25
GTY027 25C 10 06 m-25.csv,247000000,842.63,349.29,GTY027 25C 10,685.37,1334823.6099999999,1025.1625865961425,1.5503,46131977.324263036,442412.4019484335,0.009590146089743857,339.79258659614254,-25,25
GTY027 25C 10 06 m-35.csv,247000000,842.63,349.29,GTY027 25C 10,685.37,2149906.32,1019.3352177201083,2.5124,46131977.324263036,704673.0603846477,0.015275154052718787,333.9652177201083,-35,25
GTY027 25C 10 06 m-50.csv,247000000,842.63,349.29,GTY027 25C 10,685.37,5200123.55,1019.0226294912521,6.075699999999999,46131977.324263036,1702505.4850088186,0.0369051053901691,333.6526294912521,-50,25
GTY027 25C 10 m-25.csv,131000000,770.46,202.26,GTY027 25C,676.88,1679820.93,969.22839968926,2.0596,15896103.804484764,505686.3727219282,0.03181196970915974,292.34839968925996,-25,25
GTY027 25C 10 m-35.csv,131000000,770.46,202.26,GTY027 25C,676.88,2027326.3299999998,968.0910088424438,2.488,15896103.804484764,608493.314856807,0.03827939992975719,291.2110088424438,-35,25
GTY027 25C 10 m-50.csv,131000000,770.46,202.26,GTY027 25C,676.88,2786354.83,966.1607746068726,3.434,15896103.804484764,834290.9045099525,0.05248398694242134,289.28077460687257,-50,25
GTY027 25C 11 01 m-25.csv,197000000,1017.16,230.47,GTY027 25C 11,677.83,4173378.34,1628.9594231587212,3.0563000000000002,65680175.61098512,2441367.98185941,0.037170545893776316,951.1294231587211,-25,25
GTY027 25C 11 01 m-35.csv,197000000,1017.16,230.47,GTY027 25C 11,677.83,4918957.9399999995,1613.3320858558066,3.634,65680175.61098512,2855139.4809775767,0.04347033871967982,935.5020858558065,-35,25
GTY027 25C 11 01 m-50.csv,197000000,1017.16,230.47,GTY027 25C 11,677.83,6594776.8100000005,1584.1395251565975,4.949,65680175.61098512,3766965.5160829774,0.05735315840801354,906.3095251565975,-50,25
GTY027 25C 11 02 m-25.csv,192000000,977.83,233.49,GTY027 25C 11,677.83,2573522.93,1512.930668377925,2.0258,58828420.256991684,1420800.3141009493,0.02415159727040416,835.100668377925,-25,25
GTY027 25C 11 02 m-35.csv,192000000,977.83,233.49,GTY027 25C 11,677.83,3056522.4499999997,1501.954319148058,2.4227,58828420.256991684,1676833.7851683882,0.028503804417034276,824.1243191480579,-35,25
GTY027 25C 11 02 m-50.csv,192000000,977.83,233.49,GTY027 25C 11,677.83,4155442.57,1469.3366904020177,3.3705,58828420.256991684,2240508.3564289915,0.038085475466472514,791.5066904020176,-50,25
GTY027 25C 11 03 m-25.csv,187000000,957.73,232.29,GTY027 25C 11,677.83,2987578.13,1331.8801423487544,2.6695,54604829.93197279,1466353.2837826486,0.0268539117438777,654.0501423487543,-25,25
GTY027 25C 11 03 m-35.csv,187000000,957.73,232.29,GTY027 25C 11,677.83,3562885.08,1330.4923952415331,3.1859,54604829.93197279,1746298.0809607795,0.03198065231841824,652.6623952415331,-35,25
GTY027 25C 11 03 m-50.csv,187000000,957.73,232.29,GTY027 25C 11,677.83,4869793.63,1310.649742431089,4.426,54604829.93197279,2352280.3224993697,0.04307824647434783,632.8197424310889,-50,25
GTY027 25C 11 04 m-25.csv,122000000,912.95,159.2,GTY027 25C 11,677.83,1971364.06,1225.1950284580441,1.9151,31436217.35113798,880371.8535315362,0.028005018660416756,547.3650284580441,-25,25
GTY027 25C 11 04 m-35.csv,122000000,912.95,159.2,GTY027 25C 11,677.83,2441965.02,1208.9108523908524,2.405,31436217.35113798,1072687.8726799358,0.03412267642439827,531.0808523908523,-35,25
GTY027 25C 11 04 m-50.csv,122000000,912.95,159.2,GTY027 25C 11,677.83,3444297.98,1186.932207957437,3.4584,31436217.35113798,1478692.4296632232,0.04703786123967918,509.1022079574369,-50,25
GTY027 25C 11 05 m-25.csv,176000000,958.75,218.89,GTY027 25C 11,677.83,5354819.19,1590.139209673398,4.011,51642377.425044075,3073210.917947425,0.05950947789744988,912.309209673398,-25,25
GTY027 25C 11 05 m-35.csv,176000000,958.75,218.89,GTY027 25C 11,677.83,5961771.56,1563.7969018743108,4.535,51642377.425044075,3374367.9348282516,0.06534106489822146,885.9669018743108,-35,25
GTY027 25C 11 05 m-50.csv,176000000,958.75,218.89,GTY027 25C 11,677.83,7120535.84,1520.8610412926391,5.57,51642377.425044075,3943632.233140169,0.07636426574016898,843.0310412926391,-50,25
GTY027 25C 11 06 m-25.csv,135000000,954.41,169.03,GTY027 25C 11,677.83,4210016.84,1359.8055513307986,3.682,39262885.19358359,2108872.075249853,0.05371159212707294,681.9755513307986,-25,25
GTY027 25C 11 06 m-35.csv,135000000,954.41,169.03,GTY027 25C 11,677.83,4719679.2,1353.1148039451527,4.157,39262885.19358359,2357570.277987738,0.06004577265180237,675.2848039451527,-35,25
GTY027 25C 11 06 m-50.csv,135000000,954.41,169.03,GTY027 25C 11,677.83,5844400.91,1333.4277181208054,5.215,39262885.19358359,2871371.5461493237,0.07313195482176557,655.5977181208053,-50,25
GTY027 25C 11 07 m-25.csv,181000000,927.34,232.69,GTY027 25C 11,677.83,4017798.35,1371.2245167765989,3.487,48759957.923910305,2030626.2534643488,0.041645365171010446,693.3945167765988,-25,25
GTY027 25C 11 07 m-35.csv,181000000,927.34,232.69,GTY027 25C 11,677.83,4572070.66,1358.3592321116928,4.011,48759957.923910305,2292435.332157554,0.0470147110408686,680.5292321116927,-35,25
GTY027 25C 11 07 m-50.csv,181000000,927.34,232.69,GTY027 25C 11,677.83,5682945.47,1336.8137154150197,5.0600000000000005,48759957.923910305,2800417.905433778,0.057432738350673265,658.9837154150197,-50,25
GTY027 25C 11 08 m-25.csv,145000000,882.45,195.24,GTY027 25C 11,677.83,2469230.59,1312.0353166815344,2.242,33551699.67246158,1194161.6864029563,0.03559168978205581,634.2053166815343,-25,25
GTY027 25C 11 08 m-35.csv,145000000,882.45,195.24,GTY027 25C 11,677.83,2812011.27,1301.2195666394114,2.5683000000000002,33551699.67246158,1344630.4056437393,0.04007637224850875,623.3895666394113,-35,25
GTY027 25C 11 08 m-50.csv,145000000,882.45,195.24,GTY027 25C 11,677.83,3570407.78,1285.7156110102844,3.306,33551699.67246158,1687805.3497942386,0.050304615452299965,607.8856110102844,-50,25
GTY027 25C 11 09 m-25.csv,171000000,941.9,215.67,GTY027 25C 11,677.83,3768763.1999999997,1377.9378325032283,3.2526,47830668.43033508,1912463.875031494,0.039984050773134806,700.1078325032282,-25,25
GTY027 25C 11 09 m-35.csv,171000000,941.9,215.67,GTY027 25C 11,677.83,4293621.7299999995,1370.9271742627345,3.73,47830668.43033508,2171203.880070546,0.045393550860216056,693.0971742627345,-35,25
