ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C,676.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 2,669.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 3,668.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 5,681.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 6,678.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 7,676.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 8,685.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 9,681.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 10,685.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 11,677.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 12,676.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 13,668.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 15,667.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 16,659.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 18,675.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 19,671.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 25C 20,684.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 3,663.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 4,650.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 6,636.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 8,650.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 13,652.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 14,664.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 15,657.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 16,652.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY027 36C 17,638.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
